county,parcels,acres_cauv,cauv,market_value,year,appraisal
adams,5903,253054,17846900,50986810,1985,NA
allen,4049,206245,47057860,134447870,1985,reappraisal
ashland,2976,206079,28026150,80073250,1985,NA
ashtabula,3517,188726,13656240,39014750,1985,NA
athens,888,42155,3180550,9086650,1985,NA
auglaize,4526,230906,46637830,133246480,1985,NA
belmont,982,53302,3309950,9457010,1985,update
brown,3168,238341,31001790,88573980,1985,update
butler,3745,182910,29860600,85313710,1985,NA
carroll,807,58525,7283570,20810090,1985,NA
champaign,4531,241504,41626130,118930620,1985,NA
clark,3848,187045,36775650,105070070,1985,NA
clermont,3126,155862,22742790,64978100,1985,NA
clinton,2377,230698,4563e4,130369380,1985,NA
columbiana,1057,69169,12902880,36865260,1985,NA
coshocton,2902,143045,10948470,31279550,1985,reappraisal
crawford,5203,230348,39343550,112409550,1985,update
cuyahoga,71,1088,440280,1293500,1985,update
darke,6848,352834,78758230,225016850,1985,NA
defiance,4325,235687,44132960,126091530,1985,NA
delaware,5003,195998,38748410,110705310,1985,NA
erie,1993,86713,20010750,57173510,1985,update
fairfield,3719,219107,36790880,105116210,1985,NA
fayette,3447,241698,55607150,158875830,1985,update
franklin,3007,125553,29727510,84934120,1985,NA
fulton,4667,235104,49279770,140799320,1985,NA
gallia,2632,104956,6385700,18242680,1985,NA
geauga,1475,60661,6283180,17951960,1985,NA
greene,4343,196088,41363870,118178250,1985,NA
guernsey,2674,105114,11190530,31972140,1985,reappraisal
hamilton,707,19704,3085420,8815050,1985,NA
hancock,5415,302576,67295020,192260720,1985,NA
hardin,5098,284372,57839410,165244830,1985,NA
harrison,1070,67050,4015350,11472020,1985,NA
henry,5005,248428,60156050,171873460,1985,NA
highland,6126,283519,39481940,112799900,1985,update
hocking,16,2321,184460,527e3,1985,NA
holmes,4362,195344,24836050,70956520,1985,NA
huron,7641,270714,37038660,105820050,1985,update
jackson,1233,47790,3944560,11270190,1985,NA
jefferson,435,25576,1085790,3102310,1985,update
knox,4375,214210,27148610,77566030,1985,NA
lake,992,20103,2810800,8030890,1985,update
lawrence,NA,NA,NA,NA,1985,NA
licking,3913,218762,34167010,97616510,1985,NA
logan,3959,249063,38704860,110582380,1985,NA
lorain,4588,157548,22080570,63083550,1985,update
lucas,NA,NA,NA,NA,1985,update
madison,2234,271137,59351090,169574240,1985,NA
mahoning,2401,92653,10276210,29360240,1985,NA
marion,4340,212759,48053380,137289425,1985,NA
medina,4487,138672,19029650,54369420,1985,NA
meigs,4,982,39640,113270,1985,NA
mercer,4551,271310,54373280,155351400,1985,NA
miami,3705,211297,44469930,127054290,1985,NA
monroe,2537,107538,4880050,13940510,1985,NA
montgomery,2849,122386,26232810,74949310,1985,NA
morgan,3025,105234,6144190,17568470,1985,update
morrow,2917,211919,29794e3,85125720,1985,NA
muskingum,3773,164714,14619410,41766140,1985,update
noble,1516,66812,4576280,13074920,1985,NA
ottawa,2730,115430,26356860,75304060,1985,update
paulding,3503,246624,44349440,126710090,1985,NA
perry,NA,NA,NA,NA,1985,NA
pickaway,5335,288661,60271440,172199790,1985,NA
pike,3263,134584,9915060,26506430,1985,NA
portage,2815,114724,13282540,37950120,1985,update
preble,3502,229164,47250210,134997340,1985,NA
putnam,7616,289362,59543970,170125240,1985,NA
richland,5220,226511,33077570,94503180,1985,NA
ross,3050,291981,36976330,105644430,1985,NA
sandusky,4717,224097,48323730,138067820,1985,reappraisal
scioto,2550,113304,5580730,15944940,1985,NA
seneca,5895,323885,57161850,163316380,1985,NA
shelby,5250,235872,45556400,130157310,1985,NA
stark,3253,125931,20108730,57449320,1985,update
summit,283,15188,2786840,7962370,1985,NA
trumbull,NA,NA,NA,NA,1985,NA
tuscarawas,6113,213422,15383550,43953050,1985,NA
union,4493,246417,48628690,138929740,1985,NA
van wert,4272,247794,55573990,158782210,1985,NA
vinton,58,10211,707330,2020880,1985,reappraisal
warren,3455,171790,31335070,89521550,1985,update
washington,4696,145630,7697070,21991240,1985,NA
wayne,5471,247146,41461400,118457150,1985,NA
williams,4040,238422,42776870,122218730,1985,update
wood,8460,337128,87215730,249181730,1985,NA
wyandot,5053,236061,43471890,124204320,1985,NA
adams,5946,254358,16207450,46302930,1986,reappraisal
allen,4085,206260,47037510,134389490,1986,NA
ashland,3004,206694,28082300,80233490,1986,NA
ashtabula,3569,190007,13753680,39293260,1986,NA
athens,961,45613,3315970,9473480,1986,NA
auglaize,4561,230531,46503810,132863680,1986,NA
