soil_series,texture,slope,erosion,drainage,prod_index,cropland,woodland,year,indx,id
AARON,SICL,6-15,M,MW,62,390,100,2009,indx_69,AARONSICL6-15MMW
AARON,SICL,6-15,M,MW,62,230,120,2010,indx_69,AARONSICL6-15MMW
AARON,SICL,6-15,M,MW,62,390,200,2011,indx_69,AARONSICL6-15MMW
AARON,SICL,6-15,M,MW,62,360,230,2012,indx_69,AARONSICL6-15MMW
AARON,SICL,6-15,M,MW,62,860,360,2013,indx_69,AARONSICL6-15MMW
AARON,SICL,6-15,M,MW,62,1320,820,2014,indx_69,AARONSICL6-15MMW
AARON,SICL,6-15,M,MW,62,960,230,2015,indx_69,AARONSICL6-15MMW
AARON,SICL,6-15,M,MW,62,780,230,2016,indx_69,AARONSICL6-15MMW
AARON,SICL,6-15,M,MW,62,670,230,2017,indx_69,AARONSICL6-15MMW
AARON,SIL,0-2,S,MW,72,650,150,2009,indx_79,AARONSIL0-2SMW
AARON,SIL,0-2,S,MW,72,790,290,2010,indx_79,AARONSIL0-2SMW
AARON,SIL,0-2,S,MW,72,1040,540,2011,indx_79,AARONSIL0-2SMW
AARON,SIL,0-2,S,MW,72,1060,560,2012,indx_79,AARONSIL0-2SMW
AARON,SIL,0-2,S,MW,72,1850,1350,2013,indx_79,AARONSIL0-2SMW
AARON,SIL,0-2,S,MW,72,2540,2040,2014,indx_79,AARONSIL0-2SMW
AARON,SIL,0-2,S,MW,72,2200,1200,2015,indx_79,AARONSIL0-2SMW
AARON,SIL,0-2,S,MW,72,2060,1060,2016,indx_79,AARONSIL0-2SMW
AARON,SIL,0-2,S,MW,72,1810,810,2017,indx_79,AARONSIL0-2SMW
AARON,SIL,15-25,M,MW,53,170,100,2009,indx_59,AARONSIL15-25MMW
AARON,SIL,15-25,M,MW,53,200,120,2010,indx_59,AARONSIL15-25MMW
AARON,SIL,15-25,M,MW,53,300,200,2011,indx_59,AARONSIL15-25MMW
AARON,SIL,15-25,M,MW,53,350,230,2012,indx_59,AARONSIL15-25MMW
AARON,SIL,15-25,M,MW,53,350,230,2013,indx_59,AARONSIL15-25MMW
AARON,SIL,15-25,M,MW,53,350,230,2014,indx_59,AARONSIL15-25MMW
AARON,SIL,15-25,M,MW,53,350,230,2015,indx_59,AARONSIL15-25MMW
AARON,SIL,15-25,M,MW,53,350,230,2016,indx_59,AARONSIL15-25MMW
AARON,SIL,15-25,M,MW,53,350,230,2017,indx_59,AARONSIL15-25MMW
AARON,SIL,2-6,S,MW,69,640,140,2009,indx_69,AARONSIL2-6SMW
AARON,SIL,2-6,S,MW,69,660,160,2010,indx_69,AARONSIL2-6SMW
AARON,SIL,2-6,S,MW,69,890,390,2011,indx_69,AARONSIL2-6SMW
AARON,SIL,2-6,S,MW,69,900,400,2012,indx_69,AARONSIL2-6SMW
AARON,SIL,2-6,S,MW,69,1580,1080,2013,indx_69,AARONSIL2-6SMW
AARON,SIL,2-6,S,MW,69,2280,1780,2014,indx_69,AARONSIL2-6SMW
AARON,SIL,2-6,S,MW,69,1850,850,2015,indx_69,AARONSIL2-6SMW
AARON,SIL,2-6,S,MW,69,1790,790,2016,indx_69,AARONSIL2-6SMW
AARON,SIL,2-6,S,MW,69,1565,565,2017,indx_69,AARONSIL2-6SMW
AARON,SIL,2-8,S,MW,69,640,140,2009,indx_69,AARONSIL2-8SMW
AARON,SIL,2-8,S,MW,69,650,150,2010,indx_69,AARONSIL2-8SMW
AARON,SIL,2-8,S,MW,69,870,370,2011,indx_69,AARONSIL2-8SMW
AARON,SIL,2-8,S,MW,69,880,380,2012,indx_69,AARONSIL2-8SMW
AARON,SIL,2-8,S,MW,69,1540,1040,2013,indx_69,AARONSIL2-8SMW
AARON,SIL,2-8,S,MW,69,2250,1750,2014,indx_69,AARONSIL2-8SMW
AARON,SIL,2-8,S,MW,69,1830,830,2015,indx_69,AARONSIL2-8SMW
AARON,SIL,2-8,S,MW,69,1740,740,2016,indx_69,AARONSIL2-8SMW
AARON,SIL,2-8,S,MW,69,1525,525,2017,indx_69,AARONSIL2-8SMW
AARON,SIL,3-8,S,MW,68,630,130,2009,indx_69,AARONSIL3-8SMW
AARON,SIL,3-8,S,MW,68,620,120,2010,indx_69,AARONSIL3-8SMW
AARON,SIL,3-8,S,MW,68,850,350,2011,indx_69,AARONSIL3-8SMW
AARON,SIL,3-8,S,MW,68,850,350,2012,indx_69,AARONSIL3-8SMW
AARON,SIL,3-8,S,MW,68,1510,1010,2013,indx_69,AARONSIL3-8SMW
AARON,SIL,3-8,S,MW,68,2220,1720,2014,indx_69,AARONSIL3-8SMW
AARON,SIL,3-8,S,MW,68,1780,780,2015,indx_69,AARONSIL3-8SMW
AARON,SIL,3-8,S,MW,68,1710,710,2016,indx_69,AARONSIL3-8SMW
AARON,SIL,3-8,S,MW,68,1500,500,2017,indx_69,AARONSIL3-8SMW
AARON,SIL,6-12,M,MW,66,570,100,2009,indx_69,AARONSIL6-12MMW
AARON,SIL,6-12,M,MW,66,420,120,2010,indx_69,AARONSIL6-12MMW
AARON,SIL,6-12,M,MW,66,650,200,2011,indx_69,AARONSIL6-12MMW
AARON,SIL,6-12,M,MW,66,590,230,2012,indx_69,AARONSIL6-12MMW
AARON,SIL,6-12,M,MW,66,1230,730,2013,indx_69,AARONSIL6-12MMW
AARON,SIL,6-12,M,MW,66,1800,1300,2014,indx_69,AARONSIL6-12MMW
AARON,SIL,6-12,M,MW,66,1430,430,2015,indx_69,AARONSIL6-12MMW
AARON,SIL,6-12,M,MW,66,1260,260,2016,indx_69,AARONSIL6-12MMW
AARON,SIL,6-12,M,MW,66,1095,245,2017,indx_69,AARONSIL6-12MMW
AARON,SIL,6-15,M,MW,65,560,100,2009,indx_69,AARONSIL6-15MMW
AARON,SIL,6-15,M,MW,65,360,120,2010,indx_69,AARONSIL6-15MMW
AARON,SIL,6-15,M,MW,65,550,200,2011,indx_69,AARONSIL6-15MMW
AARON,SIL,6-15,M,MW,65,530,230,2012,indx_69,AARONSIL6-15MMW
AARON,SIL,6-15,M,MW,65,1150,650,2013,indx_69,AARONSIL6-15MMW
AARON,SIL,6-15,M,MW,65,1670,1170,2014,indx_69,AARONSIL6-15MMW
AARON,SIL,6-15,M,MW,65,1240,240,2015,indx_69,AARONSIL6-15MMW
AARON,SIL,6-15,M,MW,65,1140,230,2016,indx_69,AARONSIL6-15MMW
AARON,SIL,6-15,M,MW,65,955,230,2017,indx_69,AARONSIL6-15MMW
AARON,SIL,6-15,S,MW,67,580,100,2009,indx_69,AARONSIL6-15SMW
AARON,SIL,6-15,S,MW,67,450,120,2010,indx_69,AARONSIL6-15SMW
AARON,SIL,6-15,S,MW,67,690,200,2011,indx_69,AARONSIL6-15SMW
AARON,SIL,6-15,S,MW,67,630,230,2012,indx_69,AARONSIL6-15SMW
AARON,SIL,6-15,S,MW,67,1290,790,2013,indx_69,AARONSIL6-15SMW
AARON,SIL,6-15,S,MW,67,1850,1350,2014,indx_69,AARONSIL6-15SMW
AARON,SIL,6-15,S,MW,67,1490,490,2015,indx_69,AARONSIL6-15SMW
AARON,SIL,6-15,S,MW,67,1310,310,2016,indx_69,AARONSIL6-15SMW
AARON,SIL,6-15,S,MW,67,1140,270,2017,indx_69,AARONSIL6-15SMW
AARON,SIL,8-15,M,MW,65,560,100,2009,indx_69,AARONSIL8-15MMW
AARON,SIL,8-15,M,MW,65,350,120,2010,indx_69,AARONSIL8-15MMW
AARON,SIL,8-15,M,MW,65,540,200,2011,indx_69,AARONSIL8-15MMW
AARON,SIL,8-15,M,MW,65,510,230,2012,indx_69,AARONSIL8-15MMW
AARON,SIL,8-15,M,MW,65,1110,610,2013,indx_69,AARONSIL8-15MMW
AARON,SIL,8-15,M,MW,65,1650,1150,2014,indx_69,AARONSIL8-15MMW
AARON,SIL,8-15,M,MW,65,1210,230,2015,indx_69,AARONSIL8-15MMW
AARON,SIL,8-15,M,MW,65,1120,230,2016,indx_69,AARONSIL8-15MMW
AARON,SIL,8-15,M,MW,65,935,230,2017,indx_69,AARONSIL8-15MMW
AARON,SIL,8-15,S,MW,66,570,100,2009,indx_69,AARONSIL8-15SMW
