"areaname"|"mukey"|"musym"|"muname"|"mapunit_acres"|"survey_acres"
"Adams County, Ohio"|170070|"AaA"|"Aaron silt loam, 0 to 2 percent slopes"|1666|375078
"Adams County, Ohio"|170071|"AaB"|"Aaron silt loam, 2 to 6 percent slopes"|3227|375078
"Adams County, Ohio"|170073|"BkD"|"Berks silt loam, 15 to 25 percent slopes"|4621|375078
"Adams County, Ohio"|170074|"BnB"|"Bratton silt loam, 2 to 8 percent slopes"|10939|375078
"Adams County, Ohio"|170075|"BrC2"|"Bratton-Opequon complex, 8 to 15 percent slopes, eroded"|23982|375078
"Adams County, Ohio"|170076|"BsC2"|"Brushcreek silt loam, 6 to 12 percent slopes, eroded"|1974|375078
"Adams County, Ohio"|170077|"BtD2"|"Brushcreek-Lawshe complex, 12 to 25 percent slopes, eroded"|31298|375078
"Adams County, Ohio"|170078|"CkB"|"Cincinnati silt loam, 2 to 6 percent slopes"|4737|375078
"Adams County, Ohio"|170079|"CkC2"|"Cincinnati silt loam, 6 to 12 percent slopes, eroded"|2973|375078
"Adams County, Ohio"|170080|"CrB"|"Crider silt loam, 1 to 6 percent slopes"|5650|375078
"Adams County, Ohio"|1895875|"EaE"|"Eden flaggy silt loam, 25 to 40 percent slopes"|52|375078
"Adams County, Ohio"|1895876|"EaF"|"Eden flaggy silt loam, 40 to 70 percent slopes"|104|375078
"Adams County, Ohio"|170081|"EgE2"|"Eden flaggy silty clay loam, 25 to 40 percent slopes, eroded"|15418|375078
"Adams County, Ohio"|170082|"EgF2"|"Eden flaggy silty clay loam, 40 to 70 percent slopes, eroded"|3624|375078
"Adams County, Ohio"|170083|"EkB"|"Elkinsville silt loam, 1 to 6 percent slopes"|4642|375078
"Adams County, Ohio"|1895877|"EnB"|"Elkinsville silt loam, 2 to 6 percent slopes"|86|375078
"Adams County, Ohio"|170084|"FaC2"|"Faywood silt loam, 8 to 15 percent slopes, eroded"|24243|375078
"Adams County, Ohio"|170085|"FbD2"|"Faywood silty clay loam, 15 to 25 percent slopes, eroded"|16241|375078
"Adams County, Ohio"|1895878|"FeC2"|"Faywood-Lowell silt loams, 8 to 15 percent slopes, eroded"|907|375078
"Adams County, Ohio"|170086|"Ge"|"Gessie loam, frequently flooded"|2762|375078
"Adams County, Ohio"|170087|"JeB"|"Jessup silt loam, 1 to 8 percent slopes"|9307|375078
"Adams County, Ohio"|170088|"JeC2"|"Jessup silt loam, 8 to 15 percent slopes, eroded"|18658|375078
"Adams County, Ohio"|170089|"JeD2"|"Jessup silt loam, 15 to 25 percent slopes, eroded"|3358|375078
"Adams County, Ohio"|170090|"JeE2"|"Jessup silt loam, 25 to 35 percent slopes, eroded"|1489|375078
"Adams County, Ohio"|170115|"JoR1B1"|"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes"|18486|375078
"Adams County, Ohio"|170091|"LbC"|"Latham silt loam, 8 to 15 percent slopes"|2656|375078
"Adams County, Ohio"|170092|"LbD2"|"Latham silt loam, 15 to 25 percent slopes, eroded"|1981|375078
"Adams County, Ohio"|1895879|"LdD"|"Latham-Wharton silt loams, 15 to 25 percent slopes"|87|375078
"Adams County, Ohio"|170093|"LkB"|"Licking silt loam, 1 to 6 percent slopes"|2425|375078
"Adams County, Ohio"|170094|"LkC2"|"Licking silt loam, 6 to 15 percent slopes, eroded"|1359|375078
"Adams County, Ohio"|170095|"LkD2"|"Licking silt loam, 15 to 25 percent slopes, eroded"|349|375078
"Adams County, Ohio"|170096|"LoA"|"Loudon silt loam, 0 to 2 percent slopes"|1313|375078
"Adams County, Ohio"|170097|"LoB"|"Loudon silt loam, 2 to 6 percent slopes"|3384|375078
"Adams County, Ohio"|170098|"LoC2"|"Loudon silt loam, 6 to 15 percent slopes, eroded"|100|375078
"Adams County, Ohio"|170099|"LwB"|"Lowell silt loam, 2 to 8 percent slopes"|3428|375078
"Adams County, Ohio"|170100|"LwC2"|"Lowell silt loam, 8 to 15 percent slopes, eroded"|1691|375078
"Adams County, Ohio"|170101|"McA"|"McGary variant silty clay loam, 0 to 3 percent slopes, rarely flooded"|1366|375078
"Adams County, Ohio"|170102|"Ne"|"Newark silt loam, 0 to 3 percent slopes, frequently flooded-hydric"|656|375078
"Adams County, Ohio"|170103|"NkB"|"Nicholson silt loam, 1 to 6 percent slopes"|611|375078
"Adams County, Ohio"|170104|"No"|"Nolin silt loam, 0 to 3 percent slopes, occasionally flooded"|15123|375078
"Adams County, Ohio"|170105|"OmB"|"Omulga silt loam, 1 to 6 percent slopes"|2109|375078
"Adams County, Ohio"|170106|"OmC2"|"Omulga silt loam, 6 to 15 percent slopes, eroded"|461|375078
"Adams County, Ohio"|170107|"OpD2"|"Opequon silty clay loam, 15 to 25 percent slopes, eroded"|4960|375078
"Adams County, Ohio"|170108|"OpE2"|"Opequon silty clay loam, 25 to 40 percent slopes, eroded"|4314|375078
"Adams County, Ohio"|170109|"OsF"|"Opequon silty clay loam, 40 to 60 percent slopes, very rocky"|4734|375078
"Adams County, Ohio"|1895881|"OtB"|"Otwell silt loam, 2 to 6 percent slopes"|16|375078
"Adams County, Ohio"|170110|"OwB"|"Otwell silt loam, 1 to 6 percent slopes"|1548|375078
"Adams County, Ohio"|170111|"OwC2"|"Otwell silt loam, 6 to 15 percent slopes, eroded"|231|375078
"Adams County, Ohio"|1895882|"OxD3"|"Opequon clay, 6 to 18 percent slopes, severely eroded"|1|375078
"Adams County, Ohio"|170112|"Pe"|"Peoga silt loam"|146|375078
"Adams County, Ohio"|170113|"Pq"|"Pits, quarry"|496|375078
"Adams County, Ohio"|170114|"PtB"|"Plainfield sand, 3 to 8 percent slopes"|179|375078
"Adams County, Ohio"|170116|"RoC2"|"Rossmoyne silt loam, 6 to 12 percent slopes, eroded"|55|375078
"Adams County, Ohio"|170117|"SaB"|"Sardinia silt loam, 1 to 6 percent slopes"|921|375078
"Adams County, Ohio"|1895883|"SbB"|"Sardinia silt loam, 2 to 6 percent slopes"|6|375078
"Adams County, Ohio"|170118|"ScB"|"Sciotoville silt loam, 1 to 6 percent slopes"|1325|375078
"Adams County, Ohio"|1895884|"SdB"|"Sciotoville silt loam, 1 to 8 percent slopes"|6|375078
"Adams County, Ohio"|170119|"ShE"|"Shelocta-Berks association, steep"|5629|375078
"Adams County, Ohio"|170120|"ShF"|"Shelocta-Berks association, very steep"|32977|375078
"Adams County, Ohio"|1895885|"SkE"|"Shelocta-Brownsville association, steep"|37|375078
"Adams County, Ohio"|1895886|"SkF"|"Shelocta-Brownsville association, very steep"|4796|375078
"Adams County, Ohio"|170121|"SmD"|"Shelocta-Muse association, hilly"|10867|375078
"Adams County, Ohio"|170122|"SoE"|"Shelocta-Muse-Colyer association, steep"|33590|375078
"Adams County, Ohio"|170123|"Sp"|"Skidmore gravelly loam, occasionally flooded"|4077|375078
"Adams County, Ohio"|1895887|"Sr"|"Skidmore silt loam, occasionally flooded"|536|375078
"Adams County, Ohio"|170124|"TkA"|"Tilsit silt loam, 0 to 3 percent slopes"|2277|375078
"Adams County, Ohio"|170125|"TrB"|"Trappist silt loam, 3 to 8 percent slopes"|261|375078
"Adams County, Ohio"|170126|"TrC"|"Trappist silt loam, 8 to 15 percent slopes"|1052|375078
"Adams County, Ohio"|170127|"TrD2"|"Trappist silt loam, 15 to 25 percent slopes, eroded"|223|375078
"Adams County, Ohio"|1895880|"TsF"|"Trappist-Shelocta association, steep"|56|375078
"Adams County, Ohio"|170128|"Ud"|"Udorthents, silty"|918|375078
"Adams County, Ohio"|170129|"W"|"Water"|1347|375078
"Adams County, Ohio"|170130|"WgC"|"Wernock silt loam, 8 to 15 percent slopes"|4886|375078
"Adams County, Ohio"|170131|"WmB"|"Williamsburg silt loam, 1 to 6 percent slopes"|994|375078
"Adams County, Ohio"|170132|"WmC2"|"Williamsburg silt loam, 6 to 15 percent slopes, eroded"|451|375078
"Adams County, Ohio"|2655638|"WsS1A1"|"Westboro-Schaffer silt loams, 0 to 2 percent slopes"|1623|375078
"Allen County, Ohio"|171870|"AkA"|"Alvada loam, 0 to 1 percent slopes"|1607|260340
"Allen County, Ohio"|171793|"AmA"|"Alvada silty clay loam, 0 to 1 percent slopes"|580|260340
"Allen County, Ohio"|171872|"ArB"|"Arkport loamy fine sand, 2 to 6 percent slopes"|199|260340
"Allen County, Ohio"|171795|"AuA"|"Aurand loam, 0 to 3 percent slopes"|577|260340
"Allen County, Ohio"|171796|"AxA"|"Aurand silt loam, 0 to 3 percent slopes"|170|260340
"Allen County, Ohio"|2764963|"Ble1A1"|"Blount silt loam, end moraine, 0 to 2 percent slopes"|5902|260340
"Allen County, Ohio"|2764993|"Ble1B1"|"Blount silt loam, end moraine, 2 to 4 percent slopes"|29160|260340
"Allen County, Ohio"|2676637|"Blg1A1"|"Blount silt loam, ground moraine, 0 to 2 percent slopes"|31396|260340
"Allen County, Ohio"|2676636|"Blg1B1"|"Blount silt loam, ground moraine, 2 to 4 percent slopes"|37735|260340
"Allen County, Ohio"|171799|"BrA"|"Blount-Jenera complex, 0 to 3 percent slopes"|738|260340
"Allen County, Ohio"|171800|"BsA"|"Blount-Urban land complex, 0 to 2 percent slopes"|2213|260340
"Allen County, Ohio"|171801|"CyA"|"Cygnet loam, 0 to 3 percent slopes"|3284|260340
"Allen County, Ohio"|171802|"DaA"|"Darroch loam, 0 to 2 percent slopes"|167|260340
"Allen County, Ohio"|171881|"EmB"|"Eldean silt loam, 1 to 4 percent slopes"|156|260340
"Allen County, Ohio"|171882|"FdA"|"Flatrock silt loam, limestone substratum, 0 to 2 percent slopes, occasionally flooded"|134|260340
"Allen County, Ohio"|171805|"FnB"|"Fox loam, till plain, 2 to 6 percent slopes"|221|260340
"Allen County, Ohio"|171884|"FnD2"|"Fox loam, 12 to 18 percent slopes, eroded"|7|260340
"Allen County, Ohio"|171807|"FoA"|"Fox silt loam, till plain, 0 to 2 percent slopes"|53|260340
"Allen County, Ohio"|171808|"FpC2"|"Fox-Lybrand complex, 6 to 12 percent slopes, eroded"|54|260340
"Allen County, Ohio"|171809|"GaA"|"Gallman loam, 0 to 2 percent slopes"|247|260340
"Allen County, Ohio"|171810|"GaB"|"Gallman loam, 2 to 6 percent slopes"|1246|260340
"Allen County, Ohio"|171811|"GaC"|"Gallman loam, 6 to 12 percent slopes"|97|260340
