county,tangible_property_delinquent,real_property_delinquent,special_delinquent,total_delinquent,year
adams,138521,937948,939,1077408,2e3
allen,2471639,2835890,1290354,6597883,2e3
ashland,703781,1308413,546,2012741,2e3
ashtabula,1343878,3811297,1535049,6690224,2e3
athens,69884,2085051,83389,2238324,2e3
auglaize,536020,770332,136363,1442714,2e3
belmont,241563,3429887,366988,4038437,2e3
brown,173781,1450753,195929,1820464,2e3
butler,2852338,8615872,480584,11948794,2e3
carroll,354978,580156,49410,984543,2e3
champaign,1266734,1337647,29605,2633985,2e3
clark,2071959,5271667,1256531,8600157,2e3
clermont,3512843,6312726,100966,9926535,2e3
clinton,418730,1409608,49978,1878316,2e3
columbiana,2341187,3272198,81731,5695116,2e3
coshocton,4086590,953038,7438,5047066,2e3
crawford,1131230,1015803,8563,2155596,2e3
cuyahoga,66694120,130804740,14387002,211885862,2e3
darke,226279,960325,17232,1203836,2e3
defiance,422145,649054,57326,1128526,2e3
delaware,2083249,4452382,51183,6586814,2e3
erie,1193356,3976387,561582,5731324,2e3
fairfield,563056,4009451,295582,4868089,2e3
fayette,543089,577407,29403,1149899,2e3
franklin,29124521,46264936,1092226,76481683,2e3
fulton,36275,858781,31178,926234,2e3
gallia,132040,822569,16047,970656,2e3
geauga,1267763,4676827,457165,6401754,2e3
greene,1329795,5855132,505159,7690086,2e3
guernsey,740053,2761445,134136,3635633,2e3
hamilton,26165514,42625006,2007536,70798056,2e3
hancock,1034329,1616795,48270,2699394,2e3
hardin,336776,667700,52040,1056516,2e3
harrison,102691,1398226,27561,1528478,2e3
henry,2960681,691275,95019,3746975,2e3
highland,86278,920955,75093,1082326,2e3
hocking,314375,1018985,12035,1345395,2e3
holmes,145163,877061,20621,1042846,2e3
huron,721384,1443882,71024,2236290,2e3
jackson,203074,2338163,3353,2544590,2e3
jefferson,6255772,6246709,2715737,15218219,2e3
knox,227131,1975628,250029,2452788,2e3
lake,44284045,38386892,1328489,83999425,2e3
lawrence,136221,3565657,593973,4295851,2e3
licking,849624,4607626,534664,5991914,2e3
logan,1151151,2144791,393331,3689274,2e3
lorain,3377745,9895153,1801959,15074857,2e3
lucas,11162275,21810998,4462295,37435568,2e3
madison,36585,1034998,44788,1116372,2e3
mahoning,20278704,40525911,10449400,71254015,2e3
marion,857908,2551210,298862,3707980,2e3
medina,1352667,5697282,415366,7465315,2e3
meigs,66932,1944909,43664,2055506,2e3
mercer,0,671511,77581,749092,2e3
miami,1950992,2254191,28269,4233452,2e3
monroe,117849,521107,12645,651601,2e3
montgomery,10588899,38149778,10521308,59259985,2e3
morgan,0,468455,1941,470396,2e3
morrow,188744,2032424,59318,2280485,2e3
muskingum,2508843,4530077,813506,7852426,2e3
noble,24416,937117,10397,971930,2e3
ottawa,376890,1829001,308061,2513952,2e3
paulding,111068,484562,54326,649955,2e3
perry,858503,2510762,193700,3562965,2e3
pickaway,468784,2676738,125677,3271199,2e3
pike,91141,1866738,189,1958068,2e3
portage,933590,5393072,375728,6702390,2e3
preble,191034,1300730,52292,1544055,2e3
putnam,99467,347209,11001,457677,2e3
richland,0,9333961,1734656,11068617,2e3
ross,759386,1373645,55034,2188065,2e3
sandusky,457237,1488967,112920,2059123,2e3
scioto,1635778,2412902,499983,4548663,2e3
seneca,0,963037,96607,1059644,2e3
shelby,867032,721469,55020,1643521,2e3
stark,4843523,19291361,5369725,29504609,2e3
summit,12228588,20080442,4344791,36653822,2e3
trumbull,10417259,11788099,1089854,23295212,2e3
tuscarawas,1849783,2606823,98297,4554903,2e3
union,998084,1809622,31611,2839316,2e3
van wert,456622,478135,36607,971364,2e3
vinton,17283,517824,8295,543402,2e3
warren,2275318,4490438,420998,7186753,2e3
washington,346733,1805461,21254,2173448,2e3
wayne,625770,3359548,925013,4910330,2e3
williams,51616,899852,67480,1018948,2e3
wood,2669607,2923454,221026,5814086,2e3
wyandot,166367,335955,2164,504487,2e3
adams,72931,1402496,1204,1476631,2001
allen,2722304,3721224,1708921,8152449,2001
ashland,800140,1509131,887,2310158,2001
ashtabula,1097562,4812634,1348796,7258992,2001
athens,119408,2479971,94147,2693525,2001
auglaize,735151,842198,150333,1727682,2001
belmont,359424,3840586,443312,4643322,2001
brown,246403,1642336,218792,2107531,2001
butler,5346281,11240403,632230,17218914,2001
carroll,1020033,691790,70664,1782487,2001
champaign,304884,1476274,78031,1859190,2001
clark,1759173,6437250,1382586,9579008,2001
clermont,3558672,7092774,110630,10762076,2001
clinton,1128746,1598447,65152,2792344,2001
columbiana,2340949,3639842,191153,6171944,2001
coshocton,1379145,1293394,16859,2689397,2001
crawford,640901,1162429,8741,1812071,2001
cuyahoga,86598259,166548175,14015013,267161447,2001
darke,1120030,1015746,15255,2151030,2001
defiance,720678,763204,82069,1565951,2001
delaware,1808347,5500308,184772,7493427,2001
erie,1535572,4902488,670319,7108379,2001
fairfield,594431,4802200,342573,5739204,2001
fayette,728804,913392,186336,1828532,2001
franklin,48637943,55569064,1493177,105700184,2001
fulton,46226,1035371,43220,1124817,2001
gallia,149552,908578,40100,1098230,2001
geauga,1955092,5303957,443569,7702617,2001
greene,1846326,5575139,310620,7732085,2001
guernsey,735041,2980459,142815,3858315,2001
hamilton,34984999,52056717,2101195,89142912,2001
hancock,1016250,1533894,60297,2610441,2001
hardin,955175,765702,65763,1786639,2001
harrison,112817,1344026,42380,1499224,2001
henry,2900495,856474,49437,3806407,2001
highland,87805,1247061,138172,1473037,2001
hocking,321393,1384949,15101,1721443,2001
holmes,137515,1107085,19312,1263913,2001
huron,1099888,1842185,101759,3043832,2001
jackson,23020,2604071,6396,2633488,2001
jefferson,5978538,6969856,3172028,16120423,2001
knox,288628,2313293,195325,2797246,2001
lake,12813005,44636993,1102828,58552826,2001
lawrence,142163,3947777,786306,4876245,2001
licking,1445719,6102233,597606,8145559,2001
logan,1535545,2580781,391477,4507803,2001
lorain,3880111,11687609,1707024,17274744,2001
lucas,12863132,27255726,5015768,45134626,2001
madison,38651,1277923,60452,1377026,2001
mahoning,22154473,44156465,11659850,77970788,2001
marion,678202,2826434,503861,4008497,2001
medina,2555581,6997845,369122,9922548,2001
meigs,12193,1997254,60134,2069581,2001
mercer,16684,559290,31158,607132,2001
miami,1316130,2602547,35906,3954583,2001
