year,cap_rate_odt,interest_rate_15_odt,interest_rate_25_odt,interest_rate_odt,chicago_fed_re,kansascity_fed_re,minneapolis_fed_re,sanfrancisco_fed_re,dallas_fed_re,richmond_fed_re,stlouis_fed_re,date
1991,NA,NA,NA,NA,0.106,NA,NA,NA,0.1191,NA,NA,1991-03-31
1991,NA,NA,NA,NA,0.10400000000000001,NA,NA,NA,0.1174,NA,NA,1991-06-30
1991,NA,NA,NA,NA,0.10099999999999999,NA,NA,NA,0.1148,NA,NA,1991-09-30
1991,NA,NA,NA,NA,0.094,NA,NA,NA,0.107,NA,NA,1991-12-31
1992,NA,NA,NA,NA,0.092,NA,NA,NA,0.1036,NA,NA,1992-03-31
1992,NA,NA,NA,NA,0.09,NA,NA,NA,0.0977,0.0975,NA,1992-06-30
1992,NA,NA,NA,NA,0.086,NA,NA,NA,0.1001,NA,NA,1992-09-30
1992,NA,NA,NA,NA,0.086,NA,NA,NA,0.0989,0.0943,NA,1992-12-31
1993,NA,NA,NA,NA,0.083,NA,NA,NA,0.09539999999999998,0.091,NA,1993-03-31
1993,NA,NA,NA,NA,0.08199999999999999,NA,NA,NA,0.09449999999999999,0.0862,NA,1993-06-30
1993,NA,NA,NA,NA,0.08,NA,NA,NA,0.0934,0.084,NA,1993-09-30
1993,NA,NA,NA,NA,0.079,NA,NA,NA,0.09210000000000002,0.083,NA,1993-12-31
1994,NA,NA,NA,NA,0.08,NA,NA,NA,0.0924,0.09,NA,1994-03-31
1994,NA,NA,NA,NA,0.085,NA,NA,NA,0.0967,0.1,NA,1994-06-30
1994,NA,NA,NA,NA,0.08900000000000001,NA,NA,NA,0.1014,0.094,NA,1994-09-30
1994,NA,NA,NA,NA,0.095,NA,NA,NA,0.1063,0.098,NA,1994-12-31
1995,NA,NA,NA,NA,0.09699999999999999,NA,NA,NA,0.1104,0.102,NA,1995-03-31
1995,NA,NA,NA,NA,0.096,NA,NA,NA,0.1074,0.1,NA,1995-06-30
1995,NA,NA,NA,NA,0.09300000000000001,NA,NA,NA,0.1047,0.1,NA,1995-09-30
1995,NA,NA,NA,NA,0.08900000000000001,NA,NA,NA,0.10550000000000001,0.095,NA,1995-12-31
1996,NA,NA,NA,NA,0.087,NA,NA,NA,0.10039999999999999,0.095,NA,1996-03-31
1996,NA,NA,NA,NA,0.08800000000000001,NA,NA,NA,0.1005,0.095,NA,1996-06-30
1996,NA,NA,NA,NA,0.08800000000000001,NA,NA,NA,0.09960000000000001,0.094,NA,1996-09-30
