STATE,COUNTY,FIPS,YEAR,GENERAL_ACRES_CRP_EXP,CONTIN_ACRES_CRP_EXP,TOTAL_ACRES_CRP_EXP
ALABAMA,AUTAUGA,1001,2016,244.49999999999997,0,116.9
ALABAMA,BALDWIN,1003,2016,164.29999999999998,0,420.3999999999998
ALABAMA,BARBOUR,1005,2016,1700.399999999999,0,137.49999999999997
ALABAMA,BIBB,1007,2016,0,0,0
ALABAMA,BLOUNT,1009,2016,188.59999999999997,0,45.1
ALABAMA,BULLOCK,1011,2016,66.9,0,1623.6999999999998
ALABAMA,BUTLER,1013,2016,34.49999999999999,0,0
ALABAMA,CALHOUN,1015,2016,0,0,37
ALABAMA,CHAMBERS,1017,2016,104.8,0,51
ALABAMA,CHEROKEE,1019,2016,101.69999999999999,17.7,939.5999999999997
ALABAMA,CHILTON,1021,2016,0,23,23
ALABAMA,CHOCTAW,1023,2016,0,0,0
ALABAMA,CLARKE,1025,2016,11.3,0,0
ALABAMA,CLAY,1027,2016,0,0,0
ALABAMA,CLEBURNE,1029,2016,0,0,0
ALABAMA,COFFEE,1031,2016,1130.7999999999993,0,1198.9999999999993
ALABAMA,COLBERT,1033,2016,688.7999999999997,0,166.1
ALABAMA,CONECUH,1035,2016,145.7,0,0
ALABAMA,COOSA,1037,2016,0,0,0
ALABAMA,COVINGTON,1039,2016,191.09999999999997,4.6,59.8
ALABAMA,CRENSHAW,1041,2016,597.2299999999998,0,120.89999999999999
ALABAMA,CULLMAN,1043,2016,4.4,27.7,505.69999999999965
ALABAMA,DALE,1045,2016,327.8999999999999,0,92
ALABAMA,DALLAS,1047,2016,276.7,26.599999999999998,704.6999999999999
ALABAMA,DEKALB,1049,2016,51.599999999999994,0,379.8999999999999
ALABAMA,ELMORE,1051,2016,0,26.2,26.2
ALABAMA,ESCAMBIA,1053,2016,0,0,588.3999999999997
ALABAMA,ETOWAH,1055,2016,0,0,38.699999999999996
ALABAMA,FAYETTE,1057,2016,77.89999999999999,0,228.39999999999998
ALABAMA,FRANKLIN,1059,2016,129.7,136,142.2
ALABAMA,GENEVA,1061,2016,191.29999999999998,0,470.05999999999995
ALABAMA,GREENE,1063,2016,963.1999999999999,123.3,2899.2599999999998
ALABAMA,HALE,1065,2016,127,40,325.59999999999997
ALABAMA,HENRY,1067,2016,541.5999999999999,0,0
ALABAMA,HOUSTON,1069,2016,730.1999999999996,0,65.99999999999999
ALABAMA,JACKSON,1071,2016,268.99999999999994,54.99999999999999,385.19999999999993
ALABAMA,JEFFERSON,1073,2016,0,0,0
ALABAMA,LAMAR,1075,2016,15.3,0,59.8
ALABAMA,LAUDERDALE,1077,2016,398.7999999999999,54.89999999999999,54.89999999999999
ALABAMA,LAWRENCE,1079,2016,137.32,359.7599999999998,1848.349999999999
ALABAMA,LEE,1081,2016,58.5,6.8999999999999995,6.8999999999999995
ALABAMA,LIMESTONE,1083,2016,78.89999999999999,0,98.2
ALABAMA,LOWNDES,1085,2016,0,381.79999999999995,411.69999999999993
ALABAMA,MACON,1087,2016,62.6,0,337.0999999999999
ALABAMA,MADISON,1089,2016,31.9,59.79999999999999,227.29999999999998
ALABAMA,MARENGO,1091,2016,0,242.29999999999998,242.29999999999998
ALABAMA,MARION,1093,2016,23,98.49999999999999,403.59999999999997
ALABAMA,MARSHALL,1095,2016,106.29999999999998,65.6,177.89999999999998
ALABAMA,MOBILE,1097,2016,73.2,0,0
ALABAMA,MONROE,1099,2016,67.3,0,0
ALABAMA,MONTGOMERY,1101,2016,67.7,0,3002.4999999999995
ALABAMA,MORGAN,1103,2016,64.6,539.8999999999997,713.2999999999997
ALABAMA,PERRY,1105,2016,331.18999999999994,56.3,3704.8999999999996
ALABAMA,PICKENS,1107,2016,108.8,0,1238.8999999999999
ALABAMA,PIKE,1109,2016,308.69999999999993,313.79999999999995,1159.1999999999998
ALABAMA,RANDOLPH,1111,2016,0,0,32.4
ALABAMA,RUSSELL,1113,2016,0,0,113.3
ALABAMA,ST CLAIR,1115,2016,0,0,103.2
ALABAMA,SHELBY,1117,2016,0,0,0
ALABAMA,SUMTER,1119,2016,483.19999999999993,1749.1999999999991,5349.799999999998
ALABAMA,TALLADEGA,1121,2016,0,0,273.09999999999997
ALABAMA,TALLAPOOSA,1123,2016,0,0,28.8
ALABAMA,TUSCALOOSA,1125,2016,0,0,0
ALABAMA,WALKER,1127,2016,39.6,0,162.4
ALABAMA,WASHINGTON,1129,2016,0,0,26.4
ALABAMA,WILCOX,1131,2016,326.3999999999999,208.7,428.7
ALABAMA,WINSTON,1133,2016,0,0,0
ALASKA,ALL,2999,2016,0,281.6,14719.199999999995
ARIZONA,APACHE,4001,2016,0,0,0
ARIZONA,COCHISE,4003,2016,0,0,0
ARIZONA,COCONINO,4005,2016,0,0,0
ARIZONA,GILA,4007,2016,0,0,0
ARIZONA,GRAHAM,4009,2016,0,0,0
ARIZONA,GREENLEE,4011,2016,0,0,0
ARIZONA,LAPAZ,4012,2016,0,0,0
ARIZONA,MARICOPA,4013,2016,0,0,0
ARIZONA,MOHAVE,4015,2016,0,0,0
ARIZONA,NAVAJO,4017,2016,0,0,0
ARIZONA,PIMA,4019,2016,0,0,0
ARIZONA,PINAL,4021,2016,0,0,0
ARIZONA,SANTA CRUZ,4023,2016,0,0,0
ARIZONA,YAVAPAI,4025,2016,0,0,0
ARIZONA,YUMA,4027,2016,0,0,0
ARKANSAS,ARKANSAS,5001,2016,1285.2199999999996,525.9599999999998,854.6599999999999
ARKANSAS,ASHLEY,5003,2016,27.599999999999998,16.9,16.9
ARKANSAS,BAXTER,5005,2016,0,0,0
ARKANSAS,BENTON,5007,2016,0,0,0
ARKANSAS,BOONE,5009,2016,0,0,0
ARKANSAS,BRADLEY,5011,2016,0,60,60
ARKANSAS,CALHOUN,5013,2016,0,94.39999999999999,94.39999999999999
ARKANSAS,CARROLL,5015,2016,0,0,0
ARKANSAS,CHICOT,5017,2016,258.59999999999997,140.36999999999998,189.46999999999997
ARKANSAS,CLARK,5019,2016,404.1,0,0
ARKANSAS,CLAY,5021,2016,356.3999999999998,201.19999999999996,241.09999999999997
ARKANSAS,CLEBURNE,5023,2016,0,0,0
ARKANSAS,CLEVELAND,5025,2016,0,24.099999999999998,24.099999999999998
ARKANSAS,COLUMBIA,5027,2016,0,0,0
ARKANSAS,CONWAY,5029,2016,17.4,187.55999999999997,256.65999999999997
ARKANSAS,CRAIGHEAD,5031,2016,0,14.5,14.5
ARKANSAS,CRAWFORD,5033,2016,0,0,0
ARKANSAS,CRITTENDEN,5035,2016,0,618.2399999999997,618.2399999999997
ARKANSAS,CROSS,5037,2016,1121.7999999999995,1414.3999999999994,1428.6999999999994
ARKANSAS,DALLAS,5039,2016,0,0,0
ARKANSAS,DESHA,5041,2016,128.39999999999998,20.5,57.8
ARKANSAS,DREW,5043,2016,32.699999999999996,104.89999999999999,264
ARKANSAS,FAULKNER,5045,2016,0,22.7,476.89999999999986
ARKANSAS,FRANKLIN,5047,2016,0,0,0
ARKANSAS,FULTON,5049,2016,0,0,0
ARKANSAS,GARLAND,5051,2016,0,0,0
ARKANSAS,GRANT,5053,2016,0,0,0
ARKANSAS,GREENE,5055,2016,0,80.79999999999998,97.19999999999999
ARKANSAS,HEMPSTEAD,5057,2016,0,0,38.3
ARKANSAS,HOT SPRING,5059,2016,0,0,0
ARKANSAS,HOWARD,5061,2016,0,0,0
ARKANSAS,INDEPENDENCE,5063,2016,198.9,55.29,489.18999999999994
ARKANSAS,IZARD,5065,2016,0,0,0
ARKANSAS,JACKSON,5067,2016,0,572.9999999999995,724.5999999999996
ARKANSAS,JEFFERSON,5069,2016,79.9,2286.3499999999985,2512.8499999999985
ARKANSAS,JOHNSON,5071,2016,0,0,0
ARKANSAS,LAFAYETTE,5073,2016,0,0,0
ARKANSAS,LAWRENCE,5075,2016,0,501.99999999999983,501.99999999999983
ARKANSAS,LEE,5077,2016,30.7,23.1,23.1
ARKANSAS,LINCOLN,5079,2016,37.9,593.1999999999997,816.4999999999997
ARKANSAS,LITTLE RIVER,5081,2016,0,0,0
ARKANSAS,LOGAN,5083,2016,0,0,23
ARKANSAS,LONOKE,5085,2016,0,1768.1999999999978,1886.1999999999978
ARKANSAS,MADISON,5087,2016,0,81.6,81.6
ARKANSAS,MARION,5089,2016,0,0,0
ARKANSAS,MILLER,5091,2016,0,0,246.8
ARKANSAS,MISSISSIPPI,5093,2016,0,0,0
ARKANSAS,MONROE,5095,2016,0,62.99999999999999,62.99999999999999
ARKANSAS,MONTGOMERY,5097,2016,0,0,0
ARKANSAS,NEVADA,5099,2016,12,0,0
ARKANSAS,NEWTON,5101,2016,0,0,0
ARKANSAS,OUACHITA,5103,2016,0,199.4,199.4
ARKANSAS,PERRY,5105,2016,0,0,0
ARKANSAS,PHILLIPS,5107,2016,53.3,26.8,144.3
ARKANSAS,PIKE,5109,2016,0,0,0
ARKANSAS,POINSETT,5111,2016,32.3,317.99999999999994,421.0999999999999
ARKANSAS,POLK,5113,2016,0,0,0
ARKANSAS,POPE,5115,2016,0,192.7,192.7
ARKANSAS,PRAIRIE,5117,2016,415.4999999999999,126.69999999999999,340.79999999999995
ARKANSAS,PULASKI,5119,2016,536.7,140.99999999999997,140.99999999999997
ARKANSAS,RANDOLPH,5121,2016,0,11.5,11.5
ARKANSAS,ST FRANCIS,5123,2016,295.29999999999995,359.19999999999993,359.19999999999993
ARKANSAS,SALINE,5125,2016,0,0,0
ARKANSAS,SCOTT,5127,2016,0,0,0
ARKANSAS,SEARCY,5129,2016,0,0,0
ARKANSAS,SEBASTIAN,5131,2016,0,0,0
ARKANSAS,SEVIER,5133,2016,0,188.4,188.4
ARKANSAS,SHARP,5135,2016,0,11.49,11.49
ARKANSAS,STONE,5137,2016,0,0,0
ARKANSAS,UNION,5139,2016,0,0,0
ARKANSAS,VAN BUREN,5141,2016,0,0,0
ARKANSAS,WASHINGTON,5143,2016,0,0,0
ARKANSAS,WHITE,5145,2016,1349.1999999999996,18.8,1409.7999999999997
ARKANSAS,WOODRUFF,5147,2016,338.99999999999994,78.69999999999999,389.59999999999997
ARKANSAS,YELL,5149,2016,0,494.5999999999999,494.5999999999999
CALIFORNIA,ALAMEDA,6001,2016,0,0,0
CALIFORNIA,ALPINE,6003,2016,0,0,0
CALIFORNIA,AMADOR,6005,2016,0,0,0
CALIFORNIA,BUTTE,6007,2016,0,0,0
CALIFORNIA,CALAVERAS,6009,2016,0,0,0
CALIFORNIA,COLUSA,6011,2016,170.6,0,0
CALIFORNIA,CONTRA COSTA,6013,2016,0,0,0
CALIFORNIA,DEL NORTE,6015,2016,0,0,0
CALIFORNIA,EL DORADO,6017,2016,0,0,0
CALIFORNIA,FRESNO,6019,2016,0,0,0
CALIFORNIA,GLENN,6021,2016,0,33.7,33.7
CALIFORNIA,HUMBOLDT,6023,2016,0,0,0
CALIFORNIA,IMPERIAL,6025,2016,0,0,0
CALIFORNIA,INYO,6027,2016,0,0,0
CALIFORNIA,KERN,6029,2016,0,0,4095.5999999999995
CALIFORNIA,KINGS,6031,2016,0,0,0
CALIFORNIA,LAKE,6033,2016,0,0,0
CALIFORNIA,LASSEN,6035,2016,0,0,0
CALIFORNIA,LOS ANGELES,6037,2016,0,0,0
CALIFORNIA,MADERA,6039,2016,0,0,0
CALIFORNIA,MARIN,6041,2016,0,0,0
CALIFORNIA,MARIPOSA,6043,2016,0,0,0
CALIFORNIA,MENDOCINO,6045,2016,0,0,0
CALIFORNIA,MERCED,6047,2016,0,0,0
CALIFORNIA,MODOC,6049,2016,0,0,0
CALIFORNIA,MONO,6051,2016,0,0,0
