FIPS,STATE,COUNTY,GRASS_PLANTINGS_INTRO,GRASS_PLANTINGS_NATIVE,TREE_PLANTINGS_SOFT,TREE_PLANTINGS_LONG,TREE_PLANTINGS_HARD,WILDLIFE_HABITAT,WILDLIFE_CORRIDORS,FIELD_WINDBREAKS,DIVERSIONS_EROSION_CONTROL_STRUC,GRASS_WATERWAYS,SHALLOW_WATER_FOR_WILDLIFE,EXISTING_GRASS,EXISTING_TREES,WILDLIFE_FOOD_PLOTS,CONTOUR_GRASS_STRIPS,SHELTER_BELTS,LIVING_SNOW_FENCES,SALINITY_REDUCING_VEGETATION,FILTER_STRIPS,RIPARIAN_BUFFERS,WETLAND_RESTORATION,WETLAND_RESTORATION_FLOOD,WETLAND_RESTORATION_NONFLOOD,CROSS_WINDTRAP_STRIPS,RARE_AND_DECLINING_HABITAT,FARMABLE_WETLAND_PROGRAM,FARMABLE_WETLAND_PROGRAM_BUFFER,MARGINAL_PASTURE_BUFFERS,MARGINAL_PASTURE_BUFFERS_WET,BOTTOMLAND_HARDWOOD_TREES,EXPIRED_HARDWOOD_TREES,UPLAND_BIRD_HABITAT_BUFFERS,LONGLEAF_PINE,DUCK_NESTING_HABITAT,STATE_ACRES_FOR_WILDLIFE_ENHANCEMENT,FARMABLE_WETLAND_PROGRAM_CONSTRUCTED,FARMABLE_WETLAND_PROGRAM_AQUA,FARMABLE_WETLAND_PROGRAM_FLOOD,POLLINATOR_HABITAT,CRP_GRASSLANDS_INTRODUCED,CRP_GRASSLANDS_NATIVE,TOTAL
1001,ALABAMA,AUTAUGA,NA,NA,882.49999999999989,271.2,32.900000000000006,NA,NA,NA,NA,NA,NA,NA,87.7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,748.44,NA,NA,NA,NA,NA,NA,NA,NA,2130.24
1003,ALABAMA,BALDWIN,36.5,NA,1771.4400000000005,326.89000000000004,261.82,NA,NA,NA,NA,NA,NA,53.5,799.4200000000001,52.31000000000001,NA,NA,NA,NA,3.9,51.300000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,NA,NA,NA,NA,NA,NA,NA,NA,3423.580000000001
1005,ALABAMA,BARBOUR,7.4,NA,9498.1099999999951,119.2,0,NA,NA,NA,NA,NA,NA,128.60000000000002,1760.3999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852.6100000000002,NA,NA,NA,NA,NA,NA,NA,NA,12366.31999999999
1007,ALABAMA,BIBB,24.6,NA,52.6,86.999999999999986,0,NA,NA,NA,NA,NA,NA,172.9,79,3.9,NA,NA,NA,NA,NA,21.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.54999999999995
1009,ALABAMA,BLOUNT,121.4,NA,371.00000000000006,0,27.1,NA,NA,NA,NA,NA,NA,60.7,57.900000000000006,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,NA,NA,786.6999999999999
1011,ALABAMA,BULLOCK,874.1,413.3,2376.6000000000008,48.900000000000006,0,130.2,31.8,NA,NA,NA,NA,3100.3,1405.9,80.8,NA,NA,NA,NA,NA,26.1,NA,NA,NA,NA,157.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8645.9
1013,ALABAMA,BUTLER,NA,NA,1089.1300000000001,97.100000000000009,186.61,NA,NA,NA,NA,NA,NA,NA,402.30000000000007,17.200000000000003,NA,NA,NA,NA,NA,296.97999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.64,NA,NA,NA,NA,NA,NA,NA,NA,2300.96
1015,ALABAMA,CALHOUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
1017,ALABAMA,CHAMBERS,7.4,NA,1031.7,0,0,NA,NA,NA,NA,NA,NA,4.7,317.00000000000006,4,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374.6000000000001
1019,ALABAMA,CHEROKEE,125.60000000000001,NA,1316.6999999999998,2,0,25,NA,NA,NA,NA,NA,349.90000000000003,548.3,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2393.5000000000005
