year,county,school_district,sd_number,political_unit,info_number,total_rate_gross,total_rate_class1,total_rate_class2,emergency_rate,current_expense_rate_gross,current_expense_rate_class1,current_expense_rate_class2,bond_rate,general_fund_millage,recreation_rate_gross,recreation_rate_class1,recreation_rate_class2,improvement_rate_gross,improvement_rate_class1,improvement_rate_class2,library_millage,library_rate_gross,library_rate_class1,library_rate_class2,acquisition_rate,mill_floor_rate_class1,mill_floor_rate_class2,sub_levy_rate,library_rate_millage,safety_rate_gross,safety_rate_class1,safety_rate_class2,credit_qualify_rate_class1,qualifying_nonbusiness_class1
1994,adams,ohio valley lsd,NA,NA,NA,32.47,28.764229999999998,30.09443,0,22.7,18.994229999999998,20.32443,5.970000000000001,3.8,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,allen,allen east lsd,NA,NA,NA,36.57,28.894180000000002,29.081719999999997,5.72,22.05,14.95001,14.95002,1,5.05,0,0,0,2.75,2.17417,2.3617,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,allen,bath lsd,NA,NA,NA,27.97,27.716260000000002,27.86117,7.72,12.850000000000001,12.850000000000001,12.850000000000001,0,6.1499999999999995,0,0,0,1.25,0.9962599999999999,1.14117,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,allen,bluffton evsd,NA,NA,NA,38.01,26.806729999999998,28.19204,0,28.91,17.706729999999997,19.092039999999997,4.5,4.6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,allen,delphos csd,NA,NA,NA,39.65,27.507360000000002,30.485149999999997,0,34.949999999999996,22.807360000000003,25.785149999999998,0,4.7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,allen,elida lsd,NA,NA,NA,32.3,26.596950000000003,26.67104,4.3,20.1,14.60001,14.60046,1.5,5.4,0,0,0,1,0.79694,0.87058,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,allen,lima csd,NA,NA,NA,40.36,29.23369,32.449819999999995,2.4099999999999997,32.5,22.080779999999997,25.12363,0,3.7,0,0,0,1.75,1.04291,1.2161899999999999,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,allen,perry lsd (allen co.),NA,NA,NA,37.1,24.44098,27.38749,0,29.6,17.24038,20.1445,0,6,0,0,0,1.5,1.2006,1.2429999999999999,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,allen,shawnee lsd,NA,NA,NA,33.86,29.7469,30.113020000000002,8.46,17.1,14.200009999999999,14.21744,0,5.8,0,0,0,2.5,1.2868899999999999,1.6355899999999999,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,allen,spencerville lsd,NA,NA,NA,33.1,25.55768,27.41691,3.9299999999999997,22.67,15.50002,17.17237,0,4.5,0,0,0,2,1.6276599999999999,1.81454,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,ashland,ashland csd,NA,NA,NA,52.1,37.148950000000006,41.912819999999996,0,47.1,32.2479,36.92429,0,4,0,0,0,1,0.90105,0.9885299999999999,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,ashland,hillsdale lsd,NA,NA,NA,41.5,30.040039999999998,32.83705,0,34.9,23.61542,26.37472,0,5.2,0,0,0,1.4,1.2246199999999998,1.26233,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,ashland,loudonville-perrysville evsd,NA,NA,NA,37.4,27.990619999999996,27.989369999999997,7,25.2,16.00001,16.03058,0,4,0,0,0,1.2,0.99061,0.9588000000000001,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,ashland,mapleton lsd,NA,NA,NA,45.1,33.67985,31.97038,0,37.1,26.174940000000003,23.982189999999996,0,4,0,0,0,4,3.50491,3.9881800000000003,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,ashtabula,ashtabula area csd,NA,NA,NA,38.3,28.068569999999998,28.316090000000003,6.5,24.6,15.80001,15.8,0,4.2,0,0,0,3,1.56856,1.81609,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,ashtabula,buckeye lsd (ashtabula co.),NA,NA,NA,47.71,33.58565,39.53386,0,41.51,27.921229999999998,33.57276,0,4.3,0,0,0,1.9,1.36442,1.66111,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,ashtabula,conneaut area csd,NA,NA,NA,44.74,33.13817000000001,33.219730000000006,0,35.790000000000006,24.2545,24.320850000000004,4.5,3.7,0,0,0,0.75,0.68367,0.69888,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,ashtabula,geneva area csd,NA,NA,NA,46.24,28.41361,30.452749999999998,0,42.39,25.01833,27.02983,0,3,0,0,0,0.8500000000000001,0.39528,0.4229200000000001,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,ashtabula,grand valley lsd,NA,NA,NA,43.379999999999995,28.814370000000004,28.32656,0,36.660000000000004,22.388509999999997,21.80314,0.33999999999999997,4,0,0,0,2.38,2.08587,2.1834200000000004,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,ashtabula,jefferson area lsd,NA,NA,NA,40.97,26.811170000000004,26.03773,0,34.97,21.104060000000004,20.3291,0,3.5,0,0,0,2.5,2.2071100000000006,2.2086300000000003,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,ashtabula,pymatuning valley lsd,NA,NA,NA,35.83,29.65454,29.71652,5.7,22.130000000000003,16.1,16.10002,1.5,3.9,0,0,0,2.6,2.4545399999999997,2.5164999999999997,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,athens,alexander lsd,NA,NA,NA,33.7,22.556850000000004,24.50635,0,29.8,18.656850000000006,20.606350000000003,0,3.9,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
