"tax_year","cap_rate_odt","corn_yield_odt","soy_yield_odt","wheat_yield_odt","corn_price_odt","soy_price_odt","wheat_price_odt","hay_price_odt","corn_cost_odt","soy_cost_odt","wheat_cost_odt","hay_cost_odt","corn_cost_add_odt","soy_cost_add_odt","wheat_cost_add_odt","hay_cost_add_odt","corn_base_odt","soy_base_odt","wheat_base_odt","hay_base_odt","corn_rotate_odt","soy_rotate_odt","wheat_rotate_odt","hay_rotate_odt"
2020,0.08,162.3,50.2,68.2,3.63,9.12,4.84,,503.44,331.48,303.88,,1.38,0.89,1.33,,132,40,58,,0.372,0.572,0.056,
2019,0.08,164.1,50.4,69.9,3.68,9.78,5.15,,519.04,338.54,319.08,,1.43,0.9,1.41,,131,39,58,,0.38,0.56,0.06,
2018,0.08,158.9,48.2,69.2,4.18,10.43,5.52,,529.28,346.26,330.53,,1.44,0.94,1.49,,129,38,58,,0.39,0.55,0.06,
2017,0.08,156.2,47.9,67.9,4.51,10.83,5.53,,538.78,347.1,336.21,,1.45,1.05,1.62,,127,37,56,,0.4,0.54,0.06,
2016,0.063,156.2,47.2,66.7,4.49,10.91,5.53,,524.47,336.33,323.52,,1.38,1.07,1.64,,125,37,55,,0.402,0.53,0.068,
2015,0.066,155.2,46.7,67.1,4.55,11.09,5.67,,516.99,325.42,296.98,,1.36,1.24,1.77,,124,36,54,,0.4,0.526,0.074,
2014,0.062,151.9,45,66,4.48,10.13,5.16,,437.85,275.21,255.48,,1.18,1.27,1.8,,120,36,52,,0.386,0.52,0.094,
2013,0.067,148.5,43.7,65.3,3.91,8.98,4.54,,391.9,248.69,230.62,,1.04,1.12,1.61,,118,36,52,,0.387,0.512,0.101,
2012,0.075,146.5,43.1,66.2,3.19,7.74,3.98,,350.71,227.51,211.52,,0.9,0.93,1.41,,114,36,51,,0.386,0.511,0.103,
2011,0.076,144.9,42.5,67.3,2.89,7.22,3.64,,300.98,204.6,192.94,,0.84,0.77,1.19,,110,35,51,,0.386,0.509,0.105,
2010,0.078,140.1,41.2,67.1,2.66,6.41,3.41,,286.65,189.1,170.16,,0.83,0.66,1.14,,118,36,52,,0.39,0.51,0.1,
2009,0.079,140.7,42,66.7,2.29,5.6,3.05,86.18,264.12,175.21,159.01,131.89,0.72,0.57,0.86,22.75,117,36,52,2.5,0.35,0.45,0.15,0.05
2008,0.083,139,42,67,2.02,5.19,2.89,79.8,242.39,174.44,156.68,133.8,0.9,0.5,0.84,24.23,100,35,50,2,0.35,0.45,0.15,0.05
2007,0.084,134,40,64,1.96,4.89,2.64,76.66,235.7,168.14,153.67,134.5,0.91,0.49,0.81,23.98,100,35,50,2,0.35,0.37,0.15,0.13
2006,0.085,132,40,63,1.99,4.84,2.49,75.54,232.83,167.5,151.98,138.26,0.92,0.49,0.87,24.83,100,30,50,2,0.35,0.45,0.15,0.05
2005,0.086,,,,,,,,,,,,,,,,,,,,,,,
2004,0.09,,,,,,,,,,,,,,,,,,,,,,,
2003,0.092,,,,,,,,,,,,,,,,,,,,,,,
