county,real_property_value,public_utility_property_value,tangible_property_value,total_property_value,real_property_tax,public_utility_property_tax,tangible_property_tax,total_property_tax,special_assessments,year
adams,146731410000,342482610000,NA,16648155000,505862175000,4408526000,NA,9543347000,509240000,1986
allen,675696080000,98267410000,NA,358373019000,1132336509000,27190336000,NA,3974507000,13744749000,1986
ashland,298984580000,51501550000,NA,59266893000,409753023000,15001437000,NA,2517043000,3056062000,1986
ashtabula,599062860000,127317270000,NA,137736323000,864116453000,32492890000,NA,6814310000,7485468000,1986
athens,233175660000,68260160000,NA,18735173000,320170993000,14341092000,NA,3836338000,1166634000,1986
auglaize,293724520000,30128260000,NA,75623764000,399476544000,12711020000,NA,1294679000,3173258000,1986
belmont,409328360000,104831440000,NA,63789127000,577948927000,20180728000,NA,4879530000,3115740000,1986
brown,166997340000,34441610000,NA,14717870000,216156820000,7315983000,NA,1471415000,667659000,1986
butler,1915857520000,196227430000,NA,428401733000,2540486683000,95322884000,NA,9610868000,20504264000,1986
carroll,173598790000,39610480000,NA,22292813000,235502083000,7739070000,NA,1725709000,1034669000,1986
champaign,214449170000,27206730000,NA,37528881000,279184781000,10588082000,NA,1342779000,1788045000,1986
clark,781079040000,94166710000,NA,140950759000,1016196509000,40818059000,NA,4882201000,7141781000,1986
clermont,894550600000,189573930000,NA,140847474000,1224972004000,54177029000,NA,10946672000,7604444000,1986
clinton,243989650000,28012700000,NA,40658750000,312661100000,11262177000,NA,1272927000,1932908000,1986
columbiana,540316620000,94495340000,NA,81976777000,716788737000,27018375000,NA,4638216000,4256000000,1986
coshocton,238622370000,187058150000,NA,72764292000,498444812000,10023822000,NA,6194815000,2985660000,1986
crawford,303538700000,39365160000,NA,88733892000,431637752000,16280330000,NA,2125189000,4666701000,1986
cuyahoga,11018179120000,1051645540000,NA,2461686202000,14531510862000,899312332000,NA,82449906000,178561467000,1986
darke,359605330000,29245010000,NA,58188050000,447038390000,14607943000,NA,1161670000,2437039000,1986
defiance,271362040000,42996470000,NA,63759521000,378118031000,12406740000,NA,1988640000,2859288000,1986
delaware,529775620000,65935320000,NA,88948774000,684659714000,25968932000,NA,3123214000,4159692000,1986
erie,595145370000,72627460000,NA,143906960000,811679790000,34980758000,NA,4219729000,8304124000,1986
fairfield,632876980000,76060900000,NA,91590402000,800528282000,38326831000,NA,4456460000,5316268000,1986
fayette,182547000000,26245000000,NA,22551420000,231343420000,7182902000,NA,1010977000,955112000,1986
franklin,6897407180000,594357920000,NA,1480728119000,8972493219000,418848681000,NA,35636445000,86366094000,1986
fulton,281223050000,42869640000,NA,51700381000,375793071000,15187691000,NA,2296377000,2727330000,1986
gallia,168214520000,257645860000,NA,22817635000,448678015000,5655671000,NA,8196049000,790353000,1986
geauga,713351350000,71833610000,NA,70831940000,856016900000,50368316000,NA,4962926000,4888360000,1986
greene,888144870000,95363160000,NA,81078451000,1064586481000,55102698000,NA,5803707000,5037883000,1986
guernsey,216511510000,45922560000,NA,46986749000,309420819000,11334562000,NA,2337126000,2534867000,1986
hamilton,6101403000000,734299260000,NA,1791643907000,8627346167000,387086877000,NA,43845728000,104534210000,1986
hancock,541082540000,60169990000,NA,158945801000,760198331000,24724963000,NA,2586763000,7231710000,1986
hardin,204091710000,24816880000,NA,31664217000,260572807000,9337137000,NA,1117877000,1417100000,1986
harrison,105174150000,28651660000,NA,28774410000,162600220000,4803041000,NA,1291623000,1279963000,1986
henry,207917510000,27895110000,NA,49407628000,285220248000,9965931000,NA,1385736000,2232754000,1986
highland,183490890000,21118870000,NA,26772019000,231381779000,7605904000,NA,887896000,1104523000,1986
hocking,138349725000,37754060000,NA,20526155000,196629940000,6563967000,NA,1788226000,967878000,1986
holmes,209216160000,27412360000,NA,32494270000,269122790000,9423009000,NA,1280304000,1438064000,1986
huron,347468350000,35842390000,NA,82496620000,465807360000,18273427000,NA,1862967000,4416074000,1986
jackson,142818610000,36425500000,NA,38959637000,218203747000,5266844000,NA,1296482000,1474736000,1986
jefferson,410445580000,357270360000,NA,124404500000,892120440000,17679471000,NA,13797956000,5575397000,1986
knox,330113910000,44784280000,NA,69074202000,443972392000,17907601000,NA,2426863000,3634599000,1986
lake,1938704170000,264175730000,NA,362492524000,2565372424000,140080164000,NA,17999440000,25292902000,1986
lawrence,248231660000,66738590000,NA,50535160000,365505410000,9467430000,NA,2530420000,1964813000,1986
licking,862988490000,117678360000,NA,194645031000,1175311881000,41028034000,NA,5520375000,8705493000,1986
logan,285730490000,31220910000,NA,49413203000,366364603000,13589569000,NA,1484317000,2400905000,1986
lorain,1804511760000,331159990000,NA,371195428000,2506867178000,110008180000,NA,19899098000,22068490000,1986
lucas,3038460110000,363543900000,NA,790564472000,4192568482000,208847171000,NA,23774285000,51676754000,1986
madison,237579300000,34167490000,NA,16084787000,287831577000,10781522000,NA,1456626000,775421000,1986
mahoning,1546251290000,180447550000,NA,234106617000,1960805457000,92346497000,NA,10547422000,13894329000,1986
marion,410991130000,55321070000,NA,92001884000,558314084000,20757838000,NA,2802478000,4615506000,1986
medina,974223260000,103272670000,NA,115734817000,1193230747000,63517661000,NA,6603968000,7449500000,1986
meigs,127071060000,51687660000,NA,34488676000,213247396000,4904584000,NA,1967962000,1353317000,1986
mercer,287099200000,19841350000,NA,46434021000,353374571000,12263706000,NA,845956000,1963459000,1986
miami,618327750000,66580560000,NA,163709896000,848618206000,33125201000,NA,3510545000,8941932000,1986
monroe,96311390000,29081280000,NA,104503290000,229895960000,4294339000,NA,1292016000,4565792000,1986
montgomery,3948593150000,405715265000,NA,966969021000,5321277436000,254250971000,NA,26042184000,60737544000,1986
morgan,80469860000,88908540000,NA,18506351000,187884751000,3078705000,NA,3547934000,684171000,1986
morrow,169724300000,26251740000,NA,17316077000,213292117000,8510532000,NA,1307892000,879701000,1986
muskingum,426393860000,79329930000,NA,88911871000,594635661000,22584246000,NA,4097578000,4775656000,1986
noble,71190810000,20601630000,NA,24887453000,116679893000,3123632000,NA,896535000,1065843000,1986
ottawa,360469620000,265159880000,NA,139401140000,765030640000,19996592000,NA,10617418000,6271563000,1986
paulding,133582270000,19360850000,NA,16600525000,169543645000,7285344000,NA,1042062000,914491000,1986
perry,137387620000,27034090000,NA,18891443000,183313153000,6938619000,NA,1360620000,977585000,1986
pickaway,268583500000,51137240000,NA,89492181000,409212921000,11353516000,NA,2135883000,3688649000,1986
pike,99393310000,34526190000,NA,9679819000,143599319000,5122612000,NA,1687683000,536072000,1986
portage,801228710000,110363980000,NA,144877094000,1056469784000,54066722000,NA,7365256000,9737649000,1986
preble,258800790000,26905950000,NA,27225315000,312932055000,11749600000,NA,1196681000,1262477000,1986
putnam,227109540000,24534930000,NA,28756684000,280401154000,9870440000,NA,1084382000,1139301000,1986
richland,817540680000,103532300000,NA,248057515000,1169130495000,45439738000,NA,5769035000,13419910000,1986
ross,389830470000,47216700000,NA,134831178000,571878348000,19852874000,NA,2392760000,7029319000,1986
sandusky,412129070000,53979210000,NA,127022534000,593130814000,18738781000,NA,2482515000,5759840000,1986
scioto,347944230000,73675920000,NA,77854192000,499474342000,16626891000,NA,3443479000,3438490000,1986
seneca,369601990000,45803160000,NA,107530361000,522935511000,16535907000,NA,2058718000,4741567000,1986
shelby,293142580000,44732510000,NA,127716640000,465591730000,12554297000,NA,1892637000,5292599000,1986
stark,2513498290000,286763090000,NA,651967963000,3452229343000,131813401000,NA,14951627000,32772223000,1986
