county,residential_taxable_value,agricultural_taxable_value,industrial_taxable_value,commercial_taxable_value,mineral_taxable_value,total_taxable_value,year
adams,41764820,40465410,2019480,52895400,0,137145110,1985
allen,423860680,74674400,52987960,116925450,0,668448490,1985
ashland,170136310,74180710,16736640,34763790,396400,296213850,1985
ashtabula,350934390,108289500,39004430,94840920,4394290,597463530,1985
athens,138065630,40576550,7409290,44294570,1623320,231969360,1985
auglaize,165708960,70365600,19117470,34667710,0,289859740,1985
belmont,262648510,44974780,23374640,68574530,7925030,407497490,1985
brown,86961970,58640350,3913810,19286010,0,168802140,1985
butler,1342391440,69933350,148856260,304030510,0,1865211560,1985
carroll,84757670,66297740,6139110,12838600,3768760,173801880,1985
champaign,115479780,69622770,10654830,19457270,0,215214650,1985
clark,532378930,64454770,32458280,125960780,0,755252760,1985
clermont,615655220,58527000,40213620,153937500,0,868333340,1985
clinton,118772140,77950030,12519720,32579180,0,241821070,1985
columbiana,350142630,87094690,25216240,60487230,1597140,524537930,1985
coshocton,120003610,57419230,27321190,28441710,5805620,238991360,1985
crawford,169188990,71391370,23569900,39661530,0,303811790,1985
cuyahoga,7328554190,991830,928153100,2547761940,0,10805461060,1985
darke,186526610,125877670,12634120,32140340,0,357178740,1985
defiance,151735470,62075110,22434630,33403590,0,269648800,1985
delaware,340823470,85007260,25886850,51962490,0,503680070,1985
erie,364387390,56888400,60763250,94576710,13870,576629620,1985
fairfield,438701110,88786930,27293370,75525900,186200,630493510,1985
fayette,75796360,77163010,6780680,21151150,0,180891200,1985
franklin,4069991420,68025160,501859330,1975470660,0,6615346570,1985
fulton,134879070,88025430,25049250,28863790,70,276817610,1985
gallia,76265720,32267850,2862060,52525950,1034510,164956090,1985
geauga,509847330,103065740,22830890,56547610,2775560,695067130,1985
greene,679467300,71552740,25021780,100812080,0,876853900,1985
guernsey,119953220,38225960,12612630,38781470,6644080,216217360,1985
hamilton,4012127780,13411260,543364140,1422201870,0,5991105050,1985
hancock,279579430,117451450,39401390,90150420,5000,526587690,1985
hardin,91626430,83371560,8310970,19435770,0,202744730,1985
harrison,51955620,28453690,8198050,10247000,4414530,103268890,1985
henry,93079510,83502240,13951050,15144790,0,205677590,1985
highland,92988730,63598800,5091420,19870720,0,181549670,1985
hocking,89788410,15616970,6182580,11637530,2386290,125611780,1985
holmes,74839550,82292040,8736510,16320080,4885330,187073510,1985
huron,211224510,67080560,17489980,46439970,31260,342266280,1985
jackson,81712890,34140940,9241570,16833130,300740,142229270,1985
jefferson,259210340,27766640,64142980,56048590,1457030,408625580,1985
knox,198911370,87035460,12823640,38461250,1859840,339091560,1985
lake,1353984460,40599050,157035790,347479110,0,1899098410,1985
lawrence,177556680,32269580,9265230,27903220,897800,247892510,1985
licking,563877220,110068130,44412050,126475210,2192320,847024930,1985
logan,168147900,69218600,8904960,35986090,0,282257550,1985
lorain,1294968180,67708990,119037540,309811710,521180,1792047600,1985
lucas,2005040730,50341380,160861000,784119700,0,3000362810,1985
madison,122154630,81200370,7628740,24274750,0,235258490,1985
mahoning,1122986760,66328960,68459300,271326090,7043270,1536144380,1985
marion,263412890,74760630,29868070,65010810,20250,433072650,1985
medina,721696570,84905150,43028160,112070030,4685260,966385170,1985
meigs,45475410,28592480,20149220,8791830,4401790,107410730,1985
mercer,132644670,102277160,16498030,32137630,2100,283559590,1985
miami,425151960,74673640,38609820,69839870,0,608275290,1985
monroe,36928330,26756280,21179460,5842030,5098000,95804100,1985
montgomery,2671098920,71734250,271203730,892947080,0,3906983980,1985
morgan,28493330,36957070,4761020,5297540,4237590,79746550,1985
morrow,94422120,57842640,3806160,10427430,1513870,168012220,1985
muskingum,259439520,57281810,17662850,73002500,12119430,419506110,1985
noble,26866020,30311690,2534030,5528620,4635340,69875700,1985
ottawa,209680160,55181580,12770730,55732910,28140,333393520,1985
paulding,60259190,59937940,5874540,10194890,0,136266560,1985
perry,75560190,35504710,5418380,14146530,5974710,136604520,1985
pickaway,134816430,81261300,19323780,26668470,0,262069980,1985
pike,58477700,26846540,1854580,11015050,0,98193870,1985
portage,563289450,66311110,41150580,109780530,8821760,789353430,1985
preble,150360310,77454890,8453310,18649310,0,254917820,1985
putnam,105043020,93104990,6418520,17551180,0,222117710,1985
richland,522898930,64881060,70391200,155798250,0,813969440,1985
ross,223183360,75819680,34499650,54375650,0,387878340,1985
sandusky,244298230,85343450,26949180,49537130,45290,406173280,1985
scioto,208171670,37460160,19134510,52442560,0,317208900,1985
seneca,203224940,95599590,27658310,37599090,28550,364110480,1985
shelby,148985140,74238970,30797350,33789920,0,287811380,1985
stark,1734374750,132276150,153137320,448896250,22582160,2491266630,1985
summit,2582293020,53218380,201756980,789154560,7706150,3634129090,1985
trumbull,1005140180,100807500,131853940,239712730,6039440,1483553790,1985
tuscarawas,280207490,75068610,31707490,75111920,9862930,471958440,1985
union,113424770,83894800,27052260,27433790,0,251805620,1985
van wert,95548880,77058860,14148370,20206790,3040,206965940,1985
vinton,24484070,21980330,4938890,2847190,1994410,56244890,1985
warren,513978510,65794270,22104530,117774950,0,719652260,1985
washington,203295080,62876760,33762580,53421420,3287220,356643060,1985
wayne,473646100,132494270,48740420,89756370,5164410,749801570,1985
williams,122870590,63039390,20493790,24501690,0,230905460,1985
wood,428207880,116673210,61300640,129825860,9500,736017090,1985
