county,res_ag_gross_millage,res_ag_net_millage,public_gross_millage,public_net_millage,tangible_millage,year
adams,31.54,29.92,29.4,27.47,28.94,1988
allen,43.89,37.3,43.1,37.33,41.03,1988
ashland,51.88,39.79,52.42,41.62,48.49,1988
ashtabula,56.47,44.12,56.91,45.78,53.01,1988
athens,64.47,47.17,66.11,48.95,54.16,1988
auglaize,47.23,40.1,46.86,38.87,43.55,1988
belmont,48.33,37.4,47.13,38.27,43.3,1988
brown,42.24,36.04,43.75,37.05,37.12,1988
butler,50.9,38.88,50.18,40.03,45.79,1988
carroll,46.02,33.2,48.42,35.12,44.41,1988
champaign,52.5,39.41,56.56,43.16,52.05,1988
clark,56.52,42.3,56.01,46.44,51.93,1988
clermont,60.76,43.78,60.4,43.6,51.06,1988
clinton,45.87,40.39,47.71,41.58,44.53,1988
columbiana,50.31,39.79,51.28,38.51,45.73,1988
coshocton,43.98,35.52,44.12,36.48,41.94,1988
crawford,54.45,38.7,53.62,38.01,50.16,1988
cuyahoga,84.62,58.66,77.98,63.76,69.58,1988
darke,42.78,37.65,44.04,35,40,1988
defiance,46.5,40.6,45.27,37.62,42.31,1988
delaware,51.28,41.39,50.55,38.47,48.59,1988
erie,63.54,42.93,63.32,44.21,59.06,1988
fairfield,62.08,39.86,60.06,38.54,54.49,1988
fayette,38.57,32,42.96,32.55,38.34,1988
franklin,64.88,46.53,61.67,43.3,57.9,1988
fulton,55,44.99,53.82,40.19,52.21,1988
gallia,33.85,29.89,33.2,30.26,31.55,1988
geauga,72.84,48.61,72.13,52.49,63.01,1988
greene,63.54,44.62,63.18,47.35,57.25,1988
guernsey,51.77,43.52,53.53,46.84,50.12,1988
hamilton,68.32,50.83,66.09,52.85,59.34,1988
hancock,46.85,37.81,48.63,39.53,45.14,1988
hardin,47.53,39.92,47.95,36.17,42.6,1988
harrison,46.04,34,45.65,34.86,41.98,1988
henry,50.78,45.37,49.22,43.75,45.54,1988
highland,40.97,34.61,40.32,33.37,36.67,1988
hocking,48.55,36.52,48.22,35.73,43.86,1988
holmes,45.46,37.32,46.73,39.07,39.5,1988
huron,55.96,39.24,57.3,45.62,52.82,1988
jackson,37.11,32.33,38,32.91,35.26,1988
jefferson,44.53,34.24,43.44,40.15,43.49,1988
knox,54.65,43.96,53.45,44.64,49.27,1988
lake,72.79,45.78,66.67,46.82,65.07,1988
lawrence,39.8,35.26,41.01,35.75,38.91,1988
licking,50.45,38.72,47.79,37.03,43.89,1988
logan,50.01,35.76,50.83,37.43,46.3,1988
lorain,65.24,46.37,64.68,47.46,61.15,1988
lucas,72.71,52.73,70.42,55.45,64.88,1988
madison,45.92,40.38,48.34,41.39,41.3,1988
