"county","county_code","asd_desc","year","corn_acres_planted","corn_grain_acres_harvest","corn_grain_prod_bu","corn_grain_yield","corn_silage_acres_harvest","corn_silage_prod_tons","corn_silage_yield","soy_acres_harvest","soy_acres_planted","soy_prod_bu","soy_yield","wheat_acres_harvest","wheat_acres_planted","wheat_prod_bu","wheat_yield","cattle_inventory","cattle_milk_inventory"
"adams","001","SOUTH CENTRAL",1918,NA,44800,1020000,22.8,NA,NA,NA,NA,NA,NA,NA,23600,NA,353000,15,NA,NA
"adams","001","SOUTH CENTRAL",1919,NA,35900,1015000,28.3,NA,NA,NA,NA,NA,NA,NA,27200,NA,460000,16.9,NA,NA
"adams","001","SOUTH CENTRAL",1920,NA,38300,1128000,29.5,NA,NA,NA,NA,NA,NA,NA,18400,NA,184000,10,NA,NA
"adams","001","SOUTH CENTRAL",1921,NA,37200,1111000,29.9,NA,NA,NA,NA,NA,NA,NA,16300,NA,132000,8.1,NA,NA
"adams","001","SOUTH CENTRAL",1922,NA,35900,919000,25.6,NA,NA,NA,NA,NA,NA,NA,15900,NA,168000,10.6,NA,NA
"adams","001","SOUTH CENTRAL",1923,NA,37300,1019000,27.3,NA,NA,NA,NA,NA,NA,NA,17500,NA,275000,15.7,NA,NA
"adams","001","SOUTH CENTRAL",1924,NA,36100,956000,26.5,NA,NA,NA,NA,NA,NA,NA,3500,NA,40000,11.4,NA,NA
"adams","001","SOUTH CENTRAL",1927,NA,31200,980000,31.4,NA,NA,NA,NA,NA,NA,NA,17700,NA,212000,12,NA,NA
"adams","001","SOUTH CENTRAL",1928,NA,33700,1077000,32,NA,NA,NA,NA,NA,NA,NA,5000,NA,32000,6.4,NA,NA
"adams","001","SOUTH CENTRAL",1929,NA,30800,863000,28,NA,NA,NA,NA,NA,NA,NA,10900,NA,122000,11.2,NA,NA
"adams","001","SOUTH CENTRAL",1930,NA,32300,428000,13.3,NA,NA,NA,NA,NA,NA,NA,12700,NA,174000,13.7,NA,NA
"adams","001","SOUTH CENTRAL",1931,NA,40200,1464000,36.4,NA,NA,NA,NA,NA,NA,NA,15000,NA,365000,24.3,NA,NA
"adams","001","SOUTH CENTRAL",1932,NA,33400,790000,23.7,NA,NA,NA,NA,NA,NA,NA,13600,NA,134000,9.9,NA,NA
"adams","001","SOUTH CENTRAL",1933,NA,32600,982000,30.1,NA,NA,NA,NA,NA,NA,NA,14100,NA,174000,12.3,NA,NA
"adams","001","SOUTH CENTRAL",1934,NA,33000,857000,26,NA,NA,NA,NA,NA,NA,NA,15000,NA,189000,12.6,NA,NA
"adams","001","SOUTH CENTRAL",1935,NA,39400,1173000,29.8,NA,NA,NA,NA,NA,NA,NA,15500,NA,144000,9.3,NA,NA
"adams","001","SOUTH CENTRAL",1936,NA,37200,793000,21.3,NA,NA,NA,NA,NA,NA,NA,16500,NA,210000,12.7,NA,NA
"adams","001","SOUTH CENTRAL",1937,NA,31600,1016000,32.2,NA,NA,NA,NA,NA,NA,NA,16600,NA,263000,15.8,NA,NA
"adams","001","SOUTH CENTRAL",1938,NA,28800,994000,34.5,NA,NA,NA,NA,NA,NA,NA,19800,NA,298000,15.1,NA,NA
"adams","001","SOUTH CENTRAL",1939,NA,28500,952000,33.4,NA,NA,NA,NA,NA,NA,NA,13700,NA,134000,9.8,NA,NA
"adams","001","SOUTH CENTRAL",1940,NA,28400,676000,23.8,NA,NA,NA,200,NA,2000,10,13500,NA,173000,12.8,NA,NA
"adams","001","SOUTH CENTRAL",1941,NA,30500,1154000,37.8,NA,NA,NA,600,NA,11000,18.3,13500,NA,231000,17.1,NA,NA
"adams","001","SOUTH CENTRAL",1942,NA,31700,1279000,40.3,NA,NA,NA,1000,NA,18000,18,13900,NA,171000,12.3,NA,NA
"adams","001","SOUTH CENTRAL",1943,NA,32700,1228000,37.6,NA,NA,NA,400,NA,7000,17.5,13400,NA,130000,9.7,NA,NA
"adams","001","SOUTH CENTRAL",1944,NA,32800,957000,29.2,NA,NA,NA,300,NA,4000,13.3,15600,NA,234000,15,NA,NA
"adams","001","SOUTH CENTRAL",1945,NA,29100,1305000,44.8,NA,NA,NA,300,NA,5000,16.7,15800,NA,264000,16.7,NA,NA
"adams","001","SOUTH CENTRAL",1946,NA,31300,1432000,45.8,NA,NA,NA,300,NA,6000,20,15200,NA,248000,16.3,NA,NA
"adams","001","SOUTH CENTRAL",1947,NA,28800,1216000,42.2,NA,NA,NA,1000,NA,20000,20,17500,NA,278000,15.9,NA,NA
"adams","001","SOUTH CENTRAL",1948,NA,31200,1495000,47.9,NA,NA,NA,900,NA,15000,16.7,17400,NA,301000,17.3,NA,NA
"adams","001","SOUTH CENTRAL",1949,NA,28700,1241000,43.2,NA,NA,NA,1100,NA,18000,16.4,18600,NA,332000,17.8,NA,NA
"adams","001","SOUTH CENTRAL",1950,NA,27300,1108000,40.6,NA,NA,NA,1100,NA,22000,20,16700,NA,250000,15,NA,NA
"adams","001","SOUTH CENTRAL",1951,NA,33900,1440000,42.5,NA,NA,NA,500,NA,9000,18,14000,NA,175000,12.5,NA,NA
"adams","001","SOUTH CENTRAL",1952,NA,33300,1547000,46.5,NA,NA,NA,500,NA,10000,20,14400,NA,271000,18.8,NA,NA
"adams","001","SOUTH CENTRAL",1953,NA,31200,1457000,46.7,NA,NA,NA,600,NA,9000,15,15700,NA,314000,20,NA,NA
"adams","001","SOUTH CENTRAL",1954,NA,32500,1625000,50,NA,NA,NA,300,NA,6000,20,14100,NA,315000,22.3,NA,NA
"adams","001","SOUTH CENTRAL",1955,NA,30800,1448000,47,NA,NA,NA,300,NA,7000,23.3,12300,NA,246000,20,NA,NA
"adams","001","SOUTH CENTRAL",1956,NA,29300,1699000,58,NA,NA,NA,400,NA,8000,20,12400,NA,248000,20,NA,NA
"adams","001","SOUTH CENTRAL",1957,NA,25000,1150000,46,NA,NA,NA,300,NA,6000,20,10000,NA,2e+05,20,NA,NA
"adams","001","SOUTH CENTRAL",1958,NA,25100,1406000,56,NA,NA,NA,400,NA,8000,20,8600,NA,189000,22,NA,NA
"adams","001","SOUTH CENTRAL",1959,NA,29000,1711000,59,NA,NA,NA,500,NA,11000,22,6000,NA,78000,13,NA,NA
"adams","001","SOUTH CENTRAL",1960,NA,27100,1572000,58,NA,NA,NA,1000,NA,20000,20,9500,NA,218500,23,NA,NA
