year,county_code,county_name,asd_desc,acres,farms,operations_head,operations_with_rent,rent_expense,rent_irrigated,rent_nonirrigated,rent_pasture,acres_part_owned,acres_part_rented,cropland_acres,pasture_acres,woodland_acres,woodland_pastured_acres,acres_owned,acres_part,acres_tenant_rented,owned_acres,rented_acres,rent_irrigated_impute,rent_nonirrigated_impute,rent_pasture_impute,taxes,taxes_operations,net_cash_operations,net_cash_total,receipt_operations,receipts,agland,agland_operations,agland_per_acre,agland_per_operation,fips
1970,001,ADAMS,SOUTH CENTRAL,293000,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39001
1970,003,ALLEN,NORTHWEST,224000,1690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39003
1970,005,ASHLAND,NORTH CENTRAL,210000,1560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39005
1970,007,ASHTABULA,NORTHEAST,194000,1530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39007
1970,009,ATHENS,SOUTHEAST,107000,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39009
1970,011,AUGLAIZE,WEST CENTRAL,263000,1880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39011
1970,013,BELMONT,EAST CENTRAL,144000,970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39013
1970,015,BROWN,SOUTH CENTRAL,279000,2430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39015
1970,017,BUTLER,SOUTHWEST,201000,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39017
1970,019,CARROLL,EAST CENTRAL,140000,920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39019
