"year","corn_acres_planted_jun_acreage","corn_acres_planted_mar_acreage","corn_grain_acres_harvest_aug_forecast","corn_grain_acres_harvest_jun_acreage","corn_grain_acres_harvest_nov_forecast","corn_grain_acres_harvest_oct_forecast","corn_grain_acres_harvest_sep_forecast","corn_grain_prod_bu_aug_forecast","corn_grain_prod_bu_nov_forecast","corn_grain_prod_bu_oct_forecast","corn_grain_prod_bu_sep_forecast","corn_grain_yield_aug_forecast","corn_grain_yield_nov_forecast","corn_grain_yield_oct_forecast","corn_grain_yield_sep_forecast","soy_acres_harvest_aug_forecast","soy_acres_harvest_jun_acreage","soy_acres_harvest_nov_forecast","soy_acres_harvest_oct_forecast","soy_acres_harvest_sep_forecast","soy_acres_planted_jun_acreage","soy_acres_planted_mar_acreage","soy_prod_bu_aug_forecast","soy_prod_bu_nov_forecast","soy_prod_bu_oct_forecast","soy_prod_bu_sep_forecast","soy_yield_aug_forecast","soy_yield_nov_forecast","soy_yield_oct_forecast","soy_yield_sep_forecast","wheat_acres_harvest_aug_forecast","wheat_acres_harvest_jul_forecast","wheat_acres_harvest_jun_acreage","wheat_acres_harvest_jun_forecast","wheat_acres_harvest_may_forecast","wheat_acres_planted_dec_acreage","wheat_acres_planted_jun_acreage","wheat_acres_planted_mar_acreage","wheat_prod_bu_aug_forecast","wheat_prod_bu_jul_forecast","wheat_prod_bu_jun_forecast","wheat_prod_bu_may_forecast","wheat_yield_aug_forecast","wheat_yield_jul_forecast","wheat_yield_jun_forecast","wheat_yield_may_forecast","wheat_yield_sep_forecast"
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,115,115,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,95,95,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,117,114,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,37,37,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,83,85,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,31,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,115,110,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,36,36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,128,128,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,42,40,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,128,128,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,42,41,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,123,123,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,39,39,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,76,74,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,28,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,118,115,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
