year,corn_price,hay_alfa_price,hay_nonalfa_price,hay_price,soy_price,wheat_price,wheat_winter_price
1940,NA,NA,NA,NA,0.91,NA,NA
1941,NA,NA,NA,NA,1.55,NA,NA
1942,NA,NA,NA,NA,1.61,NA,NA
1943,NA,NA,NA,NA,1.8,NA,NA
1944,NA,NA,NA,NA,2.04,NA,NA
1945,NA,NA,NA,NA,2.06,NA,NA
1946,NA,NA,NA,NA,2.48,NA,NA
1947,NA,NA,NA,NA,3.38,NA,NA
1948,NA,NA,NA,NA,2.3,NA,NA
1949,1.25,NA,NA,22.4,2.16,1.8,1.8
1950,1.62,NA,NA,23.8,2.55,2.02,2.02
1951,1.74,NA,NA,24.4,2.77,2.21,2.21
1952,1.5,NA,NA,26.7,2.71,2.02,2.02
1953,1.46,NA,NA,27.2,2.8,1.98,1.98
1954,1.35,NA,NA,24.8,2.47,2.04,2.04
1955,1.31,NA,NA,20.1,2.28,1.92,1.92
1956,1.28,NA,NA,21,2.2,1.99,1.99
1957,1.19,NA,NA,21.1,2.1,1.96,1.96
1958,1.11,NA,NA,21.9,2.02,1.61,1.61
1959,1.06,NA,NA,21.9,1.97,1.75,1.75
1960,1.01,NA,NA,21.9,2.18,1.68,1.68
1961,1.08,NA,NA,21.8,2.25,1.77,1.77
1962,1.11,NA,NA,26.2,2.33,1.97,1.97
1963,1.13,NA,NA,28,2.54,1.73,1.73
1964,1.17,NA,NA,25,2.66,1.32,1.32
1965,1.17,NA,NA,26.1,2.59,1.38,1.38
1966,1.26,NA,NA,25,2.76,1.7,1.7
1967,1.01,NA,NA,26.5,2.52,1.31,1.31
1968,1.07,NA,NA,24.5,2.4,1.14,1.14
1969,1.18,NA,NA,24.5,2.36,1.19,1.19
1970,1.36,NA,NA,24.5,2.84,1.41,1.41
1971,1.06,NA,NA,25.5,3.08,1.36,1.36
1972,1.57,NA,NA,30,4.32,1.6,1.6
1973,2.61,NA,NA,37,5.71,3.79,3.79
1974,3.02,NA,NA,45,6.73,3.94,3.94
1975,2.5,NA,NA,52.5,5,3.27,3.27
1976,2.1,NA,NA,55,6.99,2.88,2.88
1977,2.01,NA,NA,56,5.82,2.19,2.19
1978,2.28,NA,NA,52.5,6.79,3.22,3.22
1979,2.61,NA,NA,50,6.33,4.08,4.08
1980,3.13,NA,NA,58.5,7.69,4.07,4.07
1981,2.48,NA,NA,85.5,6.19,3.55,3.55
1982,2.53,NA,NA,89,5.68,3.15,3.15
1983,3.28,NA,NA,90,7.91,3.35,3.35
1984,2.59,NA,NA,74.5,5.88,3.31,3.31
1985,2.21,NA,NA,55,5.1,2.98,2.98
1986,1.5,NA,NA,64.5,4.86,2.39,2.39
1987,1.95,NA,NA,79.5,5.94,2.61,2.61
1988,2.61,NA,NA,117,7.54,3.73,3.73
1989,2.49,131,78.5,120,5.73,3.74,3.74
1990,2.32,111,63,99.5,5.81,2.7,2.7
1991,2.48,129,75.5,117,5.69,2.93,2.93
1992,2.06,117,64,103,5.65,3.06,3.06
1993,2.57,111,56.5,92.5,6.42,2.93,2.93
1994,2.23,104,58.5,84.5,5.51,3.07,3.07
1995,3.32,96.5,54,78,6.7,3.96,3.96
1996,2.75,161,90.5,132,7.42,3.94,3.94
1997,2.48,163,87,135,6.49,3.16,3.16
1998,2.03,115,66,98,4.99,2.26,2.26
1999,1.89,120,75,102,4.72,2.01,2.01
2000,1.9,113,58,90,4.63,2.02,2.02
2001,2,122,53.5,87,4.46,2.46,2.46
2002,2.48,147,73.5,113,5.59,3.16,3.16
2003,2.45,148,66.5,121,7.2,3.2,3.2
2004,2.04,125,60,101,5.74,3.16,3.16
2005,1.98,130,69,106,5.74,3.16,3.16
2006,3.08,125,72,105,6.46,3.35,3.35
2007,4.29,165,109,136,9.93,5.37,5.37
2008,4.21,210,95,143,10.3,5.82,5.82
2009,3.55,153,91,117,9.78,4.41,4.41
2010,5.45,160,77,112,11.5,5.21,5.21
2011,6.44,183,94,133,13,6.73,6.73
2012,7.09,231,162,193,14.6,7.94,7.94
2013,4.41,194,151,171,13,6.54,6.54
2014,3.78,175,114,139,10.3,5.6,5.6
2015,3.89,158,134,143,9.16,4.57,4.57
2016,3.61,172,110,137,9.66,4.25,4.25
2017,3.61,175,115,138,9.62,4.9,4.9
2018,3.74,183,123,145,8.69,5.08,5.08
2019,3.91,209,140,165,9.04,5.22,5.22
2020,NA,NA,NA,NA,NA,NA,NA
