"year","asd_desc","corn_acres_planted","corn_grain_acres_harvest","corn_silage_acres_harvest","corn_grain_prod_bu","corn_silage_prod_tons","corn_grain_yield","corn_silage_yield","soy_acres_harvest","soy_acres_planted","soy_prod_bu","soy_yield","wheat_acres_harvest","wheat_acres_planted","wheat_prod_bu","wheat_yield"
1866,"",NA,2500000,NA,92500000,NA,37,NA,NA,NA,NA,NA,1500000,NA,9e+06,6
1867,"",NA,2400000,NA,7.2e+07,NA,30,NA,NA,NA,NA,NA,1400000,NA,24500000,17.5
1868,"",NA,2350000,NA,82250000,NA,35,NA,NA,NA,NA,NA,1500000,NA,22500000,15
1869,"",NA,2450000,NA,73500000,NA,30,NA,NA,NA,NA,NA,1750000,NA,2.8e+07,16
1870,"",NA,2600000,NA,101400000,NA,39,NA,NA,NA,NA,NA,1725000,NA,22425000,13
1871,"",NA,2850000,NA,111150000,NA,39,NA,NA,NA,NA,NA,1700000,NA,25500000,15
1872,"",NA,2800000,NA,1.12e+08,NA,40,NA,NA,NA,NA,NA,1800000,NA,21600000,12
1873,"",NA,2750000,NA,96250000,NA,35,NA,NA,NA,NA,NA,1900000,NA,26600000,14
1874,"",NA,2900000,NA,107300000,NA,37,NA,NA,NA,NA,NA,2050000,NA,32800000,16
1875,"",NA,3250000,NA,112125000,NA,34.5,NA,NA,NA,NA,NA,2150000,NA,20425000,9.5
1876,"",NA,3500000,NA,131250000,NA,37.5,NA,NA,NA,NA,NA,1700000,NA,21250000,12.5
1877,"",NA,3425000,NA,111312000,NA,32.5,NA,NA,NA,NA,NA,1900000,NA,30400000,16
1878,"",NA,3450000,NA,124200000,NA,36,NA,NA,NA,NA,NA,2350000,NA,43475000,18.5
1879,"",NA,3282000,NA,111916000,NA,34.1,NA,NA,NA,NA,NA,2556000,NA,46008000,18
1880,"",NA,3150000,NA,122850000,NA,39,NA,NA,NA,NA,NA,3e+06,NA,5.7e+07,19
1881,"",NA,3050000,NA,94550000,NA,31,NA,NA,NA,NA,NA,3050000,NA,45750000,15
1882,"",NA,3100000,NA,105400000,NA,34,NA,NA,NA,NA,NA,3e+06,NA,5.4e+07,18
1883,"",NA,3050000,NA,79300000,NA,26,NA,NA,NA,NA,NA,2950000,NA,29500000,10
1884,"",NA,3075000,NA,101475000,NA,33,NA,NA,NA,NA,NA,2900000,NA,44950000,15.5
1885,"",NA,3275000,NA,127725000,NA,39,NA,NA,NA,NA,NA,2750000,NA,27500000,10
1886,"",NA,3175000,NA,107950000,NA,34,NA,NA,NA,NA,NA,3050000,NA,51850000,17
1887,"",NA,3200000,NA,99200000,NA,31,NA,NA,NA,NA,NA,3050000,NA,44225000,14.5
1888,"",NA,3450000,NA,132825000,NA,38.5,NA,NA,NA,NA,NA,2500000,NA,26250000,10.5
1889,"",NA,3350000,NA,119595000,NA,35.7,NA,NA,NA,NA,NA,2400000,NA,37680000,15.7
1890,"",NA,3300000,NA,82500000,NA,25,NA,NA,NA,NA,NA,2500000,NA,36250000,14.5
1891,"",NA,3350000,NA,125625000,NA,37.5,NA,NA,NA,NA,NA,2850000,NA,52725000,18.5
1892,"",NA,3300000,NA,102300000,NA,31,NA,NA,NA,NA,NA,3050000,NA,48800000,16
1893,"",NA,3450000,NA,100050000,NA,29,NA,NA,NA,NA,NA,2700000,NA,48600000,18
1894,"",NA,3600000,NA,109800000,NA,30.5,NA,NA,NA,NA,NA,2600000,NA,50700000,19.5
1895,"",NA,3775000,NA,126462000,NA,33.5,NA,NA,NA,NA,NA,2650000,NA,34450000,13
1896,"",NA,4e+06,NA,1.68e+08,NA,42,NA,NA,NA,NA,NA,2750000,NA,26125000,9.5
1897,"",NA,3800000,NA,1.33e+08,NA,35,NA,NA,NA,NA,NA,2500000,NA,4.5e+07,18
1898,"",NA,3900000,NA,1.56e+08,NA,40,NA,NA,NA,NA,NA,2850000,NA,48450000,17
1899,"",NA,3860000,NA,153242000,NA,39.7,NA,NA,NA,NA,NA,3209000,NA,50381000,15.7
1900,"",NA,4e+06,NA,1.7e+08,NA,42.5,NA,NA,NA,NA,NA,2500000,NA,1.5e+07,6
1901,"",NA,3875000,NA,116250000,NA,30,NA,NA,NA,NA,NA,2350000,NA,38775000,16.5
1902,"",NA,4e+06,NA,1.6e+08,NA,40,NA,NA,NA,NA,NA,2250000,NA,42750000,19
1903,"",NA,3900000,NA,126750000,NA,32.5,NA,NA,NA,NA,NA,2250000,NA,3.6e+07,16
1904,"",NA,3975000,NA,141112000,NA,35.5,NA,NA,NA,NA,NA,1900000,NA,24700000,13
1905,"",NA,3750000,NA,148125000,NA,39.5,NA,NA,NA,NA,NA,2100000,NA,38850000,18.5
1906,"",NA,3900000,NA,167700000,NA,43,NA,NA,NA,NA,NA,2250000,NA,46125000,20.5
1907,"",NA,3800000,NA,136800000,NA,36,NA,NA,NA,NA,NA,2200000,NA,37400000,17
1908,"",NA,3750000,NA,144375000,NA,38.5,NA,NA,NA,NA,NA,2e+06,NA,3.4e+07,17
1909,"",NA,4030000,NA,162006000,NA,40.2,NA,NA,NA,NA,NA,1828000,2031000,30710000,16.8
1910,"",NA,3925000,NA,143262000,NA,36.5,NA,NA,NA,NA,NA,2125000,2251000,3.4e+07,16
1911,"",NA,3900000,NA,154050000,NA,39.5,NA,NA,NA,NA,NA,2150000,2221000,33325000,15.5
1912,"",NA,3950000,NA,163925000,NA,41.5,NA,NA,NA,NA,NA,1400000,2555000,10500000,7.5
1913,"",NA,3850000,NA,144375000,NA,37.5,NA,NA,NA,NA,NA,1875000,1939000,33750000,18
1914,"",NA,3725000,NA,145275000,NA,39,NA,NA,NA,NA,NA,1975000,2001000,36538000,18.5
1915,"",NA,3800000,NA,153900000,NA,40.5,NA,NA,NA,NA,NA,2075000,2113000,40462000,19.5
1916,"",NA,3900000,NA,122850000,NA,31.5,NA,NA,NA,NA,NA,1800000,2195000,24300000,13.5
1917,"",NA,4200000,NA,155400000,NA,37,NA,NA,NA,NA,NA,2050000,2135000,4.1e+07,20
1918,"",NA,3875000,NA,139500000,NA,36,NA,NA,NA,NA,NA,2550000,2668000,47213000,18.5
1919,"",NA,3475000,224000,144212000,1904000,41.5,8.5,NA,NA,NA,NA,2922000,2925000,58135000,19.9
1920,"",NA,3341000,227000,133640000,1839000,40,8.1,NA,NA,NA,NA,2393000,2713000,31216000,13
1921,"",NA,3178000,201000,125531000,1668000,39.5,8.3,NA,NA,NA,NA,2127000,2170000,26606000,12.5
1922,"",NA,2857000,208000,105709000,1664000,37,8,NA,NA,NA,NA,2106000,2149000,31602000,15
1923,"",NA,3092000,234000,123680000,2012000,40,8.6,NA,NA,NA,NA,2062000,2355000,39188000,19
1924,"",NA,2749000,251000,75598000,1506000,27.5,6,20000,66000,230000,11.5,1857000,2063000,34372000,18.5
1925,"",NA,3251000,185000,152797000,1610000,47,8.7,17000,57000,238000,14,1599000,2075000,24025000,15
1926,"",3596000,3104000,201000,124160000,1588000,40,7.9,18000,61000,207000,11.5,1730000,1783000,38937000,22.5
1927,"",3344000,2849000,207000,96866000,1594000,34,7.7,21000,72000,304000,14.5,1579000,1627000,28422000,18
1928,"",3612000,3071000,180000,113627000,1440000,37,8,24000,84000,360000,15,856000,2342000,9984000,11.7
1929,"",3490000,2911000,180000,102176000,1386000,35.1,7.7,23000,92000,347000,15.1,1564000,1625000,30503000,19.5
1930,"",3560000,3002000,242000,82555000,1307000,27.5,5.4,31000,112000,434000,14,1661000,1952000,29095000,17.5
1931,"",3738000,3402000,130000,153090000,1235000,45,9.5,47000,157000,940000,20,1861000,1879000,53825000,28.9
1932,"",3701000,3383000,125000,125171000,1062000,37,8.5,34000,156000,527000,15.5,1748000,1765000,34911000,20
1933,"",3705000,3402000,121000,119070000,823000,35,6.8,33000,148000,528000,16,2089000,2121000,37586000,18
1934,"",3334000,3035000,116000,99852000,928000,32.9,8,41000,203000,697000,17,1994000,2045000,36467000,18.3
1935,"",3675000,3423000,106000,150612000,1060000,44,10,124000,355000,2604000,21,2131000,2152000,46872000,22
1936,"",3712000,3409000,165000,112497000,1238000,33,7.5,132000,330000,2046000,15.5,2175000,2313000,40240000,18.5
1937,"",3854000,3531000,152000,151833000,1292000,43,8.5,171000,380000,3249000,19,2430000,2544000,46116000,19
1938,"",3586000,3350000,138000,147400000,1311000,44,9.5,281000,480000,5901000,21,2379000,2414000,46384000,19.5
1939,"",3453000,3236000,127000,160182000,1283000,49.5,10.1,5e+05,864000,10550000,21.1,1904000,2036000,38080000,20
1940,"",3220000,2962000,159000,112556000,1272000,38,8,561000,1020000,8976000,16,1921000,1953000,42262000,22
1941,"",3227000,3056000,113000,151272000,1107000,49.5,9.8,656000,898000,13120000,20,1902000,1953000,47553000,25
1942,"",3259000,3054000,114000,171024000,1174000,56,10.3,1051000,1365000,23648000,22.5,1655000,1704000,34756000,21
1943,"",3472000,3186000,120000,162486000,1080000,51,9,1213000,1379000,25473000,21,1523000,1602000,25129000,16.5
1944,"",3666000,3425000,135000,138370000,1012000,40.4,7.5,1243000,1393000,21877000,17.6,1918000,1937000,43539000,22.7
1945,"",3483000,3295000,111000,166398000,999000,50.5,9,1077000,1184000,19386000,18,2129000,2150000,57483000,27
1946,"",3671000,3405000,127000,166845000,1080000,49,8.5,903000,971000,16254000,18,1831000,1849000,48522000,26.5
1947,"",3414000,3098000,183000,127018000,1372000,41,7.5,950000,1e+06,17575000,18.5,2179000,2212000,49028000,22.5
1948,"",3701000,3470000,148000,202995000,1436000,58.5,9.7,908000,940000,18614000,20.5,2353000,2377000,57648000,24.5
1949,"",3627000,3400000,141000,183600000,1410000,54,10,875000,936000,2.1e+07,24,2353000,2377000,58825000,25
1950,"",3384000,3155000,135000,164060000,1282000,52,9.5,1090000,1136000,24525000,22.5,2118000,2172000,46596000,22
1951,"",3546000,3334000,127000,160032000,1206000,48,9.5,1124000,1159000,21356000,19,1906000,2085000,34308000,18
1952,"",3581000,3382000,128000,179246000,1229000,53,9.6,940000,985000,20680000,22,2249000,2273000,55100000,24.5
1953,"",3545000,3358000,127000,184690000,1206000,55,9.5,1007000,1034000,20644000,20.5,2384000,2409000,67944000,28.5
1954,"",3715000,3530000,141000,215330000,1396000,61,9.9,1122000,1148000,28050000,25,1740000,1759000,46980000,27
1955,"",3715000,3556000,115000,209804000,1127000,59,9.8,1193000,1217000,29228000,24.5,1496000,1513000,43384000,29
1956,"",3566000,3347000,134000,200820000,1273000,60,9.5,1301000,1339000,31224000,24,1496000,1589000,38896000,26
1957,"",3245000,3014000,157000,162756000,1460000,54,9.3,1404000,1426000,32292000,23,1436000,1510000,31592000,22
1958,"",3245000,2998000,176000,179880000,1778000,60,10.1,1429000,1455000,37154000,26,1436000,1495000,44516000,31
1959,"",3699000,3514000,151000,219625000,1676000,62.5,11.1,1455000,1470000,36375000,25,1264000,1495000,30968000,24.5
1960,"",3588000,3383000,172000,230044000,1978000,68,11.5,1499000,1514000,36726000,24.5,1428000,1465000,49980000,35
1961,"",2727000,2537000,170000,187738000,2125000,74,12.5,1722000,1741000,48216000,28,1457000,1494000,45167000,31
1962,"",2972000,2726000,218000,207176000,2725000,76,12.5,1756000,1776000,43900000,25,1238000,1330000,39616000,32
1963,"",3210000,2966000,221000,231348000,2696000,78,12.2,1738000,1758000,40843000,23.5,1461000,1490000,55518000,38
1964,"",3338000,3085000,223000,200525000,2788000,65,12.5,1825000,1846000,41062000,22.5,1446000,1490000,46272000,32
1965,"",3308000,3054000,228000,225996000,2690000,74,11.8,2044000,2066000,50078000,24.5,1258000,1356000,40256000,32
1966,"",3338000,3115000,203000,261660000,2761000,84,13.6,2105000,2118000,59992000,28.5,1183000,1220000,46137000,39
1967,"",3527000,3240000,262000,255960000,3327000,79,12.7,2231000,2256000,50198000,22.5,1514000,1549000,51476000,34
1968,"",3112000,2884000,202000,248024000,2868000,86,14.2,2325000,2340000,70913000,30.5,1196000,1239000,44850000,37.5
1969,"",3043000,2773000,231000,241251000,3350000,87,14.5,2475000,2510000,73013000,29.5,1017000,1053000,38646000,38
1970,"",3265000,3040000,202000,240160000,2666000,79,13.2,2550000,2570000,72675000,28.5,925000,948000,35150000,38
1971,"",3787000,3545000,223000,322595000,3278000,91,14.7,2634000,2647000,80337000,30.5,944000,967000,41536000,44
1972,"",3333000,3090000,186000,284280000,2604000,92,14,3010000,3070000,79765000,26.5,1029000,1064000,46305000,45
1973,"",3300000,3040000,220000,243200000,2640000,80,12,3590000,3620000,91545000,25.5,8e+05,840000,25600000,32
1974,"",3850000,3540000,270000,265500000,3240000,75,12,3140000,3180000,81640000,26,1450000,1490000,59450000,41
1975,"",3600000,3340000,225000,310620000,3150000,93,14,3100000,3120000,102300000,33,1680000,1725000,70560000,42
1976,"",4100000,3820000,250000,393460000,3625000,103,14.5,2880000,2900000,95040000,33,1600000,1700000,6.4e+07,40
1977,"",3900000,3620000,242000,380100000,3388000,105,14,3480000,3500000,121800000,35,1540000,1580000,72380000,47
1978,"",3870000,3610000,232000,379050000,3480000,105,15,3870000,3900000,127710000,33,1080000,1150000,42120000,39
1979,"",3850000,3630000,192000,417450000,2880000,115,15,4080000,4100000,144840000,35.5,1320000,1350000,63360000,48
1980,"",4150000,3900000,215000,440700000,3118000,113,14.5,3760000,3800000,135360000,36,1370000,1400000,67130000,49
1981,"",4100000,3750000,285000,3.6e+08,3990000,96,14,3450000,3500000,98325000,28.5,1600000,1640000,70400000,44
1982,"",4280000,4e+06,250000,4.56e+08,4e+06,114,16,3700000,3750000,133200000,36,1200000,1430000,51600000,43
1983,"",3080000,2800000,250000,2.24e+08,3375000,80,13.5,3280000,3300000,104960000,32,1200000,1300000,58800000,49
1984,"",4150000,3900000,220000,460200000,3520000,118,16,3770000,3800000,137605000,36.5,1100000,1240000,48400000,44
1985,"",4250000,4030000,2e+05,511810000,3400000,127,17,3870000,3900000,160605000,41.5,950000,1e+06,58900000,62
1986,"",3900000,3720000,160000,476160000,2720000,128,17,3620000,3650000,146610000,40.5,1050000,1150000,48300000,46
1987,"",3300000,3100000,160000,3.72e+08,2560000,120,16,3900000,3950000,144300000,37,850000,9e+05,49300000,58
1988,"",3300000,3e+06,250000,2.55e+08,2625000,85,10.5,3700000,3900000,99900000,27,920000,1e+06,4.6e+07,50
1989,"",3250000,2980000,240000,348660000,3360000,117,14,3980000,4e+06,125370000,31.5,1230000,1260000,62730000,51
1990,"",3700000,3450000,180000,417450000,2880000,121,16,3480000,3500000,135720000,39,1270000,1300000,76200000,60
1991,"",3700000,3400000,210000,326400000,2730000,96,13,3770000,3800000,135720000,36,1080000,1150000,52920000,49
1992,"",3800000,3550000,180000,507650000,3600000,143,20,3680000,3750000,147200000,40,1115000,1230000,59095000,53
1993,"",3500000,3280000,170000,360800000,2295000,110,13.5,4110000,4150000,156180000,38,1010000,1050000,52520000,52
1994,"",3700000,3500000,170000,486500000,3060000,139,18,3990000,4e+06,173565000,43.5,1180000,1200000,68440000,58
1995,"",3300000,3100000,160000,375100000,2480000,121,15.5,4030000,4050000,153140000,38,1210000,1230000,73810000,61
1996,"",3e+06,2800000,160000,310800000,2320000,111,14.5,4490000,4500000,157150000,35,1330000,1400000,51870000,39
1997,"",3800000,3550000,190000,475700000,3420000,134,18,4340000,4350000,190960000,44,1090000,1180000,68670000,63
1998,"",3550000,3340000,180000,470940000,3060000,141,17,4390000,4400000,193160000,44,1160000,1200000,74240000,64
1999,"",3450000,3200000,170000,403200000,2550000,126,15,4500000,4600000,1.62e+08,36,1030000,1050000,72100000,70
2000,"",3550000,3300000,180000,485100000,2880000,147,16,4440000,4450000,186480000,42,1110000,1120000,79920000,72
2001,"",3400000,3170000,170000,437460000,2890000,138,17,4580000,4600000,187780000,41,9e+05,950000,60300000,67
2002,"",3250000,2970000,250000,264330000,2500000,89,10,4720000,4750000,151040000,32,810000,860000,50220000,62
2003,"",3300000,3070000,170000,478920000,3230000,156,19,4280000,4300000,164780000,38.5,1e+06,1060000,6.8e+07,68
2004,"",3350000,3110000,190000,491380000,3230000,158,17,4420000,4450000,207740000,47,890000,920000,55180000,62
2005,"",3450000,3250000,160000,464750000,2720000,143,17,4480000,4500000,201600000,45,830000,860000,58930000,71
2006,"",3150000,2960000,150000,470640000,2550000,159,17,4620000,4650000,217140000,47,960000,990000,65280000,68
2007,"",3850000,3610000,180000,541500000,3060000,150,17,4240000,4250000,199280000,47,730000,820000,44530000,61
2008,"",3300000,3120000,140000,408720000,2380000,131,17,4480000,4500000,161280000,36,1090000,1120000,73030000,67
2009,"",3350000,3140000,170000,536940000,3400000,171,20,4530000,4550000,221970000,49,950000,980000,67450000,71
2010,"",3450000,3270000,140000,523200000,2380000,160,17,4590000,4600000,220320000,48,7e+05,720000,42700000,61
2011,"",3400000,3200000,140000,489600000,2520000,153,18,4540000,4550000,217920000,48,850000,880000,48450000,57
2012,"",3900000,3650000,2e+05,4.38e+08,3e+06,120,15,4590000,4600000,206550000,45,450000,5e+05,30600000,68
2013,"",3900000,3740000,120000,650760000,2340000,174,19.5,4490000,4500000,222255000,49.5,640000,660000,44800000,70
2014,"",3700000,3480000,180000,612480000,3690000,176,20.5,4690000,4700000,246225000,52.5,545000,620000,40330000,74
2015,"",3550000,3260000,240000,498780000,4800000,153,20,4740000,4750000,2.37e+08,50,480000,520000,32160000,67
2016,"",3550000,3300000,210000,524700000,3255000,159,15.5,4840000,4850000,263780000,54.5,560000,580000,44800000,80
2017,"",3400000,3150000,210000,557550000,4200000,177,20,5090000,5100000,251955000,49.5,460000,490000,34040000,74
2018,"",3500000,3300000,160000,617100000,3200000,187,20,5020000,5050000,281120000,56,450000,490000,33750000,75
2019,"",2800000,2590000,NA,422170000,NA,163,NA,4270000,4300000,204960000,48,385000,5e+05,21560000,56
