year,crop,level,production,total_cost_acre,total_cost_bushel,rent,management,total_less_land,new_base,intermediate_production,new_add
2020,corn,l1_low,136,660.57,4.85,145,25.2,490.37,515.09,132.2,1.42
2020,soy,l1_low,41,471.17,11.45,145,18.44,307.73,328.63,39.6,0.91
2020,wheat,l1_low,60,429.69,8.55,145,14.45,270.24,304.97,59,1.30
2020,corn,l2_med,170,758.28,4.46,187,31.49,539.79,561.88,165.2,1.18
2020,soy,l2_med,52,527.94,10.25,187,23.05,317.89,337.88,49.8,0.93
2020,wheat,l2_med,75,494.11,7.57,187,18.07,289.04,324.44,74,1.37
2020,corn,l3_high,204,854.02,4.18,235,37.78,581.24,600.97,198.4,1.08
2020,soy,l3_high,62,590.17,9.55,235,27.66,327.51,347.03,59.6,0.61
2020,wheat,l3_high,90,564.54,7.04,235,21.7,307.84,343.91,88.2,1.00
2019,corn,l1_low,136,652.91,4.79,145,25.31,482.6,528.08,130.6,1.43
2019,soy,l1_low,41,461.4,11.2,145,17.69,298.71,334.32,38.8,0.95
2019,wheat,l1_low,60,422.05,8.38,145,12.79,264.26,314.42,58.6,1.42
2019,corn,l2_med,170,752.79,4.42,187,31.63,534.16,574.86,163.2,1.20
2019,soy,l2_med,52,517.98,10.06,187,22.11,308.87,343.80,48.8,0.99
2019,wheat,l2_med,75,487.79,7.46,187,16,284.79,335.38,73.4,1.48
2019,corn,l3_high,204,850.7,4.17,235,37.95,577.75,614.19,196,1.19
2019,soy,l3_high,62,580.57,9.39,235,26.53,319.04,353.30,58.4,0.70
2019,wheat,l3_high,89,559.53,6.96,235,19.21,305.32,356.35,87.6,0.98
2018,corn,l1_low,133,660.6,4.96,150,26.66,483.94,534.21,129,1.44
2018,soy,l1_low,40,467.84,11.64,150,20.1,297.74,339.15,38.2,1.10
2018,wheat,l1_low,60,428.43,8.56,150,15.5,262.93,327.10,57.8,1.56
2018,corn,l2_med,167,759.84,4.56,192,33.32,534.52,580.51,161.2,1.18
2018,soy,l2_med,50,525.07,10.46,192,25.1,307.97,350.42,48.4,1.07
2018,wheat,l2_med,75,494.39,7.6,192,19.37,283.02,349.84,72.4,1.56
2018,corn,l3_high,200,857.37,4.29,240,39.98,577.39,619.76,194.4,1.27
2018,soy,l3_high,60,588.3,9.77,240,30.1,318.2,361.07,58.4,1.04
2018,wheat,l3_high,89,566.36,7.09,240,23.24,303.12,371.93,86.6,1.48
2017,corn,l1_low,131,691.56,5.28,141,25.51,525.05,534.21,127.2,1.44
2017,soy,l1_low,40,507.79,12.76,141,20.31,346.48,339.15,37.4,1.06
2017,wheat,l1_low,59,476.12,9.73,141,12.39,322.73,327.10,56.4,1.56
2017,corn,l2_med,164,786.41,4.8,187,31.49,567.92,580.51,159.4,1.15
2017,soy,l2_med,50,566.01,11.37,187,25.01,354,350.42,48,1.02
2017,wheat,l2_med,74,540.44,8.46,187,15.48,337.96,349.84,71,1.53
2017,corn,l3_high,197,881.21,4.48,239,37.48,604.73,619.76,193.4,1.42
2017,soy,l3_high,60,631.26,10.56,239,29.71,362.55,361.07,58.4,1.55
2017,wheat,l3_high,88,610.76,7.76,239,18.56,353.2,371.93,85.4,1.95
2016,corn,l1_low,130,691.42,5.32,141,25.96,524.46,523.07,125.4,1.41
2016,soy,l1_low,39,504.02,12.91,141,21.61,341.41,327.69,36.8,1.18
2016,wheat,l1_low,58,486.05,9.93,141,13.72,331.33,313.03,55.2,1.30
2016,corn,l2_med,162,787.44,4.85,187,32.05,568.39,568.73,157.8,1.13
2016,soy,l2_med,49,562.17,11.52,187,26.61,348.56,340.62,47.8,1.14
2016,wheat,l2_med,73,556.22,8.7,187,17.16,352.06,331.96,69.8,2.11
2016,corn,l3_high,195,880.35,4.52,239,38.14,603.21,608.20,192.6,1.43
2016,soy,l3_high,59,626.88,10.7,239,31.63,356.25,352.73,58.4,1.66
2016,wheat,l3_high,88,632.39,8.03,239,20.59,372.8,362.34,84.2,2.03
2015,corn,l1_low,131,738.77,5.66,155,24.88,558.89,509.97,123.8,1.42
2015,soy,l1_low,38,529.06,13.89,155,18.21,355.85,316.27,36.4,1.40
2015,wheat,l1_low,58,502.69,10.23,150,16.39,336.3,300.96,54,1.48
