soil_series,texture,slope,erosion,drainage,year,cropland,woodland,indx,id,soil_region,corn_base,soy_base,wheat_base,oats_base,hay_base,prod_index,prod_index_new,indx_new
AARON,SICL,6-15,M,MW,2009,390,100,indx_69,AARONSICL6-15MMW,2,85,31,35,0,4,62,58,indx_59
AARON,SIL,0-2,S,MW,2009,650,150,indx_79,AARONSIL0-2SMW,2,99,39,50,79,4.2,72,73,indx_79
AARON,SIL,15-25,M,MW,2009,170,100,indx_59,AARONSIL15-25MMW,3,75,25,24,55,3.5,53,48,indx_49
AARON,SIL,2-6,S,MW,2009,640,140,indx_69,AARONSIL2-6SMW,2,95,37,48,76,4,69,69,indx_69
AARON,SIL,2-8,S,MW,2009,640,140,indx_69,AARONSIL2-8SMW,2,94,37,47,76,4,69,69,indx_69
AARON,SIL,3-8,S,MW,2009,630,130,indx_69,AARONSIL3-8SMW,2,93,37,46,76,4,68,68,indx_69
AARON,SIL,6-12,M,MW,2009,570,100,indx_69,AARONSIL6-12MMW,2,89,34,43,70,4,66,64,indx_69
AARON,SIL,6-15,M,MW,2009,560,100,indx_69,AARONSIL6-15MMW,2,88,33,42,68,4,65,63,indx_69
AARON,SIL,6-15,S,MW,2009,580,100,indx_69,AARONSIL6-15SMW,2,91,34,44,72,4,67,65,indx_69
AARON,SIL,8-15,M,MW,2009,560,100,indx_69,AARONSIL8-15MMW,2,87,33,42,68,4,65,62,indx_69
AARON,SIL,8-15,S,MW,2009,570,100,indx_69,AARONSIL8-15SMW,2,90,34,43,70,4,66,64,indx_69
"AARON-GILPIN,C",,6-12,M,W,2009,390,100,indx_69,"AARON-GILPIN,C6-12MW",2,86,31,41,66,3.8,62,61,indx_69
"AARON-GILPIN,C",,8-15,S,W,2009,560,100,indx_69,"AARON-GILPIN,C8-15SW",2,87,32,42,67,4,65,62,indx_69
"AARON-UPSHUR,C",,2-6,S,W,2009,400,100,indx_69,"AARON-UPSHUR,C2-6SW",2,95,30,38,65,3.9,64,63,indx_69
"AARON-UPSHUR,C",,2-8,S,W,2009,390,100,indx_69,"AARON-UPSHUR,C2-8SW",2,94,30,38,64,3.9,64,62,indx_69
"AARON-UPSHUR,C",,8-15,M,W,2009,260,100,indx_59,"AARON-UPSHUR,C8-15MW",2,83,28,35,59,3.7,59,56,indx_59
"ABSCOTA,V.",S,0-2,S,W,2009,200,100,indx_59,"ABSCOTA,V.S0-2SW",3,80,28,30,0,3,52,53,indx_59
ADRIAN,MUCK,0-1,S,VP,2009,180,100,indx_69,ADRIANMUCK0-1SVP,10,100,30,0,0,0,66,49,indx_49
ADRIAN,MUCK,0-2,S,VP,2009,180,100,indx_69,ADRIANMUCK0-2SVP,10,100,30,0,0,0,66,49,indx_49
"ADRIAN,DRAINED",MUCK,0-2,S,VP,2009,180,100,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP",10,100,30,0,0,0,66,49,indx_49
"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,2009,170,100,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP",10,0,0,0,0,0,0,0,indx_49
"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,2009,850,100,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP",2,125,40,45,80,3.8,74,81,indx_89
"AETNA,OF-PH",SIL,0-2,S,SWP,2009,850,100,indx_79,"AETNA,OF-PHSIL0-2SSWP",2,125,40,45,80,3.8,74,81,indx_89
ALEXANDRIA,SICL,12-18,M,W,2009,250,100,indx_59,ALEXANDRIASICL12-18MW,3,84,26,36,66,3.6,59,56,indx_59
ALEXANDRIA,SICL,12-18,SE,W,2009,170,100,indx_49,ALEXANDRIASICL12-18SEW,3,0,0,0,0,2.8,47,0,indx_49
ALEXANDRIA,SICL,18-25,SE,W,2009,170,100,indx_49,ALEXANDRIASICL18-25SEW,3,0,0,0,0,2.5,42,0,indx_49
