id,soil_series,texture,slope,erosion,drainage,prod_index,indx,cropland_unadj,woodland_unadj,year
"AARON-GILPIN,C6-12MW","AARON-GILPIN,C",,6-12,M,W,62,indx_69,440,230,2018
"AARON-GILPIN,C8-15SW","AARON-GILPIN,C",,8-15,S,W,65,indx_69,505,230,2018
AARONSICL6-15MMW,AARON,SICL,6-15,M,MW,62,indx_69,370,230,2018
AARONSIL0-2SMW,AARON,SIL,0-2,S,MW,72,indx_79,1430,430,2018
AARONSIL15-25MMW,AARON,SIL,15-25,M,MW,53,indx_59,350,230,2018
AARONSIL2-6SMW,AARON,SIL,2-6,S,MW,69,indx_69,1135,235,2018
AARONSIL2-8SMW,AARON,SIL,2-8,S,MW,69,indx_69,1115,235,2018
AARONSIL3-8SMW,AARON,SIL,3-8,S,MW,68,indx_69,1100,240,2018
AARONSIL6-12MMW,AARON,SIL,6-12,M,MW,66,indx_69,745,235,2018
AARONSIL6-15MMW,AARON,SIL,6-15,M,MW,65,indx_69,665,230,2018
AARONSIL6-15SMW,AARON,SIL,6-15,S,MW,67,indx_69,800,230,2018
AARONSIL8-15MMW,AARON,SIL,8-15,M,MW,65,indx_69,645,230,2018
AARONSIL8-15SMW,AARON,SIL,8-15,S,MW,66,indx_69,765,225,2018
"AARON-UPSHUR,C2-6SW","AARON-UPSHUR,C",,2-6,S,W,64,indx_69,510,230,2018
"AARON-UPSHUR,C2-8SW","AARON-UPSHUR,C",,2-8,S,W,64,indx_69,485,230,2018
"AARON-UPSHUR,C8-15MW","AARON-UPSHUR,C",,8-15,M,W,59,indx_59,350,230,2018
"ABSCOTA,V.S0-2SW","ABSCOTA,V.",S,0-2,S,W,52,indx_59,350,230,2018
"ADRIAN,DRAINEDMUCK0-2SVP","ADRIAN,DRAINED",MUCK,0-2,S,VP,66,indx_69,595,230,2018
ADRIANMUCK0-1SVP,ADRIAN,MUCK,0-1,S,VP,66,indx_69,595,230,2018
ADRIANMUCK0-2SVP,ADRIAN,MUCK,0-2,S,VP,66,indx_69,595,230,2018
"ADRIAN,UNDRAINEDMUCK0-2SVP","ADRIAN,UNDRAINED",MUCK,0-2,S,VP,0,indx_49,350,230,2018
"AETNA,FAN,OF-PHSIL0-2SSWP","AETNA,FAN,OF-PH",SIL,0-2,S,SWP,74,indx_79,1925,230,2018
"AETNA,OF-PHSIL0-2SSWP","AETNA,OF-PH",SIL,0-2,S,SWP,74,indx_79,1925,230,2018
ALEXANDRIASICL12-18MW,ALEXANDRIA,SICL,12-18,M,W,59,indx_59,350,230,2018
ALEXANDRIASICL12-18SEW,ALEXANDRIA,SICL,12-18,SE,W,47,indx_49,350,230,2018
ALEXANDRIASICL18-25SEW,ALEXANDRIA,SICL,18-25,SE,W,42,indx_49,350,230,2018
ALEXANDRIASICL6-12SEW,ALEXANDRIA,SICL,6-12,SE,W,52,indx_59,350,230,2018
ALEXANDRIASIL0-2SW,ALEXANDRIA,SIL,0-2,S,W,71,indx_79,1030,235,2018
ALEXANDRIASIL12-18MW,ALEXANDRIA,SIL,12-18,M,W,61,indx_69,355,230,2018
ALEXANDRIASIL12-18SW,ALEXANDRIA,SIL,12-18,S,W,64,indx_69,360,230,2018
ALEXANDRIASIL12-20MW,ALEXANDRIA,SIL,12-20,M,W,60,indx_69,345,230,2018
ALEXANDRIASIL18-25MW,ALEXANDRIA,SIL,18-25,M,W,53,indx_59,350,230,2018
ALEXANDRIASIL18-25SW,ALEXANDRIA,SIL,18-25,S,W,59,indx_59,350,230,2018
ALEXANDRIASIL2-6MW,ALEXANDRIA,SIL,2-6,M,W,68,indx_69,655,230,2018
ALEXANDRIASIL2-6SW,ALEXANDRIA,SIL,2-6,S,W,70,indx_79,870,235,2018
ALEXANDRIASIL6-12MW,ALEXANDRIA,SIL,6-12,M,W,65,indx_69,445,230,2018
ALEXANDRIASIL6-12SW,ALEXANDRIA,SIL,6-12,S,W,66,indx_69,655,230,2018
ALEXANDRIASIL6-18SW,ALEXANDRIA,SIL,6-18,S,W,65,indx_69,440,230,2018
ALFORDSIL0-2SW,ALFORD,SIL,0-2,S,W,81,indx_89,2570,1570,2018
ALFORDSIL10-25SW,ALFORD,SIL,10-25,S,W,55,indx_59,350,230,2018
ALFORDSIL15-25SW,ALFORD,SIL,15-25,S,W,47,indx_49,350,230,2018
ALFORDSIL1-8SW,ALFORD,SIL,1-8,S,W,77,indx_79,2270,1270,2018
ALFORDSIL2-6SW,ALFORD,SIL,2-6,S,W,77,indx_79,2270,1270,2018
ALFORDSIL2-8SW,ALFORD,SIL,2-8,S,W,77,indx_79,2270,1270,2018
ALFORDSIL6-12MW,ALFORD,SIL,6-12,M,W,68,indx_69,1450,450,2018
ALFORDSIL6-12SW,ALFORD,SIL,6-12,S,W,75,indx_79,1990,990,2018
ALFORDSIL6-15MW,ALFORD,SIL,6-15,M,W,67,indx_69,1375,375,2018
ALFORDSIL8-15MW,ALFORD,SIL,8-15,M,W,64,indx_69,1040,240,2018
ALFORDSIL8-15SW,ALFORD,SIL,8-15,S,W,65,indx_69,1300,300,2018
"ALFORD,T-SUBSTSIL1-4SW","ALFORD,T-SUBST",SIL,1-4,S,W,77,indx_79,2270,1270,2018
"ALGANSEE,OF-PHFS0-2SSWP","ALGANSEE,OF-PH",FS,0-2,S,SWP,77,indx_79,2060,245,2018
"ALGIERS,FF-PHSIL0-2SSWP","ALGIERS,FF-PH",SIL,0-2,S,SWP,65,indx_69,1185,230,2018
"ALGIERS,OF-PHSIL0-2SSWP","ALGIERS,OF-PH",SIL,0-2,S,SWP,74,indx_79,1925,230,2018
ALGIERSSICL0-2SSWP,ALGIERS,SICL,0-2,S,SWP,71,indx_79,1900,225,2018
ALGIERSSIL0-2SSWP,ALGIERS,SIL,0-2,S,SWP,74,indx_79,1925,230,2018
ALLEGHENYL15-25SW,ALLEGHENY,L,15-25,S,W,55,indx_59,350,230,2018
ALLEGHENYL2-6SW,ALLEGHENY,L,2-6,S,W,72,indx_79,1155,235,2018
ALLEGHENYL3-8SW,ALLEGHENY,L,3-8,S,W,70,indx_79,1035,240,2018
ALLEGHENYL6-12SW,ALLEGHENY,L,6-12,S,W,68,indx_69,870,235,2018
ALLEGHENYL8-15SW,ALLEGHENY,L,8-15,S,W,66,indx_69,695,230,2018
ALLEGHENY-MONONGAHELASIL2-5MW,ALLEGHENY-MONONGAHELA,SIL,2-5,M,W,65,indx_69,885,225,2018
ALLEGHENY-MONONGAHELASIL2-5SW,ALLEGHENY-MONONGAHELA,SIL,2-5,S,W,67,indx_69,1170,230,2018
ALLEGHENYSIL10-15MW,ALLEGHENY,SIL,10-15,M,W,65,indx_69,560,230,2018
ALLEGHENYSIL10-15SW,ALLEGHENY,SIL,10-15,S,W,66,indx_69,695,230,2018
ALLEGHENYSIL12-18SW,ALLEGHENY,SIL,12-18,S,W,65,indx_69,560,230,2018
ALLEGHENYSIL2-6SW,ALLEGHENY,SIL,2-6,S,W,72,indx_79,1155,235,2018
ALLEGHENYSIL5-10MW,ALLEGHENY,SIL,5-10,M,W,67,indx_69,720,230,2018
ALLEGHENYSIL5-10SW,ALLEGHENY,SIL,5-10,S,W,69,indx_69,870,235,2018
ALLEGHENYSIL6-12SW,ALLEGHENY,SIL,6-12,S,W,69,indx_69,870,235,2018
"ALLEGHENY,SS-SUBSTSIL5-10SW","ALLEGHENY,SS-SUBST",SIL,5-10,S,W,69,indx_69,870,235,2018
"ALLEGHENY,VL15-25SW","ALLEGHENY,V",L,15-25,S,W,55,indx_59,350,230,2018
"ALLEGHENY,VL8-15SW","ALLEGHENY,V",L,8-15,S,W,65,indx_69,1090,230,2018
ALLISCL0-2SP,ALLIS,CL,0-2,S,P,51,indx_59,350,230,2018
ALLISL0-2SP,ALLIS,L,0-2,S,P,53,indx_59,350,230,2018
ALLISSICL0-2SP,ALLIS,SICL,0-2,S,P,51,indx_59,350,230,2018
ALLISSICL2-6SP,ALLIS,SICL,2-6,S,P,50,indx_59,350,230,2018
ALLISSIL0-2SP,ALLIS,SIL,0-2,S,P,53,indx_59,350,230,2018
ALLISST-SIL0-2SP,ALLIS,ST-SIL,0-2,S,P,48,indx_49,350,230,2018
ALVADAL0-1SVP,ALVADA,L,0-1,S,VP,92,indx_99,2710,895,2018
ALVADASICL0-1SVP,ALVADA,SICL,0-1,S,VP,91,indx_99,2580,765,2018
AMANDAL12-18MW,AMANDA,L,12-18,M,W,61,indx_69,345,230,2018
AMANDAL18-25SW,AMANDA,L,18-25,S,W,55,indx_59,350,230,2018
"AMANDA-LOUDONVILLE,C12-20MW","AMANDA-LOUDONVILLE,C",,12-20,M,W,58,indx_59,350,230,2018
"AMANDA-LOUDONVILLE,C2-6MW","AMANDA-LOUDONVILLE,C",,2-6,M,W,69,indx_69,765,240,2018
"AMANDA-LOUDONVILLE,C6-12MW","AMANDA-LOUDONVILLE,C",,6-12,M,W,64,indx_69,525,230,2018
"AMANDA-OCKLEY,C12-20MW","AMANDA-OCKLEY,C",,12-20,M,W,63,indx_69,485,230,2018
"AMANDA-OCKLEY,C6-12MW","AMANDA-OCKLEY,C",,6-12,M,W,69,indx_69,1030,225,2018
AMANDASICL12-20SEW,AMANDA,SICL,12-20,SE,W,55,indx_59,350,230,2018
AMANDASICL6-12SEW,AMANDA,SICL,6-12,SE,W,63,indx_69,350,230,2018
AMANDASIL12-18MW,AMANDA,SIL,12-18,M,W,61,indx_69,345,230,2018
AMANDASIL12-20MW,AMANDA,SIL,12-20,M,W,61,indx_69,355,230,2018
AMANDASIL18-25MW,AMANDA,SIL,18-25,M,W,50,indx_59,350,230,2018
AMANDASIL18-25SW,AMANDA,SIL,18-25,S,W,55,indx_59,350,230,2018
AMANDASIL2-6MW,AMANDA,SIL,2-6,M,W,72,indx_79,840,230,2018
AMANDASIL2-6SW,AMANDA,SIL,2-6,S,W,75,indx_79,1095,235,2018
AMANDASIL6-12MW,AMANDA,SIL,6-12,M,W,67,indx_69,615,230,2018
"AMANDA,VSIL12-18MW","AMANDA,V",SIL,12-18,M,W,58,indx_59,350,230,2018
"AMANDA,VSIL6-12MW","AMANDA,V",SIL,6-12,M,W,66,indx_69,1330,330,2018
"AMANDA-WOOSTER,C12-18MW","AMANDA-WOOSTER,C",,12-18,M,W,56,indx_59,350,230,2018
"AMANDA-WOOSTER,C2-6SW","AMANDA-WOOSTER,C",,2-6,S,W,70,indx_79,810,230,2018
"AMANDA-WOOSTER,C6-12MW","AMANDA-WOOSTER,C",,6-12,M,W,63,indx_69,355,230,2018
"AQUENTS,CLAYEY0-1SVP","AQUENTS,CLAYEY",,0-1,S,VP,0,indx_49,350,230,2018
"AQUENTS,NEARLY LEVEL0-2SVP","AQUENTS,NEARLY LEVEL",,0-2,S,VP,0,indx_49,350,230,2018
ARKPORTFS2-6SW,ARKPORT,FS,2-6,S,W,64,indx_69,785,240,2018
ARKPORTFS6-12SW,ARKPORT,FS,6-12,S,W,62,indx_69,645,230,2018
ARKPORTFSL0-6SW,ARKPORT,FSL,0-6,S,W,67,indx_69,1055,240,2018
ARKPORTFSL12-18SW,ARKPORT,FSL,12-18,S,W,55,indx_59,350,230,2018
ARKPORTFSL6-12SW,ARKPORT,FSL,6-12,S,W,63,indx_69,780,240,2018
ARKPORTLFS0-2SW,ARKPORT,LFS,0-2,S,W,67,indx_69,1055,240,2018
ARKPORTLFS12-18SW,ARKPORT,LFS,12-18,S,W,54,indx_59,350,230,2018
ARKPORTLFS2-6SW,ARKPORT,LFS,2-6,S,W,64,indx_69,785,240,2018
ARKPORTLFS6-12SW,ARKPORT,LFS,6-12,S,W,62,indx_69,645,230,2018
"ARKPORT,V.LFS0-2SW","ARKPORT,V.",LFS,0-2,S,W,65,indx_69,420,230,2018
"ARKPORT,V.LFS2-6SW","ARKPORT,V.",LFS,2-6,S,W,63,indx_69,360,230,2018
"ASHTON,OF-PHSIL0-2SW","ASHTON,OF-PH",SIL,0-2,S,W,81,indx_89,1495,495,2018
ASHTONSIL0-2SW,ASHTON,SIL,0-2,S,W,81,indx_89,1495,495,2018
ASHTONSIL0-3SW,ASHTON,SIL,0-3,S,W,81,indx_89,1495,495,2018
ASHTONSIL2-6SW,ASHTON,SIL,2-6,S,W,78,indx_79,1340,340,2018
ATHERTONSIL0-2SVP,ATHERTON,SIL,0-2,S,VP,60,indx_69,1025,230,2018
ATLASSICL6-12MSWP,ATLAS,SICL,6-12,M,SWP,59,indx_59,350,230,2018
ATLASSIL2-6MSWP,ATLAS,SIL,2-6,M,SWP,63,indx_69,645,230,2018
ATLASSIL2-6SSWP,ATLAS,SIL,2-6,S,SWP,66,indx_69,790,230,2018
ATLASSIL6-12MSWP,ATLAS,SIL,6-12,M,SWP,60,indx_69,380,230,2018
ATLASSIL6-12SESWP,ATLAS,SIL,6-12,SE,SWP,31,indx_49,350,230,2018
AURANDFSL0-2SSWP,AURAND,FSL,0-2,S,SWP,92,indx_99,2580,765,2018
AURANDL0-2SSWP,AURAND,L,0-2,S,SWP,94,indx_99,2710,895,2018
AURANDL0-3SSWP,AURAND,L,0-3,S,SWP,94,indx_99,2710,895,2018
AURANDSIL0-3SSWP,AURAND,SIL,0-3,S,SWP,94,indx_99,2710,895,2018
AVASIL0-3SMW,AVA,SIL,0-3,S,MW,75,indx_79,1660,660,2018
