areaname,musym,muname,muacres,farmlndcl,compname,nirrcapcl,nirrcapscl,PI
"Adams County, Ohio",BtD2,"Brushcreek-Lawshe complex, 12 to 25 percent slopes, eroded",31298,Not prime farmland,Brushcreek,6,e,43
"Adams County, Ohio",BtD2,"Brushcreek-Lawshe complex, 12 to 25 percent slopes, eroded",31298,Not prime farmland,Lawshe,7,e,43
"Adams County, Ohio",FaC2,"Faywood silt loam, 8 to 15 percent slopes, eroded",24243,Not prime farmland,Faywood,3,e,47
"Adams County, Ohio",BrC2,"Bratton-Opequon complex, 8 to 15 percent slopes, eroded",23982,Not prime farmland,Opequon,4,e,55
"Adams County, Ohio",BrC2,"Bratton-Opequon complex, 8 to 15 percent slopes, eroded",23982,Not prime farmland,Bratton,4,e,55
"Adams County, Ohio",JeC2,"Jessup silt loam, 8 to 15 percent slopes, eroded",18658,Not prime farmland,Jessup,3,e,64
"Adams County, Ohio",JoR1B1,"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes",18486,All areas are prime farmland,Jonesboro,2,e,75
"Adams County, Ohio",JoR1B1,"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes",18486,All areas are prime farmland,Rossmoyne,2,e,75
"Adams County, Ohio",FbD2,"Faywood silty clay loam, 15 to 25 percent slopes, eroded",16241,Not prime farmland,Faywood,4,e,42
"Adams County, Ohio",No,"Nolin silt loam, 0 to 3 percent slopes, occasionally flooded",15123,All areas are prime farmland,Nolin,2,w,74
"Adams County, Ohio",BnB,"Bratton silt loam, 2 to 8 percent slopes",10939,All areas are prime farmland,Bratton,2,e,66
"Adams County, Ohio",SmD,"Shelocta-Muse association, hilly",10867,Not prime farmland,Shelocta,4,e,49
"Adams County, Ohio",SmD,"Shelocta-Muse association, hilly",10867,Not prime farmland,Muse,4,e,49
"Adams County, Ohio",JeB,"Jessup silt loam, 1 to 8 percent slopes",9307,All areas are prime farmland,Jessup,2,e,70
"Adams County, Ohio",CrB,"Crider silt loam, 1 to 6 percent slopes",5650,All areas are prime farmland,Crider,2,e,76
"Adams County, Ohio",OpD2,"Opequon silty clay loam, 15 to 25 percent slopes, eroded",4960,Not prime farmland,Opequon,6,e,43
"Adams County, Ohio",WgC,"Wernock silt loam, 8 to 15 percent slopes",4886,Not prime farmland,Wernock,3,e,58
"Adams County, Ohio",CkB,"Cincinnati silt loam, 2 to 6 percent slopes",4737,All areas are prime farmland,Cincinnati,2,e,74
"Adams County, Ohio",EkB,"Elkinsville silt loam, 1 to 6 percent slopes",4642,All areas are prime farmland,Elkinsville,2,e,73
"Adams County, Ohio",BkD,"Berks silt loam, 15 to 25 percent slopes",4621,Not prime farmland,Berks,4,e,45
"Adams County, Ohio",Sp,"Skidmore gravelly loam, occasionally flooded",4077,Not prime farmland,Skidmore,2,w,52
"Adams County, Ohio",LwB,"Lowell silt loam, 2 to 8 percent slopes",3428,All areas are prime farmland,Lowell,2,e,69
"Adams County, Ohio",LoB,"Loudon silt loam, 2 to 6 percent slopes",3384,All areas are prime farmland,Loudon,2,e,74
"Adams County, Ohio",JeD2,"Jessup silt loam, 15 to 25 percent slopes, eroded",3358,Not prime farmland,Jessup,4,e,53
"Adams County, Ohio",AaB,"Aaron silt loam, 2 to 6 percent slopes",3227,All areas are prime farmland,Aaron,2,e,69
"Adams County, Ohio",CkC2,"Cincinnati silt loam, 6 to 12 percent slopes, eroded",2973,Not prime farmland,Cincinnati,3,e,66
"Adams County, Ohio",Ge,"Gessie loam, frequently flooded",2762,Prime farmland if protected from flooding or not frequently flooded during the growing season,Gessie,2,w,76
"Adams County, Ohio",LbC,"Latham silt loam, 8 to 15 percent slopes",2656,Not prime farmland,Latham,3,e,57
"Adams County, Ohio",LkB,"Licking silt loam, 1 to 6 percent slopes",2425,All areas are prime farmland,Licking,2,e,69
"Adams County, Ohio",TkA,"Tilsit silt loam, 0 to 3 percent slopes",2277,All areas are prime farmland,Tilsit,2,w,68
"Adams County, Ohio",OmB,"Omulga silt loam, 1 to 6 percent slopes",2109,All areas are prime farmland,Omulga,2,e,65
"Adams County, Ohio",LbD2,"Latham silt loam, 15 to 25 percent slopes, eroded",1981,Not prime farmland,Latham,7,e,42
"Adams County, Ohio",BsC2,"Brushcreek silt loam, 6 to 12 percent slopes, eroded",1974,Not prime farmland,Brushcreek,3,e,63
"Adams County, Ohio",LwC2,"Lowell silt loam, 8 to 15 percent slopes, eroded",1691,Not prime farmland,Lowell,3,e,58
"Adams County, Ohio",AaA,"Aaron silt loam, 0 to 2 percent slopes",1666,All areas are prime farmland,Aaron,2,w,72
"Adams County, Ohio",WsS1A1,"Westboro-Schaffer silt loams, 0 to 2 percent slopes",1623,Prime farmland if drained,Schaffer,2,w,69
"Adams County, Ohio",WsS1A1,"Westboro-Schaffer silt loams, 0 to 2 percent slopes",1623,Prime farmland if drained,Westboro,2,w,69
"Adams County, Ohio",OwB,"Otwell silt loam, 1 to 6 percent slopes",1548,All areas are prime farmland,Otwell,2,e,64
"Adams County, Ohio",McA,"McGary variant silty clay loam, 0 to 3 percent slopes, rarely flooded",1366,Prime farmland if drained,McGary Variant,3,w,60
"Adams County, Ohio",LkC2,"Licking silt loam, 6 to 15 percent slopes, eroded",1359,Not prime farmland,Licking,4,e,63
"Adams County, Ohio",ScB,"Sciotoville silt loam, 1 to 6 percent slopes",1325,All areas are prime farmland,Sciotoville,2,e,75
"Adams County, Ohio",LoA,"Loudon silt loam, 0 to 2 percent slopes",1313,All areas are prime farmland,Loudon,2,w,77
"Adams County, Ohio",TrC,"Trappist silt loam, 8 to 15 percent slopes",1052,Not prime farmland,Trappist,3,e,55
"Adams County, Ohio",WmB,"Williamsburg silt loam, 1 to 6 percent slopes",994,All areas are prime farmland,Williamsburg,2,e,73
"Adams County, Ohio",SaB,"Sardinia silt loam, 1 to 6 percent slopes",921,All areas are prime farmland,Sardinia,2,e,69
"Adams County, Ohio",FeC2,"Faywood-Lowell silt loams, 8 to 15 percent slopes, eroded",907,Not prime farmland,Lowell,3,e,59
"Adams County, Ohio",FeC2,"Faywood-Lowell silt loams, 8 to 15 percent slopes, eroded",907,Not prime farmland,Faywood,3,e,59
"Adams County, Ohio",Ne,"Newark silt loam, 0 to 3 percent slopes, frequently flooded-hydric",656,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Newark,2,w,61
"Adams County, Ohio",NkB,"Nicholson silt loam, 1 to 6 percent slopes",611,All areas are prime farmland,Nicholson,2,e,72
"Adams County, Ohio",Sr,"Skidmore silt loam, occasionally flooded",536,Not prime farmland,Skidmore,2,w,54
