areaname,musym,muname,muacres,farmlndcl,PI
"Adams County, Ohio",SoE,"Shelocta-Muse-Colyer association, steep",33590,Not prime farmland,NA
"Adams County, Ohio",ShF,"Shelocta-Berks association, very steep",32977,Not prime farmland,NA
"Adams County, Ohio",BtD2,"Brushcreek-Lawshe complex, 12 to 25 percent slopes, eroded",31298,Not prime farmland,43
"Adams County, Ohio",FaC2,"Faywood silt loam, 8 to 15 percent slopes, eroded",24243,Not prime farmland,47
"Adams County, Ohio",BrC2,"Bratton-Opequon complex, 8 to 15 percent slopes, eroded",23982,Not prime farmland,55
"Adams County, Ohio",JeC2,"Jessup silt loam, 8 to 15 percent slopes, eroded",18658,Not prime farmland,64
"Adams County, Ohio",JoR1B1,"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes",18486,All areas are prime farmland,75
"Adams County, Ohio",FbD2,"Faywood silty clay loam, 15 to 25 percent slopes, eroded",16241,Not prime farmland,42
"Adams County, Ohio",EgE2,"Eden flaggy silty clay loam, 25 to 40 percent slopes, eroded",15418,Not prime farmland,NA
"Adams County, Ohio",No,"Nolin silt loam, 0 to 3 percent slopes, occasionally flooded",15123,All areas are prime farmland,74
"Adams County, Ohio",BnB,"Bratton silt loam, 2 to 8 percent slopes",10939,All areas are prime farmland,66
"Adams County, Ohio",SmD,"Shelocta-Muse association, hilly",10867,Not prime farmland,49
"Adams County, Ohio",JeB,"Jessup silt loam, 1 to 8 percent slopes",9307,All areas are prime farmland,70
"Adams County, Ohio",CrB,"Crider silt loam, 1 to 6 percent slopes",5650,All areas are prime farmland,76
"Adams County, Ohio",ShE,"Shelocta-Berks association, steep",5629,Not prime farmland,NA
"Adams County, Ohio",OpD2,"Opequon silty clay loam, 15 to 25 percent slopes, eroded",4960,Not prime farmland,43
"Adams County, Ohio",WgC,"Wernock silt loam, 8 to 15 percent slopes",4886,Not prime farmland,58
"Adams County, Ohio",SkF,"Shelocta-Brownsville association, very steep",4796,Not prime farmland,NA
"Adams County, Ohio",CkB,"Cincinnati silt loam, 2 to 6 percent slopes",4737,All areas are prime farmland,74
"Adams County, Ohio",OsF,"Opequon silty clay loam, 40 to 60 percent slopes, very rocky",4734,Not prime farmland,NA
"Adams County, Ohio",EkB,"Elkinsville silt loam, 1 to 6 percent slopes",4642,All areas are prime farmland,73
"Adams County, Ohio",BkD,"Berks silt loam, 15 to 25 percent slopes",4621,Not prime farmland,45
"Adams County, Ohio",OpE2,"Opequon silty clay loam, 25 to 40 percent slopes, eroded",4314,Not prime farmland,NA
"Adams County, Ohio",Sp,"Skidmore gravelly loam, occasionally flooded",4077,Not prime farmland,52
"Adams County, Ohio",EgF2,"Eden flaggy silty clay loam, 40 to 70 percent slopes, eroded",3624,Not prime farmland,NA
"Adams County, Ohio",LwB,"Lowell silt loam, 2 to 8 percent slopes",3428,All areas are prime farmland,69
"Adams County, Ohio",LoB,"Loudon silt loam, 2 to 6 percent slopes",3384,All areas are prime farmland,74
"Adams County, Ohio",JeD2,"Jessup silt loam, 15 to 25 percent slopes, eroded",3358,Not prime farmland,53
"Adams County, Ohio",AaB,"Aaron silt loam, 2 to 6 percent slopes",3227,All areas are prime farmland,69
"Adams County, Ohio",CkC2,"Cincinnati silt loam, 6 to 12 percent slopes, eroded",2973,Not prime farmland,66
"Adams County, Ohio",Ge,"Gessie loam, frequently flooded",2762,Prime farmland if protected from flooding or not frequently flooded during the growing season,76
"Adams County, Ohio",LbC,"Latham silt loam, 8 to 15 percent slopes",2656,Not prime farmland,57
"Adams County, Ohio",LkB,"Licking silt loam, 1 to 6 percent slopes",2425,All areas are prime farmland,69
"Adams County, Ohio",TkA,"Tilsit silt loam, 0 to 3 percent slopes",2277,All areas are prime farmland,68
"Adams County, Ohio",OmB,"Omulga silt loam, 1 to 6 percent slopes",2109,All areas are prime farmland,65
"Adams County, Ohio",LbD2,"Latham silt loam, 15 to 25 percent slopes, eroded",1981,Not prime farmland,42
"Adams County, Ohio",BsC2,"Brushcreek silt loam, 6 to 12 percent slopes, eroded",1974,Not prime farmland,63
"Adams County, Ohio",LwC2,"Lowell silt loam, 8 to 15 percent slopes, eroded",1691,Not prime farmland,58
"Adams County, Ohio",AaA,"Aaron silt loam, 0 to 2 percent slopes",1666,All areas are prime farmland,72
"Adams County, Ohio",WsS1A1,"Westboro-Schaffer silt loams, 0 to 2 percent slopes",1623,Prime farmland if drained,69
"Adams County, Ohio",OwB,"Otwell silt loam, 1 to 6 percent slopes",1548,All areas are prime farmland,64
"Adams County, Ohio",JeE2,"Jessup silt loam, 25 to 35 percent slopes, eroded",1489,Not prime farmland,NA
"Adams County, Ohio",McA,"McGary variant silty clay loam, 0 to 3 percent slopes, rarely flooded",1366,Prime farmland if drained,60
"Adams County, Ohio",LkC2,"Licking silt loam, 6 to 15 percent slopes, eroded",1359,Not prime farmland,63
"Adams County, Ohio",W,Water,1347,Not prime farmland,NA
"Adams County, Ohio",ScB,"Sciotoville silt loam, 1 to 6 percent slopes",1325,All areas are prime farmland,75
"Adams County, Ohio",LoA,"Loudon silt loam, 0 to 2 percent slopes",1313,All areas are prime farmland,77
"Adams County, Ohio",TrC,"Trappist silt loam, 8 to 15 percent slopes",1052,Not prime farmland,55
"Adams County, Ohio",WmB,"Williamsburg silt loam, 1 to 6 percent slopes",994,All areas are prime farmland,73
"Adams County, Ohio",SaB,"Sardinia silt loam, 1 to 6 percent slopes",921,All areas are prime farmland,69
"Adams County, Ohio",Ud,"Udorthents, silty",918,Not prime farmland,NA
"Adams County, Ohio",FeC2,"Faywood-Lowell silt loams, 8 to 15 percent slopes, eroded",907,Not prime farmland,59
"Adams County, Ohio",Ne,"Newark silt loam, 0 to 3 percent slopes, frequently flooded-hydric",656,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,61
"Adams County, Ohio",NkB,"Nicholson silt loam, 1 to 6 percent slopes",611,All areas are prime farmland,72
"Adams County, Ohio",Sr,"Skidmore silt loam, occasionally flooded",536,Not prime farmland,54
"Adams County, Ohio",Pq,"Pits, quarry",496,Not prime farmland,NA
"Adams County, Ohio",OmC2,"Omulga silt loam, 6 to 15 percent slopes, eroded",461,Not prime farmland,58
"Adams County, Ohio",WmC2,"Williamsburg silt loam, 6 to 15 percent slopes, eroded",451,Not prime farmland,65
"Adams County, Ohio",LkD2,"Licking silt loam, 15 to 25 percent slopes, eroded",349,Not prime farmland,42
"Adams County, Ohio",TrB,"Trappist silt loam, 3 to 8 percent slopes",261,Not prime farmland,58
"Adams County, Ohio",OwC2,"Otwell silt loam, 6 to 15 percent slopes, eroded",231,Not prime farmland,57
"Adams County, Ohio",TrD2,"Trappist silt loam, 15 to 25 percent slopes, eroded",223,Not prime farmland,37
"Adams County, Ohio",PtB,"Plainfield sand, 3 to 8 percent slopes",179,Not prime farmland,53
"Adams County, Ohio",Pe,Peoga silt loam,146,Prime farmland if drained,63
"Adams County, Ohio",EaF,"Eden flaggy silt loam, 40 to 70 percent slopes",104,Not prime farmland,NA
"Adams County, Ohio",LoC2,"Loudon silt loam, 6 to 15 percent slopes, eroded",100,Not prime farmland,64
"Adams County, Ohio",LdD,"Latham-Wharton silt loams, 15 to 25 percent slopes",87,Not prime farmland,42
"Adams County, Ohio",EnB,"Elkinsville silt loam, 2 to 6 percent slopes",86,All areas are prime farmland,73
