soil_series,texture,slope,erosion,drainage,soil_region,corn_base,soybeans_base,wheat_base,oats_base,hay_base,prod_index
AARON,SIL,0-2,S,MW,2,99,39,50,79,4.2,72
AARON,SIL,2-6,S,MW,2,95,37,48,76,4,69
AARON,SIL,2-8,S,MW,2,94,37,47,76,4,69
AARON,SIL,3-8,S,MW,2,93,37,46,76,4,68
AARON,SIL,6-12,M,MW,2,89,34,43,70,4,66
AARON,SIL,6-15,S,MW,2,91,34,44,72,4,67
AARON,SIL,6-15,M,MW,2,88,33,42,68,4,65
AARON,SIL,8-15,S,MW,2,90,34,43,70,4,66
AARON,SIL,8-15,M,MW,2,87,33,42,68,4,65
AARON,SIL,15-25,M,MW,3,75,25,24,55,3.5,53
AARON,SICL,6-15,M,MW,2,85,31,35,0,4,62
"AARON-GILPIN,C",,6-12,M,W,2,86,31,41,66,3.8,62
"AARON-GILPIN,C",,8-15,S,W,2,87,32,42,67,4,65
"AARON-UPSHUR,C",,2-6,S,W,2,95,30,38,65,3.9,64
"AARON-UPSHUR,C",,2-8,S,W,2,94,30,38,64,3.9,64
"AARON-UPSHUR,C",,8-15,M,W,2,83,28,35,59,3.7,59
"ABSCOTA,V.",S,0-2,S,W,3,80,28,30,0,3,52
ADRIAN,MUCK,0-1,S,VP,10,100,30,0,0,0,66
ADRIAN,MUCK,0-2,S,VP,10,100,30,0,0,0,66
"ADRIAN,DRAINED",MUCK,0-2,S,VP,10,100,30,0,0,0,66
"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,10,0,0,0,0,0,0
"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,2,125,40,45,80,3.8,74
"AETNA,OF-PH",SIL,0-2,S,SWP,2,125,40,45,80,3.8,74
ALEXANDRIA,SIL,0-2,S,W,2,108,33,46,85,4,71
ALEXANDRIA,SIL,2-6,S,W,2,106,32,44,82,4,70
ALEXANDRIA,SIL,2-6,M,W,2,102,30,42,78,4,68
ALEXANDRIA,SIL,6-12,S,W,2,102,30,42,74,3.8,66
ALEXANDRIA,SIL,6-12,M,W,2,98,29,40,71,3.8,65
ALEXANDRIA,SIL,6-18,S,W,3,97,29,41,73,3.8,65
ALEXANDRIA,SIL,12-18,S,W,3,91,28,39,71,3.9,64
ALEXANDRIA,SIL,12-18,M,W,3,87,27,37,68,3.7,61
ALEXANDRIA,SIL,12-20,M,W,3,86,27,37,67,3.7,60
ALEXANDRIA,SIL,18-25,S,W,3,87,0,37,0,3.5,59
ALEXANDRIA,SIL,18-25,M,W,3,0,0,0,0,3.2,53
ALEXANDRIA,SICL,6-12,SE,W,3,80,23,30,65,3,52
ALEXANDRIA,SICL,12-18,M,W,3,84,26,36,66,3.6,59
ALEXANDRIA,SICL,12-18,SE,W,3,0,0,0,0,2.8,47
ALEXANDRIA,SICL,18-25,SE,W,3,0,0,0,0,2.5,42
"ALFORD,T-SUBST",SIL,1-4,S,W,2,125,44,50,79,4.1,77
ALFORD,SIL,0-2,S,W,2,129,46,52,82,4.3,81
ALFORD,SIL,1-8,S,W,2,125,44,50,79,4.1,77
ALFORD,SIL,2-6,S,W,2,125,44,50,79,4.1,77
ALFORD,SIL,2-8,S,W,2,125,44,50,79,4.1,77
ALFORD,SIL,6-12,S,W,2,120,42,48,75,4,75
ALFORD,SIL,6-12,M,W,2,110,38,44,73,3.6,68
ALFORD,SIL,6-15,M,W,2,110,37,42,71,3.5,67
ALFORD,SIL,8-15,S,W,2,105,37,42,70,3.4,65
ALFORD,SIL,8-15,M,W,2,102,35,40,68,3.4,64
ALFORD,SIL,10-25,S,W,3,90,28,35,55,3,55
ALFORD,SIL,15-25,S,W,3,0,0,0,0,2.8,47
"ALGANSEE,OF-PH",FS,0-2,S,SWP,2,125,42,45,80,4.2,77
ALGIERS,SIL,0-2,S,SWP,2,125,40,45,80,3.8,74
"ALGIERS,OF-PH",SIL,0-2,S,SWP,2,125,40,45,80,3.8,74
"ALGIERS,FF-PH",SIL,0-2,S,SWP,11,110,35,0,60,3.5,65
ALGIERS,SICL,0-2,S,SWP,2,124,40,41,78,3.5,71
ALLEGHENY,L,2-6,S,W,2,110,34,50,74,4,72
ALLEGHENY,L,3-8,S,W,2,107,33,49,72,4,70
ALLEGHENY,L,6-12,S,W,2,105,32,48,71,3.8,68
ALLEGHENY,L,8-15,S,W,2,100,31,46,69,3.8,66
ALLEGHENY,L,15-25,S,W,3,85,0,35,60,3,55
ALLEGHENY,SIL,2-6,S,W,2,110,34,50,74,4,72
ALLEGHENY,SIL,5-10,S,W,2,105,32,48,71,4,69
ALLEGHENY,SIL,5-10,M,W,2,101,31,46,69,3.8,67
ALLEGHENY,SIL,6-12,S,W,2,105,32,48,71,4,69
ALLEGHENY,SIL,10-15,S,W,3,100,31,46,69,3.8,66
ALLEGHENY,SIL,10-15,M,W,3,96,30,44,66,3.8,65
ALLEGHENY,SIL,12-18,S,W,3,96,30,44,65,3.8,65
"ALLEGHENY,SS-SUBST",SIL,5-10,S,W,2,105,32,48,71,4,69
ALLEGHENY-MONONGAHELA,SIL,2-5,S,W,2,98,37,40,68,3.9,67
ALLEGHENY-MONONGAHELA,SIL,2-5,M,W,2,94,35,38,65,3.9,65
"ALLEGHENY,V",L,8-15,S,W,2,105,35,40,65,3.5,65
"ALLEGHENY,V",L,15-25,S,W,3,90,30,35,55,3,55
ALLIS,L,0-2,S,P,3,80,26,34,60,3,53
ALLIS,CL,0-2,S,P,3,78,25,33,58,2.9,51
ALLIS,SIL,0-2,S,P,3,80,26,34,60,3,53
ALLIS,ST-SIL,0-2,S,P,3,60,22,35,55,3,48
ALLIS,SICL,0-2,S,P,3,78,25,33,58,2.9,51
ALLIS,SICL,2-6,S,P,3,75,24,32,56,2.8,50
ALVADA,L,0-1,S,VP,2,144,45,52,87,5.6,92
ALVADA,SICL,0-1,S,VP,2,141,44,51,85,5.5,91
