county,reappraisal,update
adams,2016,2013
allen,2015,2012
ashland,2014,2011
ashtabula,2014,2011
athens,2014,2011
auglaize,2017,2014
belmont,2012,2009
brown,2012,2009
butler,2014,2011
carroll,2013,2010
champaign,2013,2010
clark,2013,2010
clermont,2014,2011
clinton,2017,2014
columbiana,2016,2013
coshocton,2015,2012
crawford,2012,2009
cuyahoga,2012,2009
darke,2017,2014
defiance,2017,2014
delaware,2017,2014
erie,2012,2009
fairfield,2013,2010
fayette,2012,2009
franklin,2017,2014
fulton,2014,2011
gallia,2017,2014
geauga,2017,2014
greene,2014,2011
guernsey,2015,2012
hamilton,2017,2014
hancock,2016,2013
hardin,2017,2014
harrison,2017,2014
henry,2017,2014
highland,2012,2009
hocking,2016,2013
holmes,2016,2013
huron,2012,2009
jackson,2017,2014
jefferson,2012,2009
knox,2014,2011
lake,2012,2009
lawrence,2016,2013
licking,2017,2014
logan,2013,2010
lorain,2012,2009
lucas,2012,2009
madison,2014,2011
mahoning,2017,2014
marion,2013,2010
medina,2013,2010
meigs,2016,2013
mercer,2017,2014
miami,2013,2010
monroe,2016,2013
montgomery,2014,2011
morgan,2012,2009
morrow,2017,2014
muskingum,2012,2009
noble,2014,2011
ottawa,2012,2009
paulding,2016,2013
perry,2017,2014
pickaway,2017,2014
pike,2017,2014
portage,2012,2009
preble,2017,2014
putnam,2017,2014
richland,2017,2014
ross,2013,2010
sandusky,2015,2012
scioto,2016,2013
seneca,2017,2014
shelby,2017,2014
stark,2012,2009
summit,2014,2011
trumbull,2017,2014
tuscarawas,2016,2013
union,2013,2010
van wert,2017,2014
vinton,2015,2012
warren,2012,2009
washington,2016,2013
wayne,2014,2011
williams,2012,2009
wood,2017,2014
wyandot,2013,2010
