id,indx,soil_series,texture,slope,erosion,drainage,soil_region,corn_base,soy_base,wheat_base,oats_base,hay_base,prod_index,prod_index_new,indx_new,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AARONSICL6-15MMW,indx_69,AARON,SICL,6-15,M,MW,2,85,31,35,0,4,62,58,indx_59,390,230,390,360,860,1320,960,780,670,520,440,350,350,600,1160
AARONSIL0-2SMW,indx_79,AARON,SIL,0-2,S,MW,2,99,39,50,79,4.2,72,73,indx_79,650,790,1040,1060,1850,2540,2200,2060,1810,1620,1400,1040,1180,1570,2290
AARONSIL15-25MMW,indx_59,AARON,SIL,15-25,M,MW,3,75,25,24,55,3.5,53,48,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
AARONSIL2-6SMW,indx_69,AARON,SIL,2-6,S,MW,2,95,37,48,76,4,69,69,indx_69,640,660,890,900,1580,2280,1850,1790,1565,1350,1140,800,940,1380,2010
AARONSIL2-8SMW,indx_69,AARON,SIL,2-8,S,MW,2,94,37,47,76,4,69,69,indx_69,640,650,870,880,1540,2250,1830,1740,1525,1320,1110,770,910,1350,1990
AARONSIL3-8SMW,indx_69,AARON,SIL,3-8,S,MW,2,93,37,46,76,4,68,68,indx_69,630,620,850,850,1510,2220,1780,1710,1500,1300,1090,760,900,1330,1960
AARONSIL6-12MMW,indx_69,AARON,SIL,6-12,M,MW,2,89,34,43,70,4,66,64,indx_69,570,420,650,590,1230,1800,1430,1260,1095,920,740,440,580,940,1530
AARONSIL6-15MMW,indx_69,AARON,SIL,6-15,M,MW,2,88,33,42,68,4,65,63,indx_69,560,360,550,530,1150,1670,1240,1140,955,810,640,350,510,860,1450
AARONSIL6-15SMW,indx_69,AARON,SIL,6-15,S,MW,2,91,34,44,72,4,67,65,indx_69,580,450,690,630,1290,1850,1490,1310,1140,970,790,480,620,980,1580
AARONSIL8-15MMW,indx_69,AARON,SIL,8-15,M,MW,2,87,33,42,68,4,65,62,indx_69,560,350,540,510,1110,1650,1210,1120,935,790,630,350,490,840,1420
AARONSIL8-15SMW,indx_69,AARON,SIL,8-15,S,MW,2,90,34,43,70,4,66,64,indx_69,570,430,680,610,1250,1820,1450,1280,1115,940,760,470,600,960,1560
"AARON-GILPIN,C6-12MW",indx_69,"AARON-GILPIN,C",NA,6-12,M,W,2,86,31,41,66,3.8,62,61,indx_69,390,270,440,410,910,1410,1030,840,720,580,470,350,350,640,1210
"AARON-GILPIN,C8-15SW",indx_69,"AARON-GILPIN,C",NA,8-15,S,W,2,87,32,42,67,4,65,62,indx_69,560,320,500,470,990,1510,1130,950,815,660,510,350,430,720,1290
"AARON-UPSHUR,C2-6SW",indx_69,"AARON-UPSHUR,C",NA,2-6,S,W,2,95,30,38,65,3.9,64,63,indx_69,400,310,490,420,1030,1530,1080,980,810,660,510,350,360,720,1240
"AARON-UPSHUR,C2-8SW",indx_69,"AARON-UPSHUR,C",NA,2-8,S,W,2,94,30,38,64,3.9,64,62,indx_69,390,300,470,410,1000,1510,1060,940,775,630,490,350,350,690,1220
"AARON-UPSHUR,C8-15MW",indx_59,"AARON-UPSHUR,C",NA,8-15,M,W,2,83,28,35,59,3.7,59,56,indx_59,260,200,300,350,630,1050,590,390,370,360,360,350,350,350,850
"ABSCOTA,V.S0-2SW",indx_59,"ABSCOTA,V.",S,0-2,S,W,3,80,28,30,0,3,52,53,indx_59,200,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ADRIANMUCK0-1SVP,indx_69,ADRIAN,MUCK,0-1,S,VP,10,100,30,0,0,0,66,49,indx_49,180,380,600,530,1250,1840,1260,1160,965,780,570,350,370,770,1360
ADRIANMUCK0-2SVP,indx_69,ADRIAN,MUCK,0-2,S,VP,10,100,30,0,0,0,66,49,indx_49,180,380,600,530,1250,1840,1260,1160,965,780,570,350,370,770,1360
"ADRIAN,DRAINEDMUCK0-2SVP",indx_69,"ADRIAN,DRAINED",MUCK,0-2,S,VP,10,100,30,0,0,0,66,49,indx_49,180,380,600,530,1250,1840,1260,1160,965,780,570,350,370,770,1360
"ADRIAN,UNDRAINEDMUCK0-2SVP",indx_49,"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,10,0,0,0,0,0,0,0,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
"AETNA,FAN,OF-PHSIL0-2SSWP",indx_79,"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,2,125,40,45,80,3.8,74,81,indx_89,850,1080,1420,1460,2410,3280,2900,2870,2495,2210,1910,1460,1670,2110,2850
"AETNA,OF-PHSIL0-2SSWP",indx_79,"AETNA,OF-PH",SIL,0-2,S,SWP,2,125,40,45,80,3.8,74,81,indx_89,850,1080,1420,1460,2410,3280,2900,2870,2495,2210,1910,1460,1670,2110,2850
ALEXANDRIASICL12-18MW,indx_59,ALEXANDRIA,SICL,12-18,M,W,3,84,26,36,66,3.6,59,56,indx_59,250,200,300,350,480,860,380,350,350,350,350,350,350,350,690
ALEXANDRIASICL12-18SEW,indx_49,ALEXANDRIA,SICL,12-18,SE,W,3,0,0,0,0,2.8,47,0,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALEXANDRIASICL18-25SEW,indx_49,ALEXANDRIA,SICL,18-25,SE,W,3,0,0,0,0,2.5,42,0,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALEXANDRIASICL6-12SEW,indx_59,ALEXANDRIA,SICL,6-12,SE,W,3,80,23,30,65,3,52,51,indx_59,180,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALEXANDRIASIL0-2SW,indx_79,ALEXANDRIA,SIL,0-2,S,W,2,108,33,46,85,4,71,72,indx_79,490,600,830,840,1590,2240,1770,1700,1450,1240,1020,620,820,1210,1860
ALEXANDRIASIL12-18MW,indx_69,ALEXANDRIA,SIL,12-18,M,W,3,87,27,37,68,3.7,61,58,indx_59,320,200,300,350,600,1020,620,420,385,370,360,350,350,350,810
ALEXANDRIASIL12-18SW,indx_69,ALEXANDRIA,SIL,12-18,S,W,3,91,28,39,71,3.9,64,61,indx_69,400,200,360,350,840,1290,830,620,520,440,400,350,350,470,1030
ALEXANDRIASIL12-20MW,indx_69,ALEXANDRIA,SIL,12-20,M,W,3,86,27,37,67,3.7,60,58,indx_59,310,200,300,350,590,1000,600,400,375,360,360,350,350,350,790
ALEXANDRIASIL18-25MW,indx_59,ALEXANDRIA,SIL,18-25,M,W,3,0,0,0,0,3.2,53,0,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALEXANDRIASIL18-25SW,indx_59,ALEXANDRIA,SIL,18-25,S,W,3,87,0,37,0,3.5,59,47,indx_49,250,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALEXANDRIASIL2-6MW,indx_69,ALEXANDRIA,SIL,2-6,M,W,2,102,30,42,78,4,68,67,indx_69,470,400,600,550,1190,1750,1280,1180,985,820,600,350,470,850,1390
ALEXANDRIASIL2-6SW,indx_79,ALEXANDRIA,SIL,2-6,S,W,2,106,32,44,82,4,70,70,indx_79,480,530,750,760,1410,2010,1620,1460,1270,1070,850,520,720,1040,1680
ALEXANDRIASIL6-12MW,indx_69,ALEXANDRIA,SIL,6-12,M,W,2,98,29,40,71,3.8,65,64,indx_69,460,310,490,440,1030,1550,1090,990,815,630,490,350,350,650,1250
ALEXANDRIASIL6-12SW,indx_69,ALEXANDRIA,SIL,6-12,S,W,2,102,30,42,74,3.8,66,67,indx_69,470,400,600,550,1190,1750,1280,1180,985,820,600,350,470,850,1390
ALEXANDRIASIL6-18SW,indx_69,ALEXANDRIA,SIL,6-18,S,W,3,97,29,41,73,3.8,65,64,indx_69,470,310,490,420,1030,1540,1080,950,780,610,480,350,350,640,1230
ALFORDSIL0-2SW,indx_89,ALFORD,SIL,0-2,S,W,2,129,46,52,82,4.3,81,87,indx_89,1150,1420,1820,1880,2960,4030,3690,3610,3190,2880,2570,2010,2240,2700,3550
ALFORDSIL1-8SW,indx_79,ALFORD,SIL,1-8,S,W,2,125,44,50,79,4.1,77,84,indx_89,970,1290,1620,1710,2740,3690,3320,3320,2930,2600,2300,1840,1990,2440,3270
ALFORDSIL10-25SW,indx_59,ALFORD,SIL,10-25,S,W,3,90,28,35,55,3,55,59,indx_59,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALFORDSIL15-25SW,indx_49,ALFORD,SIL,15-25,S,W,3,0,0,0,0,2.8,47,0,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALFORDSIL2-6SW,indx_79,ALFORD,SIL,2-6,S,W,2,125,44,50,79,4.1,77,84,indx_89,970,1290,1620,1710,2740,3690,3320,3320,2930,2600,2300,1840,1990,2440,3270
ALFORDSIL2-8SW,indx_79,ALFORD,SIL,2-8,S,W,2,125,44,50,79,4.1,77,84,indx_89,970,1290,1620,1710,2740,3690,3320,3320,2930,2600,2300,1840,1990,2440,3270
ALFORDSIL6-12MW,indx_69,ALFORD,SIL,6-12,M,W,2,110,38,44,73,3.6,68,74,indx_79,650,840,1100,1140,1910,2730,2370,2240,1970,1710,1450,1050,1260,1670,2350
ALFORDSIL6-12SW,indx_79,ALFORD,SIL,6-12,S,W,2,120,42,48,75,4,75,81,indx_89,880,1110,1460,1540,2450,3380,3040,2940,2590,2290,2010,1570,1720,2220,2970
ALFORDSIL6-15MW,indx_69,ALFORD,SIL,6-15,M,W,2,110,37,42,71,3.5,67,73,indx_79,580,800,1050,1090,1840,2640,2200,2150,1885,1630,1380,980,1130,1600,2280
ALFORDSIL8-15MW,indx_69,ALFORD,SIL,8-15,M,W,2,102,35,40,68,3.4,64,68,indx_69,410,620,850,820,1540,2180,1820,1670,1460,1250,1030,680,880,1280,1910
ALFORDSIL8-15SW,indx_69,ALFORD,SIL,8-15,S,W,2,105,37,42,70,3.4,65,71,indx_79,560,740,990,1010,1740,2500,2060,2010,1760,1530,1290,910,1050,1520,2180
"ALFORD,T-SUBSTSIL1-4SW",indx_79,"ALFORD,T-SUBST",SIL,1-4,S,W,2,125,44,50,79,4.1,77,84,indx_89,1040,1290,1620,1710,2740,3690,3320,3320,2930,2600,2300,1840,1990,2440,3270
"ALGANSEE,OF-PHFS0-2SSWP",indx_79,"ALGANSEE,OF-PH",FS,0-2,S,SWP,2,125,42,45,80,4.2,77,81,indx_89,920,1160,1510,1600,2530,3500,3140,3040,2680,2370,2080,1640,1790,2290,3050
ALGIERSSICL0-2SSWP,indx_79,ALGIERS,SICL,0-2,S,SWP,2,124,40,41,78,3.5,71,79,indx_79,800,1050,1390,1420,2370,3230,2860,2830,2460,2180,1870,1430,1640,2080,2820
