year,corn_cost_odt,soy_cost_odt,wheat_cost_odt,hay_cost_odt,corn_cost_add_odt,soy_cost_add_odt,wheat_cost_add_odt,hay_cost_add_odt,corn_base_odt,soy_base_odt,wheat_base_odt,hay_base_odt,category,item,crop,level,val,id
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,fixed_miscellaneous,corn,l1_low,NA,fixed costsfixed_miscellaneouscornl1_low
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,fixed_miscellaneous,corn,l2_med,NA,fixed costsfixed_miscellaneouscornl2_med
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,fixed_miscellaneous,corn,l3_high,NA,fixed costsfixed_miscellaneouscornl3_high
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,fixed_miscellaneous,soy,l1_low,NA,fixed costsfixed_miscellaneoussoyl1_low
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,fixed_miscellaneous,soy,l2_med,NA,fixed costsfixed_miscellaneoussoyl2_med
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,fixed_miscellaneous,soy,l3_high,NA,fixed costsfixed_miscellaneoussoyl3_high
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,fixed_miscellaneous,wheat,l1_low,NA,fixed costsfixed_miscellaneouswheatl1_low
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,fixed_miscellaneous,wheat,l2_med,NA,fixed costsfixed_miscellaneouswheatl2_med
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,fixed_miscellaneous,wheat,l3_high,NA,fixed costsfixed_miscellaneouswheatl3_high
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,labor,corn,cost,28.8,fixed costslaborcorncost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,labor,soy,cost,20.8,fixed costslaborsoycost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,labor,wheat,cost,16,fixed costslaborwheatcost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,machine,corn,cost,56.07,fixed costsmachinecorncost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,machine,soy,cost,52.26,fixed costsmachinesoycost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed costs,machine,wheat,cost,51.36,fixed costsmachinewheatcost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,chemicals,corn,cost,20,variable costchemicalscorncost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,chemicals,soy,cost,20,variable costchemicalssoycost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,chemicals,wheat,cost,7,variable costchemicalswheatcost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,crop_insurance,corn,l1_low,NA,variable costcrop_insurancecornl1_low
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,crop_insurance,corn,l2_med,NA,variable costcrop_insurancecornl2_med
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,crop_insurance,corn,l3_high,NA,variable costcrop_insurancecornl3_high
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,crop_insurance,soy,l1_low,NA,variable costcrop_insurancesoyl1_low
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,crop_insurance,soy,l2_med,NA,variable costcrop_insurancesoyl2_med
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,crop_insurance,soy,l3_high,NA,variable costcrop_insurancesoyl3_high
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,crop_insurance,wheat,l1_low,NA,variable costcrop_insurancewheatl1_low
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,crop_insurance,wheat,l2_med,NA,variable costcrop_insurancewheatl2_med
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,crop_insurance,wheat,l3_high,NA,variable costcrop_insurancewheatl3_high
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,drying,corn,cost,0.18,variable costdryingcorncost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,drying,soy,cost,0,variable costdryingsoycost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,drying,wheat,cost,0,variable costdryingwheatcost
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,variable cost,fuel_oil_grease,corn,l1_low,7,variable costfuel_oil_greasecornl1_low
