year,county,real_property_value,public_utility_property_value,tangible_property_value,total_property_value,real_property_tax,public_utility_property_tax,tangible_property_tax,total_property_tax,special_assessments,residential_taxable_value,agricultural_taxable_value,industrial_taxable_value,commercial_taxable_value,mineral_taxable_value,total_taxable_value,parcels,acres_cauv,cauv_taxable,market_value_taxable,appraisal,res_ag_gross_millage,res_ag_net_millage,public_gross_millage,public_net_millage,tangible_millage,tangible_property_delinquent,real_property_delinquent,special_delinquent,total_delinquent,update_year,noncauv_taxable,cauv_tax,cauv_tax_acre,noncauv_tax,noncauv_tax_acre
1985,adams,NA,NA,NA,NA,NA,NA,NA,NA,NA,41764820,40465410,2019480,52895400,0,137145110,5903,253054,17846900,50986810,NA,31.54,29.92,29.4,27.47,28.94,NA,NA,NA,NA,2016,22618510,533979.248,2.110139527531673,676745.8192,2.6743138587020954
1985,allen,NA,NA,NA,NA,NA,NA,NA,NA,NA,423860680,74674400,52987960,116925450,0,668448490,4049,206245,47057860,134447870,reappraisal,43.89,37.3,43.1,37.33,41.03,NA,NA,NA,NA,2018,27616540,1755258.178,8.510548997551457,1030096.942,4.994530495284734
1985,ashland,NA,NA,NA,NA,NA,NA,NA,NA,NA,170136310,74180710,16736640,34763790,396400,296213850,2976,206079,28026150,80073250,NA,51.88,39.79,52.42,41.62,48.49,NA,NA,NA,NA,2017,46154560,1115160.5085,5.411325309711324,1836489.9424,8.91158217188554
1985,ashtabula,NA,NA,NA,NA,NA,NA,NA,NA,NA,350934390,108289500,39004430,94840920,4394290,597463530,3517,188726,13656240,39014750,NA,56.47,44.12,56.91,45.78,53.01,NA,NA,NA,NA,2017,94633260,602513.3088,3.1925294278477794,4175219.4312,22.123180861142608
1985,athens,NA,NA,NA,NA,NA,NA,NA,NA,NA,138065630,40576550,7409290,44294570,1623320,231969360,888,42155,3180550,9086650,NA,64.47,47.17,66.11,48.95,54.16,NA,NA,NA,NA,2017,37396000,150026.5435,3.558926426283952,1763969.32,41.844842130233666
1985,auglaize,NA,NA,NA,NA,NA,NA,NA,NA,NA,165708960,70365600,19117470,34667710,0,289859740,4526,230906,46637830,133246480,NA,47.23,40.1,46.86,38.87,43.55,NA,NA,NA,NA,2017,23727770,1870176.9830000002,8.099300074489188,951483.577,4.12065332646185
1985,belmont,NA,NA,NA,NA,NA,NA,NA,NA,NA,262648510,44974780,23374640,68574530,7925030,407497490,982,53302,3309950,9457010,update,48.33,37.4,47.13,38.27,43.3,NA,NA,NA,NA,2018,41664830,123792.12999999999,2.3224668867959926,1558264.6419999998,29.234637386964838
1985,brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,86961970,58640350,3913810,19286010,0,168802140,3168,238341,31001790,88573980,update,42.24,36.04,43.75,37.05,37.12,NA,NA,NA,NA,2018,27638560,1117304.5116,4.687840160106738,996093.7024000001,4.179279697576162
1985,butler,NA,NA,NA,NA,NA,NA,NA,NA,NA,1342391440,69933350,148856260,304030510,0,1865211560,3745,182910,29860600,85313710,NA,50.9,38.88,50.18,40.03,45.79,NA,NA,NA,NA,2017,40072750,1160980.1280000003,6.347275315729049,1558028.5200000003,8.518006232573399
1985,carroll,NA,NA,NA,NA,NA,NA,NA,NA,NA,84757670,66297740,6139110,12838600,3768760,173801880,807,58525,7283570,20810090,NA,46.02,33.2,48.42,35.12,44.41,NA,NA,NA,NA,2016,59014170,241814.524,4.131815873558309,1959270.4440000001,33.47749583938488
1985,champaign,NA,NA,NA,NA,NA,NA,NA,NA,NA,115479780,69622770,10654830,19457270,0,215214650,4531,241504,41626130,118930620,NA,52.5,39.41,56.56,43.16,52.05,NA,NA,NA,NA,2016,27996640,1640485.7832999998,6.7927892842354565,1103347.5823999997,4.568651378031005
1985,clark,NA,NA,NA,NA,NA,NA,NA,NA,NA,532378930,64454770,32458280,125960780,0,755252760,3848,187045,36775650,105070070,NA,56.52,42.3,56.01,46.44,51.93,NA,NA,NA,NA,2016,27679120,1555609.9949999999,8.316768665294447,1170826.7759999998,6.259599433291453
1985,clermont,NA,NA,NA,NA,NA,NA,NA,NA,NA,615655220,58527000,40213620,153937500,0,868333340,3126,155862,22742790,64978100,NA,60.76,43.78,60.4,43.6,51.06,NA,NA,NA,NA,2017,35784210,995679.3462,6.388211021288063,1566632.7138,10.051409027216383
1985,clinton,NA,NA,NA,NA,NA,NA,NA,NA,NA,118772140,77950030,12519720,32579180,0,241821070,2377,230698,45630000,130369380,NA,45.87,40.39,47.71,41.58,44.53,NA,NA,NA,NA,2017,32320030,1842995.7000000002,7.988780570269357,1305406.0117000001,5.658505976211324
1985,columbiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,350142630,87094690,25216240,60487230,1597140,524537930,1057,69169,12902880,36865260,NA,50.31,39.79,51.28,38.51,45.73,NA,NA,NA,NA,2016,74191810,513405.5952,7.422481099914702,2952092.1199,42.67941013893507
1985,coshocton,NA,NA,NA,NA,NA,NA,NA,NA,NA,120003610,57419230,27321190,28441710,5805620,238991360,2902,143045,10948470,31279550,reappraisal,43.98,35.52,44.12,36.48,41.94,NA,NA,NA,NA,2018,46470760,388889.65440000006,2.718652552693209,1650641.3952000001,11.539315566430146
1985,crawford,NA,NA,NA,NA,NA,NA,NA,NA,NA,169188990,71391370,23569900,39661530,0,303811790,5203,230348,39343550,112409550,update,54.45,38.7,53.62,38.01,50.16,NA,NA,NA,NA,2018,32047820,1522595.3850000002,6.609978749544169,1240250.634,5.3842474603643184
1985,cuyahoga,NA,NA,NA,NA,NA,NA,NA,NA,NA,7328554190,991830,928153100,2547761940,0,10805461060,71,1088,440280,1293500,update,84.62,58.66,77.98,63.76,69.58,NA,NA,NA,NA,2018,551550,25826.8248,23.737890441176468,32353.923,29.73706158088235
1985,darke,NA,NA,NA,NA,NA,NA,NA,NA,NA,186526610,125877670,12634120,32140340,0,357178740,6848,352834,78758230,225016850,NA,42.78,37.65,44.04,35,40,NA,NA,NA,NA,2017,47119440,2965247.3595,8.40408622610066,1774046.9159999997,5.027993095903455
1985,defiance,NA,NA,NA,NA,NA,NA,NA,NA,NA,151735470,62075110,22434630,33403590,0,269648800,4325,235687,44132960,126091530,NA,46.5,40.6,45.27,37.62,42.31,NA,NA,NA,NA,2017,17942150,1791798.1760000002,7.60244806035123,728451.29,3.090757190680861
1985,delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,340823470,85007260,25886850,51962490,0,503680070,5003,195998,38748410,110705310,NA,51.28,41.39,50.55,38.47,48.59,NA,NA,NA,NA,2017,46258850,1603796.6899,8.182719670098676,1914653.8015,9.76874152542373
1985,erie,NA,NA,NA,NA,NA,NA,NA,NA,NA,364387390,56888400,60763250,94576710,13870,576629620,1993,86713,20010750,57173510,update,63.54,42.93,63.32,44.21,59.06,NA,NA,NA,NA,2018,36877650,859061.4975,9.9069516393159045,1583157.5145,18.257441381338438
1985,fairfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,438701110,88786930,27293370,75525900,186200,630493510,3719,219107,36790880,105116210,NA,62.08,39.86,60.06,38.54,54.49,NA,NA,NA,NA,2016,51996050,1466484.4768,6.6930060509248905,2072562.553,9.459134363575787
1985,fayette,NA,NA,NA,NA,NA,NA,NA,NA,NA,75796360,77163010,6780680,21151150,0,180891200,3447,241698,55607150,158875830,update,38.57,32,42.96,32.55,38.34,NA,NA,NA,NA,2018,21555860,1779428.8,7.362199107977724,689787.52,2.8539231603074913
1985,franklin,NA,NA,NA,NA,NA,NA,NA,NA,NA,4069991420,68025160,501859330,1975470660,0,6615346570,3007,125553,29727510,84934120,NA,64.88,46.53,61.67,43.3,57.9,NA,NA,NA,NA,2017,38297650,1383221.0403,11.017028986165204,1781989.6545000002,14.193126842847246
1985,fulton,NA,NA,NA,NA,NA,NA,NA,NA,NA,134879070,88025430,25049250,28863790,70,276817610,4667,235104,49279770,140799320,NA,55,44.99,53.82,40.19,52.21,NA,NA,NA,NA,2017,38745660,2217096.8523,9.430281289556962,1743167.2434,7.414451661392405
1985,gallia,NA,NA,NA,NA,NA,NA,NA,NA,NA,76265720,32267850,2862060,52525950,1034510,164956090,2632,104956,6385700,18242680,NA,33.85,29.89,33.2,30.26,31.55,NA,NA,NA,NA,2017,25882150,190868.573,1.8185579957315448,773617.4635,7.370874113914402
1985,geauga,NA,NA,NA,NA,NA,NA,NA,NA,NA,509847330,103065740,22830890,56547610,2775560,695067130,1475,60661,6283180,17951960,NA,72.84,48.61,72.13,52.49,63.01,NA,NA,NA,NA,2017,96782560,305425.3798,5.034954580372892,4704600.2416,77.55559983514944
1985,greene,NA,NA,NA,NA,NA,NA,NA,NA,NA,679467300,71552740,25021780,100812080,0,876853900,4343,196088,41363870,118178250,NA,63.54,44.62,63.18,47.35,57.25,NA,NA,NA,NA,2017,30188870,1845655.8794,9.412385660519767,1347027.3794,6.869504403125127
1985,guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,119953220,38225960,12612630,38781470,6644080,216217360,2674,105114,11190530,31972140,reappraisal,51.77,43.52,53.53,46.84,50.12,NA,NA,NA,NA,2018,27035430,487011.8656,4.633177936335788,1176581.9136,11.193389211712999
1985,hamilton,NA,NA,NA,NA,NA,NA,NA,NA,NA,4012127780,13411260,543364140,1422201870,0,5991105050,707,19704,3085420,8815050,NA,68.32,50.83,66.09,52.85,59.34,NA,NA,NA,NA,2017,10325840,156831.89860000001,7.959393960617135,524862.4472,26.637355217214782
1985,hancock,NA,NA,NA,NA,NA,NA,NA,NA,NA,279579430,117451450,39401390,90150420,5000,526587690,5415,302576,67295020,192260720,NA,46.85,37.81,48.63,39.53,45.14,NA,NA,NA,NA,2016,50156430,2544424.7062000004,8.409208616017134,1896414.6183000002,6.26756457319814
1985,hardin,NA,NA,NA,NA,NA,NA,NA,NA,NA,91626430,83371560,8310970,19435770,0,202744730,5098,284372,57839410,165244830,NA,47.53,39.92,47.95,36.17,42.6,NA,NA,NA,NA,2017,25532150,2308949.2472,8.119467624098013,1019243.4280000001,3.5841905250868584
1985,harrison,NA,NA,NA,NA,NA,NA,NA,NA,NA,51955620,28453690,8198050,10247000,4414530,103268890,1070,67050,4015350,11472020,NA,46.04,34,45.65,34.86,41.98,NA,NA,NA,NA,2017,24438340,136521.90000000002,2.0361208053691278,830903.56,12.39229768829232
1985,henry,NA,NA,NA,NA,NA,NA,NA,NA,NA,93079510,83502240,13951050,15144790,0,205677590,5005,248428,60156050,171873460,NA,50.78,45.37,49.22,43.75,45.54,NA,NA,NA,NA,2017,23346190,2729279.9885,10.98620118706426,1059216.6403,4.263676559405543
1985,highland,NA,NA,NA,NA,NA,NA,NA,NA,NA,92988730,63598800,5091420,19870720,0,181549670,6126,283519,39481940,112799900,update,40.97,34.61,40.32,33.37,36.67,NA,NA,NA,NA,2018,24116860,1366469.9434,4.8196767885044745,834684.5246,2.9440161844532464
1985,hocking,NA,NA,NA,NA,NA,NA,NA,NA,NA,89788410,15616970,6182580,11637530,2386290,125611780,16,2321,184460,527000,NA,48.55,36.52,48.22,35.73,43.86,NA,NA,NA,NA,2016,15432510,6736.479200000001,2.9024037914691947,563595.2652,242.8243279620853
1985,holmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,74839550,82292040,8736510,16320080,4885330,187073510,4362,195344,24836050,70956520,NA,45.46,37.32,46.73,39.07,39.5,NA,NA,NA,NA,2016,57455990,926881.3859999999,4.744867444098616,2144257.5468,10.976828296748302
1985,huron,NA,NA,NA,NA,NA,NA,NA,NA,NA,211224510,67080560,17489980,46439970,31260,342266280,7641,270714,37038660,105820050,update,55.96,39.24,57.3,45.62,52.82,NA,NA,NA,NA,2018,30041900,1453397.0184000002,5.368754546864958,1178844.1560000002,4.354574037545159
1985,jackson,NA,NA,NA,NA,NA,NA,NA,NA,NA,81712890,34140940,9241570,16833130,300740,142229270,1233,47790,3944560,11270190,NA,37.11,32.33,38,32.91,35.26,NA,NA,NA,NA,2017,30196380,127527.62479999999,2.6685002050638205,976248.9654,20.427892140615192
1985,jefferson,NA,NA,NA,NA,NA,NA,NA,NA,NA,259210340,27766640,64142980,56048590,1457030,408625580,435,25576,1085790,3102310,update,44.53,34.24,43.44,40.15,43.49,NA,NA,NA,NA,2018,26680850,37177.4496,1.4536068814513607,913552.304,35.71912355333125
1985,knox,NA,NA,NA,NA,NA,NA,NA,NA,NA,198911370,87035460,12823640,38461250,1859840,339091560,4375,214210,27148610,77566030,NA,54.65,43.96,53.45,44.64,49.27,NA,NA,NA,NA,2017,59886850,1193452.8956,5.571415412912562,2632625.926,12.289930096634144
1985,lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,1353984460,40599050,157035790,347479110,0,1899098410,992,20103,2810800,8030890,update,72.79,45.78,66.67,46.82,65.07,NA,NA,NA,NA,2018,37788250,128678.424,6.400956275182809,1729946.085,86.05412550365617
1985,lawrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,177556680,32269580,9265230,27903220,897800,247892510,NA,NA,NA,NA,NA,39.8,35.26,41.01,35.75,38.91,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
1985,licking,NA,NA,NA,NA,NA,NA,NA,NA,NA,563877220,110068130,44412050,126475210,2192320,847024930,3913,218762,34167010,97616510,NA,50.45,38.72,47.79,37.03,43.89,NA,NA,NA,NA,2017,75901120,1322946.6272,6.047424265640285,2938891.3663999997,13.434194999131474
1985,logan,NA,NA,NA,NA,NA,NA,NA,NA,NA,168147900,69218600,8904960,35986090,0,282257550,3959,249063,38704860,110582380,NA,50.01,35.76,50.83,37.43,46.3,NA,NA,NA,NA,2016,30513740,1384085.7936,5.557171453005866,1091171.3424,4.381105753965864
1985,lorain,NA,NA,NA,NA,NA,NA,NA,NA,NA,1294968180,67708990,119037540,309811710,521180,1792047600,4588,157548,22080570,63083550,update,65.24,46.37,64.68,47.46,61.15,NA,NA,NA,NA,2018,45628420,1023876.0308999999,6.498819603549394,2115789.8353999997,13.429493458501534
1985,lucas,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005040730,50341380,160861000,784119700,0,3000362810,NA,NA,NA,NA,update,72.71,52.73,70.42,55.45,64.88,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA
1985,madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,122154630,81200370,7628740,24274750,0,235258490,2234,271137,59351090,169574240,NA,45.92,40.38,48.34,41.39,41.3,NA,NA,NA,NA,2017,21849280,2396597.0142,8.839062961528674,882273.9264,3.2539783445269364
1985,mahoning,NA,NA,NA,NA,NA,NA,NA,NA,NA,1122986760,66328960,68459300,271326090,7043270,1536144380,2401,92653,10276210,29360240,NA,59.62,47.52,60.29,51.31,53.87,NA,NA,NA,NA,2017,56052750,488325.4992,5.2704769322094265,2663626.68,28.748412679567853
