"year","mortgage_pct_odt","mortgage_years_odt","sinking_years_odt","mills_post_reduction_odt","rollback_odt","mills_post_rollback_odt","tax_additur_odt","interest_rate_15_odt","interest_rate_25_odt","equity_rate_usda_odt","equity_rate_bankrate","equity_rate_odt","interest_rate_odt","cap_rate_odt","equity_rate_usda","dallas_fed_re_q1","kansas_fed_re_q1","chicago_fed_re_q1","tax_additur_cauv","dallas_fed_re","kansas_fed_re","chicago_fed_re","equity_rate_cauv","interest_rate_cauv","interest_rate_dallas","interest_rate_kansas","interest_rate_chicago","mortgage_equity_cauv","mortgage_equity_dallas","mortgage_equity_kansas","mortgage_equity_chicago","cap_intermediate_cauv","cap_intermediate_dallas","cap_intermediate_kansas","cap_intermediate_chicago","cap_less_cauv","cap_less_dallas","cap_less_kansas","cap_less_chicago","cap_rate_cauv","cap_rate_dallas","cap_rate_kansas","cap_rate_chicago","cap_rate_cauv_exp"
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0288996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0720694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0696846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0724186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0617728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1220586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1019368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0813505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0707659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0728621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0702031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1183212,NA,NA,0.0776,NA,NA,NA,0.0776,NA,NA,NA,NA,0.0776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181039,NA,NA,0.0762,NA,NA,NA,0.0769,NA,NA,NA,NA,0.07725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3264981,NA,NA,0.0771,NA,NA,NA,0.0769666666666667,NA,NA,NA,NA,0.0771555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1240121,NA,NA,0.0839,NA,NA,NA,0.0787,NA,NA,NA,NA,0.0775416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181967,NA,NA,0.0894,NA,NA,NA,0.08084,NA,NA,NA,NA,0.0782013333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1830353,NA,NA,0.0895,NA,NA,NA,0.0822833333333333,NA,NA,NA,NA,0.0788816666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1223424,NA,NA,0.0891,NA,NA,NA,0.08342,NA,NA,NA,NA,0.079278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222724,NA,NA,0.0907,NA,NA,NA,0.0858,NA,NA,NA,NA,0.080442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205029,NA,NA,0.1047,NA,NA,NA,0.08852,NA,NA,NA,NA,0.0822086666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1013306,NA,NA,0.1617,NA,NA,NA,0.09268,NA,NA,NA,NA,0.0841726666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001055,NA,NA,0.1538,NA,NA,NA,0.10562,NA,NA,NA,NA,0.0865406666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0438963,NA,NA,0.1676,NA,NA,NA,0.12008,NA,NA,NA,NA,0.091208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0147091,NA,NA,0.1346,NA,NA,NA,0.1291,NA,NA,NA,NA,0.09854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0706746,NA,NA,0.1342,NA,NA,NA,0.1378,NA,NA,NA,NA,0.1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1671218,NA,NA,0.1322,NA,NA,NA,0.1433,NA,NA,NA,NA,0.117056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0786707,NA,NA,0.1167,NA,NA,NA,0.1433,NA,NA,NA,NA,0.12718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0851825,NA,NA,0.1027,NA,NA,NA,0.1343,NA,NA,NA,NA,0.132916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0751346,NA,0.1093,0.1048,NA,NA,0.1093,0.1245,NA,NA,NA,0.1093,0.1338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0703737,NA,0.1207,0.117,NA,NA,0.115,0.12098,NA,NA,NA,0.11215,0.1338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0679116,NA,0.1147,0.1108,NA,NA,0.1149,0.1163,NA,NA,NA,0.113066666666667,0.132176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235,NA,NA,NA,NA,0.0235064,NA,0.1094,0.1057,NA,NA,0.113525,0.111,NA,NA,NA,0.11318125,0.127876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0655,NA,NA,NA,NA,0.065479,NA,0.0946,0.0919,NA,NA,0.10974,0.10814,NA,NA,NA,0.112493,0.121416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0768,NA,NA,NA,NA,0.0768118,NA,0.0862,0.0829,NA,NA,0.105816666666667,0.10318,NA,NA,NA,0.111380277777778,0.116184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0608,NA,NA,NA,NA,0.0608334,NA,0.0836,0.0797,NA,NA,0.10284,0.09922,NA,NA,NA,0.110656333333333,0.11192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0473,NA,NA,NA,NA,0.0473265,NA,0.1005,0.0968,NA,NA,0.10108,0.09762,NA,NA,NA,0.109364333333333,0.107568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0759,NA,NA,NA,NA,0.0759326,NA,0.0931,0.0866,NA,NA,0.09676,0.09278,NA,NA,NA,0.106600333333333,0.103832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0736,NA,NA,NA,NA,0.0736144,NA,0.0943,0.0877,NA,NA,0.09374,0.08918,NA,NA,NA,0.103247333333333,0.100188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0612,NA,NA,NA,NA,0.0611771,NA,0.0922,0.0843,NA,NA,0.09208,0.08668,NA,NA,NA,0.100047333333333,0.096396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0812,NA,NA,NA,NA,0.0811894,NA,0.0871,0.0806,NA,NA,0.09058,0.08442,NA,NA,NA,0.0973,0.093096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0874,NA,NA,NA,NA,0.0873919,0.0989,0.0945,0.0889,NA,0.0989,0.09224,0.08562,NA,NA,0.0989,0.09518,0.090376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
