id,org_soil_2017,org_soil_2018,org_soil
"AARON-GILPIN,C6-12MW",FALSE,FALSE,FALSE
"AARON-GILPIN,C8-15SW",FALSE,FALSE,FALSE
AARONSICL6-15MMW,FALSE,FALSE,FALSE
AARONSIL0-2SMW,FALSE,FALSE,FALSE
AARONSIL15-25MMW,FALSE,FALSE,FALSE
AARONSIL2-6SMW,FALSE,FALSE,FALSE
AARONSIL2-8SMW,FALSE,FALSE,FALSE
AARONSIL3-8SMW,FALSE,FALSE,FALSE
AARONSIL6-12MMW,FALSE,FALSE,FALSE
AARONSIL6-15MMW,FALSE,FALSE,FALSE
AARONSIL6-15SMW,FALSE,FALSE,FALSE
AARONSIL8-15MMW,FALSE,FALSE,FALSE
AARONSIL8-15SMW,FALSE,FALSE,FALSE
"AARON-UPSHUR,C2-6SW",FALSE,FALSE,FALSE
"AARON-UPSHUR,C2-8SW",FALSE,FALSE,FALSE
"AARON-UPSHUR,C8-15MW",FALSE,FALSE,FALSE
"ABSCOTA,V.S0-2SW",FALSE,FALSE,FALSE
"ADRIAN,DRAINEDMUCK0-2SVP",TRUE,TRUE,TRUE
ADRIANMUCK0-1SVP,TRUE,TRUE,TRUE
ADRIANMUCK0-2SVP,TRUE,TRUE,TRUE
"ADRIAN,UNDRAINEDMUCK0-2SVP",FALSE,FALSE,FALSE
"AETNA,FAN,OF-PHSIL0-2SSWP",FALSE,FALSE,FALSE
"AETNA,OF-PHSIL0-2SSWP",FALSE,FALSE,FALSE
ALEXANDRIASICL12-18MW,FALSE,FALSE,FALSE
ALEXANDRIASICL12-18SEW,FALSE,FALSE,FALSE
ALEXANDRIASICL18-25SEW,FALSE,FALSE,FALSE
ALEXANDRIASICL6-12SEW,FALSE,FALSE,FALSE
ALEXANDRIASIL0-2SW,FALSE,FALSE,FALSE
ALEXANDRIASIL12-18MW,FALSE,FALSE,FALSE
ALEXANDRIASIL12-18SW,FALSE,FALSE,FALSE
ALEXANDRIASIL12-20MW,FALSE,FALSE,FALSE
ALEXANDRIASIL18-25MW,FALSE,FALSE,FALSE
ALEXANDRIASIL18-25SW,FALSE,FALSE,FALSE
ALEXANDRIASIL2-6MW,FALSE,FALSE,FALSE
ALEXANDRIASIL2-6SW,FALSE,FALSE,FALSE
ALEXANDRIASIL6-12MW,FALSE,FALSE,FALSE
ALEXANDRIASIL6-12SW,FALSE,FALSE,FALSE
ALEXANDRIASIL6-18SW,FALSE,FALSE,FALSE
ALFORDSIL0-2SW,FALSE,FALSE,FALSE
ALFORDSIL10-25SW,FALSE,FALSE,FALSE
ALFORDSIL15-25SW,FALSE,FALSE,FALSE
ALFORDSIL1-8SW,FALSE,FALSE,FALSE
ALFORDSIL2-6SW,FALSE,FALSE,FALSE
ALFORDSIL2-8SW,FALSE,FALSE,FALSE
ALFORDSIL6-12MW,FALSE,FALSE,FALSE
ALFORDSIL6-12SW,FALSE,FALSE,FALSE
ALFORDSIL6-15MW,FALSE,FALSE,FALSE
ALFORDSIL8-15MW,FALSE,FALSE,FALSE
ALFORDSIL8-15SW,FALSE,FALSE,FALSE
"ALFORD,T-SUBSTSIL1-4SW",FALSE,FALSE,FALSE
"ALGANSEE,OF-PHFS0-2SSWP",FALSE,FALSE,FALSE
"ALGIERS,FF-PHSIL0-2SSWP",TRUE,TRUE,TRUE
"ALGIERS,OF-PHSIL0-2SSWP",FALSE,FALSE,FALSE
ALGIERSSICL0-2SSWP,FALSE,FALSE,FALSE
ALGIERSSIL0-2SSWP,FALSE,FALSE,FALSE
ALLEGHENYL15-25SW,FALSE,FALSE,FALSE
ALLEGHENYL2-6SW,FALSE,FALSE,FALSE
ALLEGHENYL3-8SW,FALSE,FALSE,FALSE
ALLEGHENYL6-12SW,FALSE,FALSE,FALSE
ALLEGHENYL8-15SW,FALSE,FALSE,FALSE
ALLEGHENY-MONONGAHELASIL2-5MW,FALSE,FALSE,FALSE
ALLEGHENY-MONONGAHELASIL2-5SW,FALSE,FALSE,FALSE
ALLEGHENYSIL10-15MW,FALSE,FALSE,FALSE
ALLEGHENYSIL10-15SW,FALSE,FALSE,FALSE
ALLEGHENYSIL12-18SW,FALSE,FALSE,FALSE
ALLEGHENYSIL2-6SW,FALSE,FALSE,FALSE
ALLEGHENYSIL5-10MW,FALSE,FALSE,FALSE
ALLEGHENYSIL5-10SW,FALSE,FALSE,FALSE
ALLEGHENYSIL6-12SW,FALSE,FALSE,FALSE
"ALLEGHENY,SS-SUBSTSIL5-10SW",FALSE,FALSE,FALSE
"ALLEGHENY,VL15-25SW",FALSE,FALSE,FALSE
"ALLEGHENY,VL8-15SW",FALSE,FALSE,FALSE
ALLISCL0-2SP,FALSE,FALSE,FALSE
ALLISL0-2SP,FALSE,FALSE,FALSE
ALLISSICL0-2SP,FALSE,FALSE,FALSE
ALLISSICL2-6SP,FALSE,FALSE,FALSE
ALLISSIL0-2SP,FALSE,FALSE,FALSE
ALLISST-SIL0-2SP,FALSE,FALSE,FALSE
ALVADAL0-1SVP,FALSE,FALSE,FALSE
ALVADASICL0-1SVP,FALSE,FALSE,FALSE
AMANDAL12-18MW,FALSE,FALSE,FALSE
AMANDAL18-25SW,FALSE,FALSE,FALSE
"AMANDA-LOUDONVILLE,C12-20MW",FALSE,FALSE,FALSE
"AMANDA-LOUDONVILLE,C2-6MW",FALSE,FALSE,FALSE
"AMANDA-LOUDONVILLE,C6-12MW",FALSE,FALSE,FALSE
"AMANDA-OCKLEY,C12-20MW",FALSE,FALSE,FALSE
"AMANDA-OCKLEY,C6-12MW",FALSE,FALSE,FALSE
AMANDASICL12-20SEW,FALSE,FALSE,FALSE
AMANDASICL6-12SEW,FALSE,FALSE,FALSE
AMANDASIL12-18MW,FALSE,FALSE,FALSE
AMANDASIL12-20MW,FALSE,FALSE,FALSE
AMANDASIL18-25MW,FALSE,FALSE,FALSE
AMANDASIL18-25SW,FALSE,FALSE,FALSE
AMANDASIL2-6MW,FALSE,FALSE,FALSE
AMANDASIL2-6SW,FALSE,FALSE,FALSE
AMANDASIL6-12MW,FALSE,FALSE,FALSE
"AMANDA,VSIL12-18MW",FALSE,FALSE,FALSE
"AMANDA,VSIL6-12MW",FALSE,FALSE,FALSE
"AMANDA-WOOSTER,C12-18MW",FALSE,FALSE,FALSE
"AMANDA-WOOSTER,C2-6SW",FALSE,FALSE,FALSE
"AMANDA-WOOSTER,C6-12MW",FALSE,FALSE,FALSE
"AQUENTS,CLAYEY0-1SVP",FALSE,FALSE,FALSE
"AQUENTS,NEARLY LEVEL0-2SVP",FALSE,FALSE,FALSE
ARKPORTFS2-6SW,FALSE,FALSE,FALSE
ARKPORTFS6-12SW,FALSE,FALSE,FALSE
ARKPORTFSL0-6SW,FALSE,FALSE,FALSE
ARKPORTFSL12-18SW,FALSE,FALSE,FALSE
ARKPORTFSL6-12SW,FALSE,FALSE,FALSE
ARKPORTLFS0-2SW,FALSE,FALSE,FALSE
ARKPORTLFS12-18SW,FALSE,FALSE,FALSE
ARKPORTLFS2-6SW,FALSE,FALSE,FALSE
ARKPORTLFS6-12SW,FALSE,FALSE,FALSE
"ARKPORT,V.LFS0-2SW",FALSE,FALSE,FALSE
"ARKPORT,V.LFS2-6SW",FALSE,FALSE,FALSE
"ASHTON,OF-PHSIL0-2SW",FALSE,FALSE,FALSE
ASHTONSIL0-2SW,FALSE,FALSE,FALSE
ASHTONSIL0-3SW,FALSE,FALSE,FALSE
ASHTONSIL2-6SW,FALSE,FALSE,FALSE
ATHERTONSIL0-2SVP,FALSE,FALSE,FALSE
ATLASSICL6-12MSWP,FALSE,FALSE,FALSE
ATLASSIL2-6MSWP,FALSE,FALSE,FALSE
ATLASSIL2-6SSWP,FALSE,FALSE,FALSE
ATLASSIL6-12MSWP,FALSE,FALSE,FALSE
ATLASSIL6-12SESWP,FALSE,FALSE,FALSE
AURANDFSL0-2SSWP,FALSE,FALSE,FALSE
AURANDL0-2SSWP,FALSE,FALSE,FALSE
AURANDL0-3SSWP,FALSE,FALSE,FALSE
AURANDSIL0-3SSWP,FALSE,FALSE,FALSE
AVASIL0-3SMW,FALSE,FALSE,FALSE
AVASIL3-8MMW,FALSE,FALSE,FALSE
AVASIL8-15MMW,FALSE,FALSE,FALSE
AVERYSIL2-6SMW,FALSE,FALSE,FALSE
"AVONBURG-ATLAS,C.2-6MSWP",FALSE,FALSE,FALSE
AVONBURGSIL0-2SSWP,FALSE,FALSE,FALSE
AVONBURGSIL2-6MSWP,FALSE,FALSE,FALSE
AVONBURGSIL2-6SSWP,FALSE,FALSE,FALSE
BARKCAMPCL0-8SW,FALSE,FALSE,FALSE
BARKCAMPCL8-25SW,FALSE,FALSE,FALSE
BARKCAMPGR-LS8-25SW,FALSE,FALSE,FALSE
BARKCAMPGR-SL0-8SW,FALSE,FALSE,FALSE
BARKCAMPL8-25SW,FALSE,FALSE,FALSE
"BARKCAMP,VERY STONYCN-SL0-8SW",FALSE,FALSE,FALSE
"BARKCAMP,VERY STONYFLV-SL0-8SW",FALSE,FALSE,FALSE
"BARKCAMP,VERY STONYFLV-SL8-25SW",FALSE,FALSE,FALSE
BEASLEYSIL12-18MW,FALSE,FALSE,FALSE
BEASLEYSIL6-12MW,FALSE,FALSE,FALSE
"BEAUCOUP,OF-PHSICL0-2SVP",FALSE,FALSE,FALSE
BELMOREL0-2SW,FALSE,FALSE,FALSE
BELMOREL12-18MW,FALSE,FALSE,FALSE
BELMOREL12-18SW,FALSE,FALSE,FALSE
BELMOREL1-4SW,FALSE,FALSE,FALSE
BELMOREL2-6SW,FALSE,FALSE,FALSE
BELMOREL6-12MW,FALSE,FALSE,FALSE
BELMOREL6-12SW,FALSE,FALSE,FALSE
BELMORESL0-2SW,FALSE,FALSE,FALSE
BELMORESL1-4SW,FALSE,FALSE,FALSE
BELMORESL1-6SW,FALSE,FALSE,FALSE
BELMORESL2-6SW,FALSE,FALSE,FALSE
BELMORESL6-12SW,FALSE,FALSE,FALSE
"BELMORE,T-SUBSTL2-6SW",FALSE,FALSE,FALSE
BELPREC12-18SW,FALSE,FALSE,FALSE
BELPREC18-25SW,FALSE,FALSE,FALSE
BELPREC6-12SW,FALSE,FALSE,FALSE
BENNINGTON-FITCHVILLESIL2-6SSWP,FALSE,FALSE,FALSE
BENNINGTONL0-2SSWP,FALSE,FALSE,FALSE
"BENNINGTON-PYRMONT,LM-SUBSTSIL0-2SSWP",FALSE,FALSE,FALSE
"BENNINGTON,SH-SUBSTSIL0-2SSWP",FALSE,FALSE,FALSE
"BENNINGTON,SH-SUBSTSIL2-6SSWP",FALSE,FALSE,FALSE
BENNINGTONSIL0-2SSWP,FALSE,FALSE,FALSE
BENNINGTONSIL0-3SSWP,FALSE,FALSE,FALSE
BENNINGTONSIL2-4SSWP,FALSE,FALSE,FALSE
BENNINGTONSIL2-6MSWP,FALSE,FALSE,FALSE
BENNINGTONSIL2-6SSWP,FALSE,FALSE,FALSE
BENNINGTON-TIROSIL0-2SSWP,FALSE,FALSE,FALSE
"BERKS-AARON,C6-15SW",FALSE,FALSE,FALSE
BERKSCH-SIL2-8SW,FALSE,FALSE,FALSE
BERKSCN-SIL0-6SW,FALSE,FALSE,FALSE
BERKSCN-SIL12-18SW,FALSE,FALSE,FALSE
BERKSCN-SIL12-20SW,FALSE,FALSE,FALSE
BERKSCN-SIL15-25MW,FALSE,FALSE,FALSE
BERKSCN-SIL15-25SW,FALSE,FALSE,FALSE
BERKSCN-SIL2-6SW,FALSE,FALSE,FALSE
BERKSCN-SIL2-8SW,FALSE,FALSE,FALSE
BERKSCN-SIL6-12SW,FALSE,FALSE,FALSE
BERKSCN-SIL6-15SW,FALSE,FALSE,FALSE
BERKSCN-SIL6-18SW,FALSE,FALSE,FALSE
BERKSCN-SIL8-15SW,FALSE,FALSE,FALSE
"BERKS-GUERNSEY,C.15-25SW",FALSE,FALSE,FALSE
"BERKS-GUERNSEY,C.8-15SW",FALSE,FALSE,FALSE
BERKS-MUSKINGUM-NEOTOMACN-SIL6-18SW,FALSE,FALSE,FALSE
BERKSSH-SIL15-25SW,FALSE,FALSE,FALSE
BERKSSH-SIL3-8SW,FALSE,FALSE,FALSE
BERKSSH-SIL8-15SW,FALSE,FALSE,FALSE
BERKSSIL12-18SW,FALSE,FALSE,FALSE
BERKSSIL15-25SW,FALSE,FALSE,FALSE
BERKSSIL18-25SW,FALSE,FALSE,FALSE
BERKSSIL3-8SW,FALSE,FALSE,FALSE
BERKSSTV-SIL15-25MW,FALSE,FALSE,FALSE
"BERKS-TARHOLLOW,C6-15SW",FALSE,FALSE,FALSE
BERKS-WESTMORELANDSIL15-25SW,FALSE,FALSE,FALSE
BETHESDACL0-8SW,FALSE,FALSE,FALSE
BETHESDACL8-25SW,FALSE,FALSE,FALSE
BETHESDACN-CL0-8SW,FALSE,FALSE,FALSE
BETHESDACN-CL15-25SW,FALSE,FALSE,FALSE
BETHESDACN-CL8-15SW,FALSE,FALSE,FALSE
BETHESDACN-CL8-20SW,FALSE,FALSE,FALSE
BETHESDACN-CL8-25SW,FALSE,FALSE,FALSE
