year,cauv_projected_exp,soil_series,texture,slope,erosion,drainage,indx,id
2020,350,"AARON-GILPIN,C",,6-12,M,W,indx_69,"AARON-GILPIN,C6-12MW"
2020,350,"AARON-GILPIN,C",,8-15,S,W,indx_69,"AARON-GILPIN,C8-15SW"
2020,350,AARON,SICL,6-15,M,MW,indx_69,AARONSICL6-15MMW
2020,930,AARON,SIL,0-2,S,MW,indx_79,AARONSIL0-2SMW
2020,350,AARON,SIL,15-25,M,MW,indx_59,AARONSIL15-25MMW
2020,700,AARON,SIL,2-6,S,MW,indx_69,AARONSIL2-6SMW
2020,670,AARON,SIL,2-8,S,MW,indx_69,AARONSIL2-8SMW
2020,660,AARON,SIL,3-8,S,MW,indx_69,AARONSIL3-8SMW
2020,360,AARON,SIL,6-12,M,MW,indx_69,AARONSIL6-12MMW
2020,350,AARON,SIL,6-15,M,MW,indx_69,AARONSIL6-15MMW
2020,390,AARON,SIL,6-15,S,MW,indx_69,AARONSIL6-15SMW
2020,350,AARON,SIL,8-15,M,MW,indx_69,AARONSIL8-15MMW
2020,380,AARON,SIL,8-15,S,MW,indx_69,AARONSIL8-15SMW
2020,350,"AARON-UPSHUR,C",,2-6,S,W,indx_69,"AARON-UPSHUR,C2-6SW"
2020,350,"AARON-UPSHUR,C",,2-8,S,W,indx_69,"AARON-UPSHUR,C2-8SW"
2020,350,"AARON-UPSHUR,C",,8-15,M,W,indx_59,"AARON-UPSHUR,C8-15MW"
2020,350,"ABSCOTA,V.",S,0-2,S,W,indx_59,"ABSCOTA,V.S0-2SW"
2020,350,"ADRIAN,DRAINED",MUCK,0-2,S,VP,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP"
2020,350,ADRIAN,MUCK,0-1,S,VP,indx_69,ADRIANMUCK0-1SVP
2020,350,ADRIAN,MUCK,0-2,S,VP,indx_69,ADRIANMUCK0-2SVP
2020,350,"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP"
2020,1340,"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP"
2020,1340,"AETNA,OF-PH",SIL,0-2,S,SWP,indx_79,"AETNA,OF-PHSIL0-2SSWP"
2020,350,ALEXANDRIA,SICL,12-18,M,W,indx_59,ALEXANDRIASICL12-18MW
2020,350,ALEXANDRIA,SICL,12-18,SE,W,indx_49,ALEXANDRIASICL12-18SEW
2020,350,ALEXANDRIA,SICL,18-25,SE,W,indx_49,ALEXANDRIASICL18-25SEW
2020,350,ALEXANDRIA,SICL,6-12,SE,W,indx_59,ALEXANDRIASICL6-12SEW
2020,510,ALEXANDRIA,SIL,0-2,S,W,indx_79,ALEXANDRIASIL0-2SW
2020,350,ALEXANDRIA,SIL,12-18,M,W,indx_69,ALEXANDRIASIL12-18MW
