year,cauv_projected_high,soil_series,texture,slope,erosion,drainage,indx,id,val_2018,unadjusted
2019,990,"AARON-GILPIN,C",,6-12,M,W,indx_69,"AARON-GILPIN,C6-12MW",580,990
2019,1080,"AARON-GILPIN,C",,8-15,S,W,indx_69,"AARON-GILPIN,C8-15SW",660,1080
2019,930,AARON,SICL,6-15,M,MW,indx_69,AARONSICL6-15MMW,520,930
2019,2070,AARON,SIL,0-2,S,MW,indx_79,AARONSIL0-2SMW,1620,2070
2019,350,AARON,SIL,15-25,M,MW,indx_59,AARONSIL15-25MMW,350,350
2019,1760,AARON,SIL,2-6,S,MW,indx_69,AARONSIL2-6SMW,1350,1760
2019,1740,AARON,SIL,2-8,S,MW,indx_69,AARONSIL2-8SMW,1320,1740
2019,1710,AARON,SIL,3-8,S,MW,indx_69,AARONSIL3-8SMW,1300,1710
2019,1340,AARON,SIL,6-12,M,MW,indx_69,AARONSIL6-12MMW,920,1340
2019,1250,AARON,SIL,6-15,M,MW,indx_69,AARONSIL6-15MMW,810,1250
2019,1390,AARON,SIL,6-15,S,MW,indx_69,AARONSIL6-15SMW,970,1390
2019,1230,AARON,SIL,8-15,M,MW,indx_69,AARONSIL8-15MMW,790,1230
2019,1360,AARON,SIL,8-15,S,MW,indx_69,AARONSIL8-15SMW,940,1360
2019,1000,"AARON-UPSHUR,C",,2-6,S,W,indx_69,"AARON-UPSHUR,C2-6SW",660,1000
2019,990,"AARON-UPSHUR,C",,2-8,S,W,indx_69,"AARON-UPSHUR,C2-8SW",630,990
2019,620,"AARON-UPSHUR,C",,8-15,M,W,indx_59,"AARON-UPSHUR,C8-15MW",360,620
2019,540,"ABSCOTA,V.",S,0-2,S,W,indx_59,"ABSCOTA,V.S0-2SW",350,540
2019,1100,"ADRIAN,DRAINED",MUCK,0-2,S,VP,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP",780,1100
2019,1100,ADRIAN,MUCK,0-1,S,VP,indx_69,ADRIANMUCK0-1SVP,780,1100
2019,1100,ADRIAN,MUCK,0-2,S,VP,indx_69,ADRIANMUCK0-2SVP,780,1100
