year,cauv_projected_low,soil_series,texture,slope,erosion,drainage,indx,id,val_2018,unadjusted
2019,465,"AARON-GILPIN,C",,6-12,M,W,indx_69,"AARON-GILPIN,C6-12MW",580,350
2019,505,"AARON-GILPIN,C",,8-15,S,W,indx_69,"AARON-GILPIN,C8-15SW",660,350
2019,435,AARON,SICL,6-15,M,MW,indx_69,AARONSICL6-15MMW,520,350
2019,1210,AARON,SIL,0-2,S,MW,indx_79,AARONSIL0-2SMW,1620,800
2019,350,AARON,SIL,15-25,M,MW,indx_59,AARONSIL15-25MMW,350,350
2019,955,AARON,SIL,2-6,S,MW,indx_69,AARONSIL2-6SMW,1350,560
2019,925,AARON,SIL,2-8,S,MW,indx_69,AARONSIL2-8SMW,1320,530
2019,910,AARON,SIL,3-8,S,MW,indx_69,AARONSIL3-8SMW,1300,520
2019,635,AARON,SIL,6-12,M,MW,indx_69,AARONSIL6-12MMW,920,350
2019,580,AARON,SIL,6-15,M,MW,indx_69,AARONSIL6-15MMW,810,350
2019,660,AARON,SIL,6-15,S,MW,indx_69,AARONSIL6-15SMW,970,350
2019,570,AARON,SIL,8-15,M,MW,indx_69,AARONSIL8-15MMW,790,350
2019,645,AARON,SIL,8-15,S,MW,indx_69,AARONSIL8-15SMW,940,350
2019,505,"AARON-UPSHUR,C",,2-6,S,W,indx_69,"AARON-UPSHUR,C2-6SW",660,350
2019,490,"AARON-UPSHUR,C",,2-8,S,W,indx_69,"AARON-UPSHUR,C2-8SW",630,350
2019,355,"AARON-UPSHUR,C",,8-15,M,W,indx_59,"AARON-UPSHUR,C8-15MW",360,350
2019,350,"ABSCOTA,V.",S,0-2,S,W,indx_59,"ABSCOTA,V.S0-2SW",350,350
2019,565,"ADRIAN,DRAINED",MUCK,0-2,S,VP,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP",780,350
2019,565,ADRIAN,MUCK,0-1,S,VP,indx_69,ADRIANMUCK0-1SVP,780,350
2019,565,ADRIAN,MUCK,0-2,S,VP,indx_69,ADRIANMUCK0-2SVP,780,350
2019,350,"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP",350,350
2019,1710,"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP",2210,1210
2019,1710,"AETNA,OF-PH",SIL,0-2,S,SWP,indx_79,"AETNA,OF-PHSIL0-2SSWP",2210,1210
2019,350,ALEXANDRIA,SICL,12-18,M,W,indx_59,ALEXANDRIASICL12-18MW,350,350
2019,350,ALEXANDRIA,SICL,12-18,SE,W,indx_49,ALEXANDRIASICL12-18SEW,350,350
2019,350,ALEXANDRIA,SICL,18-25,SE,W,indx_49,ALEXANDRIASICL18-25SEW,350,350
2019,350,ALEXANDRIA,SICL,6-12,SE,W,indx_59,ALEXANDRIASICL6-12SEW,350,350
2019,835,ALEXANDRIA,SIL,0-2,S,W,indx_79,ALEXANDRIASIL0-2SW,1240,430
2019,360,ALEXANDRIA,SIL,12-18,M,W,indx_69,ALEXANDRIASIL12-18MW,370,350
2019,395,ALEXANDRIA,SIL,12-18,S,W,indx_69,ALEXANDRIASIL12-18SW,440,350
2019,355,ALEXANDRIA,SIL,12-20,M,W,indx_69,ALEXANDRIASIL12-20MW,360,350
2019,350,ALEXANDRIA,SIL,18-25,M,W,indx_59,ALEXANDRIASIL18-25MW,350,350
2019,350,ALEXANDRIA,SIL,18-25,S,W,indx_59,ALEXANDRIASIL18-25SW,350,350
2019,585,ALEXANDRIA,SIL,2-6,M,W,indx_69,ALEXANDRIASIL2-6MW,820,350
2019,710,ALEXANDRIA,SIL,2-6,S,W,indx_79,ALEXANDRIASIL2-6SW,1070,350
2019,490,ALEXANDRIA,SIL,6-12,M,W,indx_69,ALEXANDRIASIL6-12MW,630,350
2019,585,ALEXANDRIA,SIL,6-12,S,W,indx_69,ALEXANDRIASIL6-12SW,820,350
2019,480,ALEXANDRIA,SIL,6-18,S,W,indx_69,ALEXANDRIASIL6-18SW,610,350
2019,2360,ALFORD,SIL,0-2,S,W,indx_89,ALFORDSIL0-2SW,2880,1840
2019,350,ALFORD,SIL,10-25,S,W,indx_59,ALFORDSIL10-25SW,350,350
2019,350,ALFORD,SIL,15-25,S,W,indx_49,ALFORDSIL15-25SW,350,350
2019,2095,ALFORD,SIL,1-8,S,W,indx_79,ALFORDSIL1-8SW,2600,1590
2019,2095,ALFORD,SIL,2-6,S,W,indx_79,ALFORDSIL2-6SW,2600,1590
2019,2095,ALFORD,SIL,2-8,S,W,indx_79,ALFORDSIL2-8SW,2600,1590
2019,1295,ALFORD,SIL,6-12,M,W,indx_69,ALFORDSIL6-12MW,1710,880
2019,1810,ALFORD,SIL,6-12,S,W,indx_79,ALFORDSIL6-12SW,2290,1330
2019,1190,ALFORD,SIL,6-15,M,W,indx_69,ALFORDSIL6-15MW,1630,750
2019,845,ALFORD,SIL,8-15,M,W,indx_69,ALFORDSIL8-15MW,1250,440
2019,1105,ALFORD,SIL,8-15,S,W,indx_69,ALFORDSIL8-15SW,1530,680
2019,2095,"ALFORD,T-SUBST",SIL,1-4,S,W,indx_79,"ALFORD,T-SUBSTSIL1-4SW",2600,1590
2019,1880,"ALGANSEE,OF-PH",FS,0-2,S,SWP,indx_79,"ALGANSEE,OF-PHFS0-2SSWP",2370,1390
2019,960,"ALGIERS,FF-PH",SIL,0-2,S,SWP,indx_69,"ALGIERS,FF-PHSIL0-2SSWP",1450,470
2019,1710,"ALGIERS,OF-PH",SIL,0-2,S,SWP,indx_79,"ALGIERS,OF-PHSIL0-2SSWP",2210,1210
2019,1680,ALGIERS,SICL,0-2,S,SWP,indx_79,ALGIERSSICL0-2SSWP,2180,1180
2019,1710,ALGIERS,SIL,0-2,S,SWP,indx_79,ALGIERSSIL0-2SSWP,2210,1210
2019,350,ALLEGHENY,L,15-25,S,W,indx_59,ALLEGHENYL15-25SW,350,350
2019,965,ALLEGHENY,L,2-6,S,W,indx_79,ALLEGHENYL2-6SW,1390,540
2019,830,ALLEGHENY,L,3-8,S,W,indx_79,ALLEGHENYL3-8SW,1240,420
2019,710,ALLEGHENY,L,6-12,S,W,indx_69,ALLEGHENYL6-12SW,1070,350
2019,615,ALLEGHENY,L,8-15,S,W,indx_69,ALLEGHENYL8-15SW,880,350
2019,710,ALLEGHENY-MONONGAHELA,SIL,2-5,M,W,indx_69,ALLEGHENY-MONONGAHELASIL2-5MW,1070,350
2019,975,ALLEGHENY-MONONGAHELA,SIL,2-5,S,W,indx_69,ALLEGHENY-MONONGAHELASIL2-5SW,1380,570
2019,530,ALLEGHENY,SIL,10-15,M,W,indx_69,ALLEGHENYSIL10-15MW,710,350
2019,615,ALLEGHENY,SIL,10-15,S,W,indx_69,ALLEGHENYSIL10-15SW,880,350
2019,530,ALLEGHENY,SIL,12-18,S,W,indx_69,ALLEGHENYSIL12-18SW,710,350
2019,965,ALLEGHENY,SIL,2-6,S,W,indx_79,ALLEGHENYSIL2-6SW,1390,540
2019,630,ALLEGHENY,SIL,5-10,M,W,indx_69,ALLEGHENYSIL5-10MW,910,350
2019,710,ALLEGHENY,SIL,5-10,S,W,indx_69,ALLEGHENYSIL5-10SW,1070,350
2019,710,ALLEGHENY,SIL,6-12,S,W,indx_69,ALLEGHENYSIL6-12SW,1070,350
2019,710,"ALLEGHENY,SS-SUBST",SIL,5-10,S,W,indx_69,"ALLEGHENY,SS-SUBSTSIL5-10SW",1070,350
2019,350,"ALLEGHENY,V",L,15-25,S,W,indx_59,"ALLEGHENY,VL15-25SW",350,350
2019,900,"ALLEGHENY,V",L,8-15,S,W,indx_69,"ALLEGHENY,VL8-15SW",1310,490
2019,350,ALLIS,CL,0-2,S,P,indx_59,ALLISCL0-2SP,350,350
2019,350,ALLIS,L,0-2,S,P,indx_59,ALLISL0-2SP,350,350
2019,350,ALLIS,SICL,0-2,S,P,indx_59,ALLISSICL0-2SP,350,350
2019,350,ALLIS,SICL,2-6,S,P,indx_59,ALLISSICL2-6SP,350,350
2019,350,ALLIS,SIL,0-2,S,P,indx_59,ALLISSIL0-2SP,350,350
2019,350,ALLIS,ST-SIL,0-2,S,P,indx_49,ALLISST-SIL0-2SP,350,350
2019,2515,ALVADA,L,0-1,S,VP,indx_99,ALVADAL0-1SVP,3090,1940
2019,2385,ALVADA,SICL,0-1,S,VP,indx_99,ALVADASICL0-1SVP,2950,1820
2019,360,AMANDA,L,12-18,M,W,indx_69,AMANDAL12-18MW,370,350
2019,350,AMANDA,L,18-25,S,W,indx_59,AMANDAL18-25SW,350,350
2019,350,"AMANDA-LOUDONVILLE,C",,12-20,M,W,indx_59,"AMANDA-LOUDONVILLE,C12-20MW",350,350
2019,655,"AMANDA-LOUDONVILLE,C",,2-6,M,W,indx_69,"AMANDA-LOUDONVILLE,C2-6MW",960,350
2019,515,"AMANDA-LOUDONVILLE,C",,6-12,M,W,indx_69,"AMANDA-LOUDONVILLE,C6-12MW",680,350
2019,490,"AMANDA-OCKLEY,C",,12-20,M,W,indx_69,"AMANDA-OCKLEY,C12-20MW",630,350
2019,825,"AMANDA-OCKLEY,C",,6-12,M,W,indx_69,"AMANDA-OCKLEY,C6-12MW",1230,420
2019,350,AMANDA,SICL,12-20,SE,W,indx_59,AMANDASICL12-20SEW,350,350
2019,390,AMANDA,SICL,6-12,SE,W,indx_69,AMANDASICL6-12SEW,430,350
2019,360,AMANDA,SIL,12-18,M,W,indx_69,AMANDASIL12-18MW,370,350
2019,360,AMANDA,SIL,12-20,M,W,indx_69,AMANDASIL12-20MW,370,350
2019,350,AMANDA,SIL,18-25,M,W,indx_59,AMANDASIL18-25MW,350,350
2019,350,AMANDA,SIL,18-25,S,W,indx_59,AMANDASIL18-25SW,350,350
2019,695,AMANDA,SIL,2-6,M,W,indx_79,AMANDASIL2-6MW,1040,350
2019,900,AMANDA,SIL,2-6,S,W,indx_79,AMANDASIL2-6SW,1320,480
2019,560,AMANDA,SIL,6-12,M,W,indx_69,AMANDASIL6-12MW,770,350
2019,350,"AMANDA,V",SIL,12-18,M,W,indx_59,"AMANDA,VSIL12-18MW",350,350
2019,1175,"AMANDA,V",SIL,6-12,M,W,indx_69,"AMANDA,VSIL6-12MW",1570,780
2019,350,"AMANDA-WOOSTER,C",,12-18,M,W,indx_59,"AMANDA-WOOSTER,C12-18MW",350,350
2019,680,"AMANDA-WOOSTER,C",,2-6,S,W,indx_79,"AMANDA-WOOSTER,C2-6SW",1010,350
2019,360,"AMANDA-WOOSTER,C",,6-12,M,W,indx_69,"AMANDA-WOOSTER,C6-12MW",370,350
2019,350,"AQUENTS,CLAYEY",,0-1,S,VP,indx_49,"AQUENTS,CLAYEY0-1SVP",350,350
2019,350,"AQUENTS,NEARLY LEVEL",,0-2,S,VP,indx_49,"AQUENTS,NEARLY LEVEL0-2SVP",350,350
2019,660,ARKPORT,FS,2-6,S,W,indx_69,ARKPORTFS2-6SW,970,350
2019,570,ARKPORT,FS,6-12,S,W,indx_69,ARKPORTFS6-12SW,790,350
2019,870,ARKPORT,FSL,0-6,S,W,indx_69,ARKPORTFSL0-6SW,1250,490
2019,350,ARKPORT,FSL,12-18,S,W,indx_59,ARKPORTFSL12-18SW,350,350
2019,650,ARKPORT,FSL,6-12,S,W,indx_69,ARKPORTFSL6-12SW,950,350
2019,870,ARKPORT,LFS,0-2,S,W,indx_69,ARKPORTLFS0-2SW,1250,490
2019,350,ARKPORT,LFS,12-18,S,W,indx_59,ARKPORTLFS12-18SW,350,350
2019,660,ARKPORT,LFS,2-6,S,W,indx_69,ARKPORTLFS2-6SW,970,350
2019,570,ARKPORT,LFS,6-12,S,W,indx_69,ARKPORTLFS6-12SW,790,350
2019,465,"ARKPORT,V.",LFS,0-2,S,W,indx_69,"ARKPORT,V.LFS0-2SW",580,350
2019,360,"ARKPORT,V.",LFS,2-6,S,W,indx_69,"ARKPORT,V.LFS2-6SW",370,350
2019,1290,"ASHTON,OF-PH",SIL,0-2,S,W,indx_89,"ASHTON,OF-PHSIL0-2SW",1780,800
2019,1290,ASHTON,SIL,0-2,S,W,indx_89,ASHTONSIL0-2SW,1780,800
2019,1290,ASHTON,SIL,0-3,S,W,indx_89,ASHTONSIL0-3SW,1780,800
2019,1120,ASHTON,SIL,2-6,S,W,indx_79,ASHTONSIL2-6SW,1580,660
2019,880,ATHERTON,SIL,0-2,S,VP,indx_69,ATHERTONSIL0-2SVP,1220,540
2019,390,ATLAS,SICL,6-12,M,SWP,indx_59,ATLASSICL6-12MSWP,430,350
2019,585,ATLAS,SIL,2-6,M,SWP,indx_69,ATLASSIL2-6MSWP,820,350
2019,665,ATLAS,SIL,2-6,S,SWP,indx_69,ATLASSIL2-6SSWP,980,350
2019,445,ATLAS,SIL,6-12,M,SWP,indx_69,ATLASSIL6-12MSWP,540,350
2019,350,ATLAS,SIL,6-12,SE,SWP,indx_49,ATLASSIL6-12SESWP,350,350
2019,2385,AURAND,FSL,0-2,S,SWP,indx_99,AURANDFSL0-2SSWP,2950,1820
2019,2515,AURAND,L,0-2,S,SWP,indx_99,AURANDL0-2SSWP,3090,1940
2019,2515,AURAND,L,0-3,S,SWP,indx_99,AURANDL0-3SSWP,3090,1940
2019,2515,AURAND,SIL,0-3,S,SWP,indx_99,AURANDSIL0-3SSWP,3090,1940
2019,1455,AVA,SIL,0-3,S,MW,indx_79,AVASIL0-3SMW,1910,1000
2019,935,AVA,SIL,3-8,M,MW,indx_69,AVASIL3-8MMW,1330,540
2019,665,AVA,SIL,8-15,M,MW,indx_69,AVASIL8-15MMW,980,350
2019,1335,AVERY,SIL,2-6,S,MW,indx_79,AVERYSIL2-6SMW,1760,910
2019,725,"AVONBURG-ATLAS,C.",,2-6,M,SWP,indx_69,"AVONBURG-ATLAS,C.2-6MSWP",1100,350
