id,soil_series,texture,slope,erosion,drainage,indx,CAUV 2018,Projected Expected 2019,Projected Low 2019,Projected High 2019
"AARON-GILPIN,C6-12MW","AARON-GILPIN,C",,6-12,M,W,indx_69,580,465,465,950
"AARON-GILPIN,C8-15SW","AARON-GILPIN,C",,8-15,S,W,indx_69,660,515,505,1040
AARONSICL6-15MMW,AARON,SICL,6-15,M,MW,indx_69,520,435,435,890
AARONSIL0-2SMW,AARON,SIL,0-2,S,MW,indx_79,1620,1415,1200,2010
AARONSIL15-25MMW,AARON,SIL,15-25,M,MW,indx_59,350,350,350,350
AARONSIL2-6SMW,AARON,SIL,2-6,S,MW,indx_69,1350,1150,940,1710
AARONSIL2-8SMW,AARON,SIL,2-8,S,MW,indx_69,1320,1125,920,1690
AARONSIL3-8SMW,AARON,SIL,3-8,S,MW,indx_69,1300,1110,900,1670
AARONSIL6-12MMW,AARON,SIL,6-12,M,MW,indx_69,920,755,635,1300
AARONSIL6-15MMW,AARON,SIL,6-15,M,MW,indx_69,810,660,580,1210
AARONSIL6-15SMW,AARON,SIL,6-15,S,MW,indx_69,970,800,660,1340
AARONSIL8-15MMW,AARON,SIL,8-15,M,MW,indx_69,790,640,570,1180
AARONSIL8-15SMW,AARON,SIL,8-15,S,MW,indx_69,940,770,645,1310
"AARON-UPSHUR,C2-6SW","AARON-UPSHUR,C",,2-6,S,W,indx_69,660,505,505,960
"AARON-UPSHUR,C2-8SW","AARON-UPSHUR,C",,2-8,S,W,indx_69,630,490,490,950
"AARON-UPSHUR,C8-15MW","AARON-UPSHUR,C",,8-15,M,W,indx_59,360,355,355,590
"ABSCOTA,V.S0-2SW","ABSCOTA,V.",S,0-2,S,W,indx_59,350,350,350,510
"ADRIAN,DRAINEDMUCK0-2SVP","ADRIAN,DRAINED",MUCK,0-2,S,VP,indx_69,780,565,565,1060
ADRIANMUCK0-1SVP,ADRIAN,MUCK,0-1,S,VP,indx_69,780,565,565,1060
ADRIANMUCK0-2SVP,ADRIAN,MUCK,0-2,S,VP,indx_69,780,565,565,1060
"ADRIAN,UNDRAINEDMUCK0-2SVP","ADRIAN,UNDRAINED",MUCK,0-2,S,VP,indx_49,350,350,350,350
"AETNA,FAN,OF-PHSIL0-2SSWP","AETNA,FAN,OF-PH",SIL,0-2,S,SWP,indx_79,2210,1930,1700,2550
"AETNA,OF-PHSIL0-2SSWP","AETNA,OF-PH",SIL,0-2,S,SWP,indx_79,2210,1930,1700,2550
