year,id,soil_series,texture,slope,erosion,drainage,indx,Projection Expected,Projection Low,Projection High
2021,"AARON-GILPIN,C6-12MW","AARON-GILPIN,C",,6-12,M,W,indx_69,350,350,510
2021,"AARON-GILPIN,C8-15SW","AARON-GILPIN,C",,8-15,S,W,indx_69,380,350,590
2021,"AARON-UPSHUR,C2-6SW","AARON-UPSHUR,C",,2-6,S,W,indx_69,370,350,580
2021,"AARON-UPSHUR,C2-8SW","AARON-UPSHUR,C",,2-8,S,W,indx_69,350,350,560
2021,"AARON-UPSHUR,C8-15MW","AARON-UPSHUR,C",,8-15,M,W,indx_59,350,350,350
2021,AARONSICL6-15MMW,AARON,SICL,6-15,M,MW,indx_69,350,350,470
2021,AARONSIL0-2SMW,AARON,SIL,0-2,S,MW,indx_79,1180,760,1430
2021,AARONSIL15-25MMW,AARON,SIL,15-25,M,MW,indx_59,350,350,350
2021,AARONSIL2-6SMW,AARON,SIL,2-6,S,MW,indx_69,940,540,1180
2021,AARONSIL2-8SMW,AARON,SIL,2-8,S,MW,indx_69,920,520,1150
2021,AARONSIL3-8SMW,AARON,SIL,3-8,S,MW,indx_69,900,500,1140
2021,AARONSIL6-12MMW,AARON,SIL,6-12,M,MW,indx_69,590,350,810
2021,AARONSIL6-15MMW,AARON,SIL,6-15,M,MW,indx_69,510,350,730
2021,AARONSIL6-15SMW,AARON,SIL,6-15,S,MW,indx_69,620,350,850
2021,AARONSIL8-15MMW,AARON,SIL,8-15,M,MW,indx_69,500,350,720
2021,AARONSIL8-15SMW,AARON,SIL,8-15,S,MW,indx_69,610,350,830
2021,"ABSCOTA,V.S0-2SW","ABSCOTA,V.",S,0-2,S,W,indx_59,350,350,350
2021,"ADRIAN,DRAINEDMUCK0-2SVP","ADRIAN,DRAINED",MUCK,0-2,S,VP,indx_69,410,350,610
2021,"ADRIAN,UNDRAINEDMUCK0-2SVP","ADRIAN,UNDRAINED",MUCK,0-2,S,VP,indx_49,350,350,350
2021,ADRIANMUCK0-1SVP,ADRIAN,MUCK,0-1,S,VP,indx_69,410,350,610
2021,ADRIANMUCK0-2SVP,ADRIAN,MUCK,0-2,S,VP,indx_69,410,350,610
2021,"AETNA,FAN,OF-PHSIL0-2SSWP","AETNA,FAN,OF-PH",SIL,0-2,S,SWP,indx_79,1620,1150,1890
